near_radius2,case,depth,occupied_leaves,ordered_pairs,direct_pairs,m2l_pairs,first_separated_counts_levels_2_to_depth,missing,duplicates,wrong_kind,pass
3,dense_depth3,3,512,262144,10648,251496,198144;53352,0,0,0,true
3,dense_depth4,4,4096,16777216,97336,16679880,12681216;3414528;584136,0,0,0,true
3,boundary_truncated,4,158,24964,2220,22744,0;14044;8700,0,0,0,true
3,sparse_fixed,4,36,1296,36,1260,1096;134;30,0,0,0,true
4,dense_depth3,3,512,262144,12952,249192,185856;63336,0,0,0,true
4,dense_depth4,4,4096,16777216,118840,16658376,11894784;4053504;710088,0,0,0,true
4,boundary_truncated,4,158,24964,2712,22252,0;12418;9834,0,0,0,true
4,sparse_fixed,4,36,1296,44,1252,992;222;38,0,0,0,true
5,dense_depth3,3,512,262144,21016,241128,148992;92136,0,0,0,true
5,dense_depth4,4,4096,16777216,199480,16577736,9535488;5896704;1145544,0,0,0,true
5,boundary_truncated,4,158,24964,4322,20642,0;7946;12696,0,0,0,true
5,sparse_fixed,4,36,1296,44,1252,896;302;54,0,0,0,true
6,dense_depth3,3,512,262144,28072,234072,121344;112728,0,0,0,true
6,dense_depth4,4,4096,16777216,275080,16502136,7766016;7214592;1521528,0,0,0,true
6,boundary_truncated,4,158,24964,5566,19398,0;4850;14548,0,0,0,true
6,sparse_fixed,4,36,1296,44,1252,868;326;58,0,0,0,true
8,dense_depth3,3,512,262144,31528,230616,109056;121560,0,0,0,true
8,dense_depth4,4,4096,16777216,312712,16464504,6979584;7779840;1705080,0,0,0,true
8,boundary_truncated,4,158,24964,6198,18766,0;3774;14992,0,0,0,true
8,sparse_fixed,4,36,1296,44,1252,804;382;66,0,0,0,true
9,dense_depth3,3,512,262144,39496,222648,84480;138168,0,0,0,true
9,dense_depth4,4,4096,16777216,403240,16373976,5406720;8842752;2124504,0,0,0,true
9,boundary_truncated,4,158,24964,7418,17546,0;2064;15482,0,0,0,true
9,sparse_fixed,4,36,1296,62,1234,644;486;104,0,0,0,true
10,dense_depth3,3,512,262144,46216,215928,66048;149880,0,0,0,true
10,dense_depth4,4,4096,16777216,478120,16299096,4227072;9592320;2479704,0,0,0,true
10,boundary_truncated,4,158,24964,8520,16444,0;1416;15028,0,0,0,true
10,sparse_fixed,4,36,1296,62,1234,516;598;120,0,0,0,true
11,dense_depth3,3,512,262144,52096,210048,52224;157824,0,0,0,true
11,dense_depth4,4,4096,16777216,548320,16228896,3342336;10100736;2785824,0,0,0,true
11,boundary_truncated,4,158,24964,9580,15384,0;984;14400,0,0,0,true
11,sparse_fixed,4,36,1296,62,1234,480;634;120,0,0,0,true
12,dense_depth3,3,512,262144,53824,208320,48128;160192,0,0,0,true
12,dense_depth4,4,4096,16777216,570272,16206944,3080192;10252288;2874464,0,0,0,true
12,boundary_truncated,4,158,24964,9940,15024,0;744;14280,0,0,0,true
12,sparse_fixed,4,36,1296,62,1234,464;650;120,0,0,0,true
