# 030 per-n recommendations vs the shipped ell=5 geometry. Every row is MEASURED: both the baseline and the recommended configuration were run in campaign job 13035897 at the 028 frozen workload. Accuracy target 0.00119 (unchanged 028 gate).
n,precision,base_ell,base_ms,base_err,base_admissible,best_ell,best_ms,best_err,saving_ms,saving_pct,evidence
1000,fp16,5,2.98949,0.001671195973360382,false,3,1.926405,0.0004351100734405337,1.063085,35.56074781986226,measured
1000,f64,5,3.1217509999999997,0.0016704805693520917,false,3,1.9695960000000001,0.00037075631188299005,1.1521549999999996,36.90733181474114,measured
3162,fp16,5,3.354845,0.0017857848871151115,false,3,2.042566,0.0010154892772595387,1.3122790000000002,39.11593531146745,measured
3162,f64,5,3.725781,0.0017837017123696808,false,3,1.984987,0.0007410287056153482,1.740794,46.72292869602373,measured
10000,f64,5,4.211944,0.001617451032858361,false,3,2.0610899999999996,0.0009511379678400807,2.1508540000000003,51.06558871627924,measured
31623,fp16,5,4.33918,0.0012330637422150522,false,4,2.857237,0.0011151338431617927,1.4819429999999998,34.15260487004456,measured
31623,f64,5,6.046217,0.0012295125723042841,false,4,3.135518,0.0010853881369092097,2.9106990000000006,48.14082921602054,measured
100000,fp16,5,5.4787170000000005,0.0011081228325355936,true,4,3.1301900000000002,0.0010590846670312795,2.3485270000000003,42.866368166123564,measured
100000,f64,5,9.175501,0.0010996686902332905,true,4,3.629897,0.0010189031930294106,5.545604000000001,60.439250129230004,measured
316228,fp16,5,6.2498,0.0009932649052249584,true,4,5.655347,0.0010155724381873425,0.5944529999999997,9.511552369675826,measured
316228,f64,5,11.301177000000001,0.0009878419037319948,true,4,9.046916,0.0009573425622060931,2.2542610000000014,19.94713470995102,measured
1000000,fp16,5,9.591455999999999,0.0010592539203291983,true,5,9.591455999999999,0.0010592539203291983,0.0,0.0,measured
1000000,f64,5,20.740432,0.0010497245398751313,true,5,20.740432,0.0010497245398751313,0.0,0.0,measured
