manifest,job,policy,strategy,precision,expansion_order,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
c0afa01083322fb8,13044695,sched6-5-5-4,dense,Float32,3,false,1000000,5,898,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
c0afa01083322fb8,13044695,sched6-5-5-4,dense,Float32,3,false,1000000,5,898,3,874,119784,320,137.05263157894737,36.0,112.0,252.0
c0afa01083322fb8,13044695,sched6-5-5-4,dense,Float32,3,false,1000000,5,898,4,682,1145544,3328,1679.683284457478,672.0,1372.0,3072.0
c0afa01083322fb8,13044695,sched6-5-5-4,dense,Float32,3,false,1000000,5,898,5,706,11751816,29760,16645.631728045326,6720.0,13695.0,28768.0
