schema_version,source_hash,slurm_job_id,host,blas_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,accuracy_samples,level,occupied_nodes,routes,nonempty_classes,mean_occupancy,p50_occupancy,p90_occupancy,p95_occupancy,p99_occupancy,max_occupancy,occupancy_skew,m2l_ms_median,m2l_ms_min,m2l_ms_iqr
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940953,m12-2-21,1,hierarchical_12,factored,uniform,Float64,false,128,4,4,26026532,4,0,2,55,588,164,3.5853658536585367,3.0,6.0,7.0,7.0,7,0.3405143415481936,3.1654005,3.163968,0.009458500000000036
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940953,m12-2-21,1,hierarchical_12,factored,uniform,Float64,false,128,4,4,26026532,4,0,3,115,7780,1536,5.065104166666667,4.0,10.0,11.0,14.0,18,0.7555211670578169,35.68873,35.681366,0.028064999999998008
026.2,19a9673c9425d38d9f289d30b6e98be5a782c54bd6247945c8f8c696d381649c,12940953,m12-2-21,1,hierarchical_12,factored,uniform,Float64,false,128,4,4,26026532,4,0,4,127,2742,1298,2.1124807395993837,2.0,4.0,5.0,6.0,9,1.2980408082119999,13.6387945,13.635343,0.009001749999997699
