schema_version,source_hash,slurm_job_id,host,blas_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,accuracy_samples,level,occupied_nodes,routes,nonempty_classes,mean_occupancy,p50_occupancy,p90_occupancy,p95_occupancy,p99_occupancy,max_occupancy,occupancy_skew,m2l_ms_median,m2l_ms_min,m2l_ms_iqr
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,1024,3,4,26027327,4,0,3,438,151886,3190,47.613166144200626,33.0,112.0,140.0,167.33000000000038,187,1.158560778029249,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,1024,4,4,26027428,4,0,4,900,780558,27902,27.97498387212386,17.0,71.0,92.0,128.0,167,1.5557927902569004,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,1024,5,4,26027529,4,0,5,1011,1016036,174648,5.817621730566626,4.0,14.0,18.0,25.0,46,1.720102625630266,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,128,3,4,26026431,4,0,3,117,10728,2572,4.171073094867807,3.0,9.0,11.0,15.0,17,1.1878896992365044,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,128,4,4,26026532,4,0,4,127,15442,10054,1.5359061070220807,1.0,3.0,3.0,5.0,9,2.032382155131981,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,clustered,Float64,false,20000,4,4,26046404,4,0,4,621,342848,15228,22.51431573417389,13.0,57.0,69.0,103.0,163,1.6249549215084504,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,2048,3,4,26028351,4,0,3,501,199364,3196,62.37922403003755,45.0,144.5,183.0,215.05000000000018,245,1.1497469133223381,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,2048,4,4,26028452,4,0,4,1596,2457426,29238,84.04904576236405,50.0,218.0,286.0,395.0,490,1.5908568227440911,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,2048,5,4,26028553,4,0,5,1975,3879030,222586,17.427106826125634,11.0,44.0,58.0,83.0,122,1.7040053037911147,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,256,3,4,26026559,4,0,3,208,34714,3086,11.248865845755022,9.0,25.0,30.0,38.0,45,1.1088412209942409,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,256,4,4,26026660,4,0,4,243,56804,18290,3.1057408419901584,2.0,7.0,8.0,11.0,19,1.593098657958942,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,256,5,4,26026761,4,0,5,256,64938,49700,1.3065995975855131,1.0,2.0,3.0,4.0,7,2.4631255127107465,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,4096,4,4,26030500,4,0,4,2590,6471482,29522,219.20879344217872,129.0,569.0,744.0,1033.7899999999972,1277,1.585163356075921,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,4096,5,4,26030601,4,0,5,3851,14752204,239560,61.58041409250292,35.0,161.0,212.0,306.0,436,1.7354542974321054,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,512,3,4,26026815,4,0,3,317,79626,3156,25.230038022813687,18.0,60.0,73.0,87.45000000000027,102,1.1409713679066917,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,512,4,4,26026916,4,0,4,477,219146,24840,8.822302737520129,6.0,21.0,27.0,37.0,49,1.5409486880156562,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,512,5,4,26027017,4,0,5,506,254254,113782,2.234571373327943,2.0,4.0,6.0,8.0,16,1.8411400016235064,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,64,3,4,26026367,4,0,3,60,2850,1598,1.783479349186483,1.0,3.0,4.0,5.0,6,1.5016491700420265,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,flat,precomputed_y,uniform,Float64,false,8192,4,4,26034596,4,0,4,3554,12196642,29606,411.96520975477944,251.0,1052.0,1371.0,1899.0,2325,1.5649141129185167,NaN,NaN,NaN
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,3,4,26027327,4,0,2,64,752,164,4.585365853658536,4.0,8.0,8.0,8.0,8,0.13831200420623618,3.53788,3.504481,0.053800250000000105
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,3,4,26027327,4,0,3,438,117328,1740,67.42988505747127,60.0,136.0,154.0,175.6099999999999,187,0.6271347420652101,96.47616500000001,96.18655,0.4597724999999997
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,4,4,26027428,4,0,2,64,752,164,4.585365853658536,4.0,8.0,8.0,8.0,8,0.13831200420623618,4.2771105,4.259853,0.028956749999999865
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,4,4,26027428,4,0,3,448,122738,1740,70.53908045977012,62.0,143.0,163.0,185.6099999999999,195,0.6266967435006271,99.72720000000001,99.540238,0.33517999999999404
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,4,4,26027428,4,0,4,900,143026,1740,82.19885057471264,87.5,134.0999999999999,142.0,153.6099999999999,167,-0.0601716414086987,123.9665605,123.774534,0.3517544999999984
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,5,4,26027529,4,0,2,64,752,164,4.585365853658536,4.0,8.0,8.0,8.0,8,0.13831200420623618,5.2260855,5.189753,0.0430394999999999
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,5,4,26027529,4,0,3,439,118742,1740,68.24252873563218,60.0,137.0999999999999,158.0,181.6099999999999,190,0.6381592330255819,98.3263835,98.049687,0.40915375000000154
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,5,4,26027529,4,0,4,902,153046,1740,87.95747126436781,94.5,141.0,151.0,162.6099999999999,169,-0.09896021102175266,132.85395699999998,132.714936,0.38804725000002804
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,1024,5,4,26027529,4,0,5,1011,32642,1740,18.75977011494253,19.0,31.0,33.0,37.0,46,0.0315225274964556,44.16357,43.906831,0.41209600000000535
026.2,5f85ea2ab02b460c8d9733642bc8f49d530f987496e7f98d51d9177be830d5fc,12953685,m12-1-25,1,hierarchical_12,precomputed_y,uniform,Float64,false,128,3,4,26026431,4,0,2,53,480,158,3.037974683544304,3.0,6.0,6.0,7.0,7,0.5573385580666823,3.1091885,3.104099,0.13051350000000017
