case,n_airfoil,topology,formulation,rpm,abs_r_over_R,gamma_blade_1,gamma_blade_2,gamma_mean,gamma_direct_mean,gamma_slice_mean
dji81c,81,watertight,dirichlet,5400.0,0.125,0.05046522512485014,0.05046522512485291,0.05046522512485152,0.05046522512485152,0.0
dji81c,81,watertight,dirichlet,5400.0,0.15,0.06555801085161443,0.06555801085161529,0.06555801085161486,0.06555801085161486,0.0
dji81c,81,watertight,dirichlet,5400.0,0.175,0.07790686298703525,0.07790686298703507,0.07790686298703517,0.07790686298703517,0.0
dji81c,81,watertight,dirichlet,5400.0,0.2,0.08846029379083495,0.08846029379083498,0.08846029379083496,0.08846029379083496,0.0
dji81c,81,watertight,dirichlet,5400.0,0.225,0.09747429972949087,0.09747429972948753,0.0974742997294892,0.0974742997294892,0.0
dji81c,81,watertight,dirichlet,5400.0,0.25,0.10599976525581302,0.10599976525580743,0.10599976525581023,0.10599976525581023,0.0
dji81c,81,watertight,dirichlet,5400.0,0.275,0.11515310517516074,0.11515310517515735,0.11515310517515905,0.11515310517515905,0.0
dji81c,81,watertight,dirichlet,5400.0,0.3,0.12590429904417688,0.12590429904417738,0.12590429904417713,0.12590429904417713,0.0
dji81c,81,watertight,dirichlet,5400.0,0.325,0.13720795673481168,0.13720795673481015,0.1372079567348109,0.1372079567348109,0.0
dji81c,81,watertight,dirichlet,5400.0,0.35,0.15010331057045675,0.15010331057045911,0.15010331057045795,0.15010331057045795,0.0
dji81c,81,watertight,dirichlet,5400.0,0.375,0.16302450875717822,0.16302450875718447,0.16302450875718133,0.16302450875718133,0.0
dji81c,81,watertight,dirichlet,5400.0,0.4,0.1747426072284925,0.1747426072284986,0.17474260722849555,0.17474260722849555,0.0
dji81c,81,watertight,dirichlet,5400.0,0.425,0.18470653661661646,0.18470653661661818,0.18470653661661732,0.18470653661661732,0.0
dji81c,81,watertight,dirichlet,5400.0,0.45,0.1937303699098794,0.1937303699098846,0.19373036990988202,0.19373036990988202,0.0
dji81c,81,watertight,dirichlet,5400.0,0.475,0.20269500921315836,0.20269500921316214,0.20269500921316025,0.20269500921316025,0.0
dji81c,81,watertight,dirichlet,5400.0,0.5,0.211098778053841,0.2110987780538405,0.21109877805384075,0.21109877805384075,0.0
dji81c,81,watertight,dirichlet,5400.0,0.525,0.21868649341140098,0.2186864934113983,0.21868649341139962,0.21868649341139962,0.0
dji81c,81,watertight,dirichlet,5400.0,0.55,0.22545072699036875,0.2254507269903719,0.22545072699037033,0.22545072699037033,0.0
dji81c,81,watertight,dirichlet,5400.0,0.575,0.23196095827101823,0.23196095827102484,0.23196095827102153,0.23196095827102153,0.0
dji81c,81,watertight,dirichlet,5400.0,0.6,0.23639135623793683,0.2363913562379504,0.2363913562379436,0.2363913562379436,0.0
dji81c,81,watertight,dirichlet,5400.0,0.625,0.23888566416792803,0.23888566416793497,0.2388856641679315,0.2388856641679315,0.0
dji81c,81,watertight,dirichlet,5400.0,0.65,0.23959885935707648,0.2395988593570825,0.23959885935707947,0.23959885935707947,0.0
dji81c,81,watertight,dirichlet,5400.0,0.675,0.2387727204830398,0.2387727204830705,0.23877272048305515,0.23877272048305515,0.0
dji81c,81,watertight,dirichlet,5400.0,0.7,0.23653197334458045,0.2365319733445929,0.23653197334458667,0.23653197334458667,0.0
dji81c,81,watertight,dirichlet,5400.0,0.725,0.23280914392186433,0.23280914392187196,0.23280914392186813,0.23280914392186813,0.0
dji81c,81,watertight,dirichlet,5400.0,0.75,0.2278150223834166,0.22781502238342258,0.2278150223834196,0.2278150223834196,0.0
dji81c,81,watertight,dirichlet,5400.0,0.775,0.22159176645270812,0.22159176645271023,0.22159176645270917,0.22159176645270917,0.0
dji81c,81,watertight,dirichlet,5400.0,0.8,0.21411555456449308,0.2141155545644892,0.21411555456449113,0.21411555456449113,0.0
dji81c,81,watertight,dirichlet,5400.0,0.825,0.2050098294699267,0.20500982946992832,0.20500982946992752,0.20500982946992752,0.0
dji81c,81,watertight,dirichlet,5400.0,0.85,0.193544792311768,0.19354479231176783,0.1935447923117679,0.1935447923117679,0.0
dji81c,81,watertight,dirichlet,5400.0,0.875,0.18073795409210722,0.18073795409210153,0.18073795409210436,0.18073795409210436,0.0
