stage,form,precision,blas_threads,P,batch,measured_batch,scaled_from_per_expansion,seconds,seconds_per_expansion
m2m_z_translation,recurrence,Float64,1,2,1,1,false,2.505820e-08,2.505820e-08
m2l_z_translation,recurrence,Float64,1,2,1,1,false,4.890470e-08,4.890470e-08
l2l_z_translation,recurrence,Float64,1,2,1,1,false,3.485840e-08,3.485840e-08
axis_swap,recurrence,Float64,1,2,1,1,false,1.522210e-07,1.522210e-07
m2m_z_translation,dense,Float64,1,2,1,1,false,6.800200e-08,6.800200e-08
m2m_z_translation,dense_packed,Float64,1,2,1,1,false,1.408490e-07,1.408490e-07
m2m_z_translation,compiled_block_loop,Float64,1,2,1,1,false,4.387740e-08,4.387740e-08
m2l_z_translation,dense,Float64,1,2,1,1,false,6.777560e-08,6.777560e-08
m2l_z_translation,dense_packed,Float64,1,2,1,1,false,1.412920e-07,1.412920e-07
m2l_z_translation,compiled_block_loop,Float64,1,2,1,1,false,4.408480e-08,4.408480e-08
l2l_z_translation,dense,Float64,1,2,1,1,false,6.785680e-08,6.785680e-08
l2l_z_translation,dense_packed,Float64,1,2,1,1,false,1.423300e-07,1.423300e-07
l2l_z_translation,compiled_block_loop,Float64,1,2,1,1,false,4.416310e-08,4.416310e-08
axis_swap,dense,Float64,1,2,1,1,false,8.851260e-08,8.851260e-08
axis_swap,dense_packed,Float64,1,2,1,1,false,1.669820e-07,1.669820e-07
axis_swap,compiled_block_loop,Float64,1,2,1,1,false,6.667480e-08,6.667480e-08
m2m_z_translation,dense,Float32,1,2,1,1,false,6.785760e-08,6.785760e-08
m2m_z_translation,dense_packed,Float32,1,2,1,1,false,1.428210e-07,1.428210e-07
m2m_z_translation,compiled_block_loop,Float32,1,2,1,1,false,4.060150e-08,4.060150e-08
m2l_z_translation,dense,Float32,1,2,1,1,false,6.795620e-08,6.795620e-08
m2l_z_translation,dense_packed,Float32,1,2,1,1,false,1.436430e-07,1.436430e-07
m2l_z_translation,compiled_block_loop,Float32,1,2,1,1,false,4.054290e-08,4.054290e-08
l2l_z_translation,dense,Float32,1,2,1,1,false,6.846780e-08,6.846780e-08
l2l_z_translation,dense_packed,Float32,1,2,1,1,false,1.367530e-07,1.367530e-07
l2l_z_translation,compiled_block_loop,Float32,1,2,1,1,false,4.058070e-08,4.058070e-08
axis_swap,dense,Float32,1,2,1,1,false,8.930370e-08,8.930370e-08
axis_swap,dense_packed,Float32,1,2,1,1,false,1.744240e-07,1.744240e-07
axis_swap,compiled_block_loop,Float32,1,2,1,1,false,6.168350e-08,6.168350e-08
m2m_z_translation,recurrence,Float64,1,2,8,8,false,1.960710e-07,2.450888e-08
m2l_z_translation,recurrence,Float64,1,2,8,8,false,3.944360e-07,4.930450e-08
l2l_z_translation,recurrence,Float64,1,2,8,8,false,2.727560e-07,3.409450e-08
axis_swap,recurrence,Float64,1,2,8,8,false,1.223630e-06,1.529538e-07
m2m_z_translation,dense,Float64,1,2,8,8,false,1.255450e-07,1.569313e-08
m2m_z_translation,dense_packed,Float64,1,2,8,8,false,3.336630e-07,4.170788e-08
m2m_z_translation,compiled_block_loop,Float64,1,2,8,8,false,2.853770e-07,3.567213e-08
m2l_z_translation,dense,Float64,1,2,8,8,false,1.255430e-07,1.569287e-08
m2l_z_translation,dense_packed,Float64,1,2,8,8,false,3.584220e-07,4.480275e-08
m2l_z_translation,compiled_block_loop,Float64,1,2,8,8,false,2.851720e-07,3.564650e-08
l2l_z_translation,dense,Float64,1,2,8,8,false,1.251690e-07,1.564613e-08
l2l_z_translation,dense_packed,Float64,1,2,8,8,false,3.515710e-07,4.394637e-08
l2l_z_translation,compiled_block_loop,Float64,1,2,8,8,false,2.910670e-07,3.638337e-08
axis_swap,dense,Float64,1,2,8,8,false,1.355400e-07,1.694250e-08
axis_swap,dense_packed,Float64,1,2,8,8,false,4.209030e-07,5.261287e-08
axis_swap,compiled_block_loop,Float64,1,2,8,8,false,4.750090e-07,5.937612e-08
m2m_z_translation,dense,Float32,1,2,8,8,false,1.245380e-07,1.556725e-08
m2m_z_translation,dense_packed,Float32,1,2,8,8,false,3.536020e-07,4.420025e-08
m2m_z_translation,compiled_block_loop,Float32,1,2,8,8,false,2.621400e-07,3.276750e-08
m2l_z_translation,dense,Float32,1,2,8,8,false,1.241160e-07,1.551450e-08
m2l_z_translation,dense_packed,Float32,1,2,8,8,false,3.534480e-07,4.418100e-08
m2l_z_translation,compiled_block_loop,Float32,1,2,8,8,false,2.601380e-07,3.251725e-08
l2l_z_translation,dense,Float32,1,2,8,8,false,1.248790e-07,1.560987e-08
l2l_z_translation,dense_packed,Float32,1,2,8,8,false,3.592740e-07,4.490925e-08
l2l_z_translation,compiled_block_loop,Float32,1,2,8,8,false,2.613420e-07,3.266775e-08
axis_swap,dense,Float32,1,2,8,8,false,1.352770e-07,1.690963e-08
axis_swap,dense_packed,Float32,1,2,8,8,false,4.394380e-07,5.492975e-08
axis_swap,compiled_block_loop,Float32,1,2,8,8,false,4.286390e-07,5.357987e-08
m2m_z_translation,recurrence,Float64,1,2,64,64,false,1.575410e-06,2.461578e-08
m2l_z_translation,recurrence,Float64,1,2,64,64,false,3.079270e-06,4.811359e-08
l2l_z_translation,recurrence,Float64,1,2,64,64,false,2.186960e-06,3.417125e-08
axis_swap,recurrence,Float64,1,2,64,64,false,9.712370e-06,1.517558e-07
m2m_z_translation,dense,Float64,1,2,64,64,false,3.945590e-07,6.164984e-09
m2m_z_translation,dense_packed,Float64,1,2,64,64,false,1.863850e-06,2.912266e-08
m2m_z_translation,compiled_block_loop,Float64,1,2,64,64,false,2.249260e-06,3.514469e-08
m2l_z_translation,dense,Float64,1,2,64,64,false,3.758280e-07,5.872312e-09
m2l_z_translation,dense_packed,Float64,1,2,64,64,false,1.983890e-06,3.099828e-08
m2l_z_translation,compiled_block_loop,Float64,1,2,64,64,false,2.249250e-06,3.514453e-08
l2l_z_translation,dense,Float64,1,2,64,64,false,3.791160e-07,5.923687e-09
l2l_z_translation,dense_packed,Float64,1,2,64,64,false,1.920380e-06,3.000594e-08
l2l_z_translation,compiled_block_loop,Float64,1,2,64,64,false,2.359960e-06,3.687438e-08
axis_swap,dense,Float64,1,2,64,64,false,4.839610e-07,7.561891e-09
axis_swap,dense_packed,Float64,1,2,64,64,false,2.525620e-06,3.946281e-08
axis_swap,compiled_block_loop,Float64,1,2,64,64,false,3.844380e-06,6.006844e-08
m2m_z_translation,dense,Float32,1,2,64,64,false,3.667190e-07,5.729984e-09
m2m_z_translation,dense_packed,Float32,1,2,64,64,false,2.050970e-06,3.204641e-08
m2m_z_translation,compiled_block_loop,Float32,1,2,64,64,false,2.049070e-06,3.201672e-08
m2l_z_translation,dense,Float32,1,2,64,64,false,4.114290e-07,6.428578e-09
m2l_z_translation,dense_packed,Float32,1,2,64,64,false,2.032170e-06,3.175266e-08
m2l_z_translation,compiled_block_loop,Float32,1,2,64,64,false,2.042070e-06,3.190734e-08
l2l_z_translation,dense,Float32,1,2,64,64,false,3.684090e-07,5.756391e-09
l2l_z_translation,dense_packed,Float32,1,2,64,64,false,1.991720e-06,3.112063e-08
l2l_z_translation,compiled_block_loop,Float32,1,2,64,64,false,2.041240e-06,3.189437e-08
axis_swap,dense,Float32,1,2,64,64,false,4.418180e-07,6.903406e-09
axis_swap,dense_packed,Float32,1,2,64,64,false,2.881540e-06,4.502406e-08
axis_swap,compiled_block_loop,Float32,1,2,64,64,false,3.364030e-06,5.256297e-08
m2m_z_translation,recurrence,Float64,1,2,512,512,false,1.252980e-05,2.447227e-08
m2l_z_translation,recurrence,Float64,1,2,512,512,false,2.460360e-05,4.805391e-08
l2l_z_translation,recurrence,Float64,1,2,512,512,false,1.739230e-05,3.396934e-08
axis_swap,recurrence,Float64,1,2,512,512,false,7.762940e-05,1.516199e-07
m2m_z_translation,dense,Float64,1,2,512,512,false,3.911420e-06,7.639492e-09
m2m_z_translation,dense_packed,Float64,1,2,512,512,false,1.620910e-05,3.165840e-08
m2m_z_translation,compiled_block_loop,Float64,1,2,512,512,false,1.834130e-05,3.582285e-08
m2l_z_translation,dense,Float64,1,2,512,512,false,3.846080e-06,7.511875e-09
m2l_z_translation,dense_packed,Float64,1,2,512,512,false,1.681400e-05,3.283984e-08
m2l_z_translation,compiled_block_loop,Float64,1,2,512,512,false,1.791350e-05,3.498730e-08
l2l_z_translation,dense,Float64,1,2,512,512,false,3.901500e-06,7.620117e-09
l2l_z_translation,dense_packed,Float64,1,2,512,512,false,1.662080e-05,3.246250e-08
l2l_z_translation,compiled_block_loop,Float64,1,2,512,512,false,1.774950e-05,3.466699e-08
axis_swap,dense,Float64,1,2,512,512,false,4.431100e-06,8.654492e-09
axis_swap,dense_packed,Float64,1,2,512,512,false,2.188700e-05,4.274805e-08
axis_swap,compiled_block_loop,Float64,1,2,512,512,false,2.943040e-05,5.748125e-08
m2m_z_translation,dense,Float32,1,2,512,512,false,2.987050e-06,5.834082e-09
m2m_z_translation,dense_packed,Float32,1,2,512,512,false,1.661490e-05,3.245098e-08
m2m_z_translation,compiled_block_loop,Float32,1,2,512,512,false,1.610160e-05,3.144844e-08
m2l_z_translation,dense,Float32,1,2,512,512,false,2.932490e-06,5.727520e-09
m2l_z_translation,dense_packed,Float32,1,2,512,512,false,1.620160e-05,3.164375e-08
m2l_z_translation,compiled_block_loop,Float32,1,2,512,512,false,1.607540e-05,3.139727e-08
l2l_z_translation,dense,Float32,1,2,512,512,false,2.964340e-06,5.789727e-09
l2l_z_translation,dense_packed,Float32,1,2,512,512,false,1.663910e-05,3.249824e-08
l2l_z_translation,compiled_block_loop,Float32,1,2,512,512,false,1.609470e-05,3.143496e-08
axis_swap,dense,Float32,1,2,512,512,false,3.634320e-06,7.098281e-09
axis_swap,dense_packed,Float32,1,2,512,512,false,2.112180e-05,4.125352e-08
axis_swap,compiled_block_loop,Float32,1,2,512,512,false,2.668900e-05,5.212695e-08
m2m_z_translation,recurrence,Float64,1,2,4096,2048,true,1.000836e-04,2.443447e-08
m2l_z_translation,recurrence,Float64,1,2,4096,2048,true,1.972162e-04,4.814849e-08
l2l_z_translation,recurrence,Float64,1,2,4096,2048,true,1.392578e-04,3.399849e-08
axis_swap,recurrence,Float64,1,2,4096,2048,true,6.209360e-04,1.515957e-07
m2m_z_translation,dense,Float64,1,2,4096,4096,false,3.058730e-05,7.467603e-09
m2m_z_translation,dense_packed,Float64,1,2,4096,4096,false,1.245460e-04,3.040674e-08
m2m_z_translation,compiled_block_loop,Float64,1,2,4096,4096,false,1.413550e-04,3.451050e-08
m2l_z_translation,dense,Float64,1,2,4096,4096,false,3.052450e-05,7.452271e-09
m2l_z_translation,dense_packed,Float64,1,2,4096,4096,false,1.351810e-04,3.300317e-08
m2l_z_translation,compiled_block_loop,Float64,1,2,4096,4096,false,1.419150e-04,3.464722e-08
l2l_z_translation,dense,Float64,1,2,4096,4096,false,3.059600e-05,7.469727e-09
l2l_z_translation,dense_packed,Float64,1,2,4096,4096,false,1.261150e-04,3.078979e-08
l2l_z_translation,compiled_block_loop,Float64,1,2,4096,4096,false,1.423720e-04,3.475879e-08
axis_swap,dense,Float64,1,2,4096,4096,false,3.497230e-05,8.538159e-09
axis_swap,dense_packed,Float64,1,2,4096,4096,false,1.804720e-04,4.406055e-08
axis_swap,compiled_block_loop,Float64,1,2,4096,4096,false,2.352790e-04,5.744116e-08
m2m_z_translation,dense,Float32,1,2,4096,4096,false,2.516780e-05,6.144482e-09
m2m_z_translation,dense_packed,Float32,1,2,4096,4096,false,1.156070e-04,2.822437e-08
m2m_z_translation,compiled_block_loop,Float32,1,2,4096,4096,false,1.286300e-04,3.140381e-08
m2l_z_translation,dense,Float32,1,2,4096,4096,false,2.510340e-05,6.128760e-09
m2l_z_translation,dense_packed,Float32,1,2,4096,4096,false,1.151040e-04,2.810156e-08
