stage,P,lamb_helmholtz,seconds
rotate_z,4,false,3.135760e-08
rotate_multipole_y,4,false,6.251910e-07
translate_multipole_z,4,false,6.764410e-08
translate_multipole_to_local_z,4,false,1.344550e-07
translate_local_z,4,false,8.491260e-08
rotate_z,4,true,3.976520e-08
rotate_multipole_y,4,true,7.100650e-07
translate_multipole_z,4,true,1.055780e-07
translate_multipole_to_local_z,4,true,1.755580e-07
translate_local_z,4,true,1.138990e-07
transform_lamb_helmholtz_multipole,4,true,5.078660e-08
transform_lamb_helmholtz_local,4,true,6.749090e-08
rotate_z,8,false,6.785090e-08
rotate_multipole_y,8,false,4.101120e-06
translate_multipole_z,8,false,2.644500e-07
translate_multipole_to_local_z,8,false,5.442350e-07
translate_local_z,8,false,3.183990e-07
rotate_z,8,true,9.518890e-08
rotate_multipole_y,8,true,4.520090e-06
translate_multipole_z,8,true,4.141170e-07
translate_multipole_to_local_z,8,true,7.199270e-07
translate_local_z,8,true,4.237890e-07
transform_lamb_helmholtz_multipole,8,true,1.362790e-07
transform_lamb_helmholtz_local,8,true,1.851890e-07
rotate_z,12,false,1.142870e-07
rotate_multipole_y,12,false,1.479960e-05
translate_multipole_z,12,false,6.813710e-07
translate_multipole_to_local_z,12,false,1.449680e-06
translate_local_z,12,false,8.215290e-07
rotate_z,12,true,1.700390e-07
rotate_multipole_y,12,true,1.600230e-05
translate_multipole_z,12,true,1.115100e-06
translate_multipole_to_local_z,12,true,1.941620e-06
translate_local_z,12,true,1.094860e-06
transform_lamb_helmholtz_multipole,12,true,2.625420e-07
transform_lamb_helmholtz_local,12,true,3.606880e-07
rotate_z,20,false,2.372650e-07
rotate_multipole_y,20,false,8.640480e-05
translate_multipole_z,20,false,2.579920e-06
translate_multipole_to_local_z,20,false,5.641170e-06
translate_local_z,20,false,3.054110e-06
rotate_z,20,true,3.760730e-07
rotate_multipole_y,20,true,9.136920e-05
translate_multipole_z,20,true,3.923710e-06
translate_multipole_to_local_z,20,true,7.187530e-06
translate_local_z,20,true,3.889070e-06
transform_lamb_helmholtz_multipole,20,true,6.416210e-07
transform_lamb_helmholtz_local,20,true,8.880370e-07
