stage,form,launch_strategy,transfer_variant,precision,P,batch,seconds,seconds_per_expansion
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,64,3.168000e-05,4.950000e-07
axis_swap,dense,per_block_launch,device_resident,Float64,4,64,1.249600e-04,1.952500e-06
axis_swap,dense,per_block_launch,with_transfer,Float64,4,64,2.233280e-04,3.489500e-06
axis_swap,dense,fused_kernel,device_resident,Float64,4,64,9.024000e-06,1.410000e-07
axis_swap,dense,fused_kernel,with_transfer,Float64,4,64,3.366400e-05,5.260000e-07
m2m_z_translation,dense,per_block_launch,device_resident,Float64,4,512,1.256960e-04,2.455000e-07
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,4,512,2.486080e-04,4.855625e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float64,4,512,8.832000e-06,1.725000e-08
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,4,512,4.835200e-05,9.443750e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,4,512,1.256000e-04,2.453125e-07
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,512,2.475520e-04,4.835000e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float64,4,512,8.640000e-06,1.687500e-08
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,512,4.780800e-05,9.337500e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,512,1.249920e-04,2.441250e-07
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,512,2.479040e-04,4.841875e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float64,4,512,8.800000e-06,1.718750e-08
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,512,4.764800e-05,9.306250e-08
axis_swap,dense,per_block_launch,device_resident,Float64,4,512,1.250560e-04,2.442500e-07
axis_swap,dense,per_block_launch,with_transfer,Float64,4,512,2.670400e-04,5.215625e-07
axis_swap,dense,fused_kernel,device_resident,Float64,4,512,9.280000e-06,1.812500e-08
axis_swap,dense,fused_kernel,with_transfer,Float64,4,512,6.454400e-05,1.260625e-07
m2m_z_translation,dense,per_block_launch,device_resident,Float64,4,4096,1.254080e-04,3.061719e-08
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,4,4096,4.432320e-04,1.082109e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float64,4,4096,9.408000e-06,2.296875e-09
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,4,4096,1.779200e-04,4.343750e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,4,4096,1.260800e-04,3.078125e-08
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,4096,4.428160e-04,1.081094e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float64,4,4096,9.376000e-06,2.289062e-09
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,4096,1.785920e-04,4.360156e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,4096,1.262400e-04,3.082031e-08
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,4096,4.450880e-04,1.086641e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float64,4,4096,9.280000e-06,2.265625e-09
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,4096,1.779520e-04,4.344531e-08
axis_swap,dense,per_block_launch,device_resident,Float64,4,4096,1.265280e-04,3.089063e-08
axis_swap,dense,per_block_launch,with_transfer,Float64,4,4096,5.657280e-04,1.381172e-07
axis_swap,dense,fused_kernel,device_resident,Float64,4,4096,1.155200e-05,2.820313e-09
axis_swap,dense,fused_kernel,with_transfer,Float64,4,4096,2.675200e-04,6.531251e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,4,32768,1.295360e-04,3.953125e-09
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,4,32768,1.632128e-03,4.980859e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float64,4,32768,1.894400e-05,5.781250e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,4,32768,1.027104e-03,3.134473e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,4,32768,1.296320e-04,3.956055e-09
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,32768,1.646048e-03,5.023340e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float64,4,32768,1.884800e-05,5.751953e-10
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,32768,1.028032e-03,3.137304e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,32768,1.294080e-04,3.949219e-09
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,32768,1.631872e-03,4.980078e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float64,4,32768,1.878400e-05,5.732422e-10
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,32768,1.025984e-03,3.131055e-08
axis_swap,dense,per_block_launch,device_resident,Float64,4,32768,1.391680e-04,4.247070e-09
axis_swap,dense,per_block_launch,with_transfer,Float64,4,32768,2.460640e-03,7.509277e-08
axis_swap,dense,fused_kernel,device_resident,Float64,4,32768,2.860800e-05,8.730469e-10
axis_swap,dense,fused_kernel,with_transfer,Float64,4,32768,1.665376e-03,5.082324e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,4,262144,2.749760e-04,1.048950e-09
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,4,262144,1.032672e-02,3.939331e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float64,4,262144,9.766400e-05,3.725586e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,4,262144,7.622528e-03,2.907764e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,4,262144,2.752960e-04,1.050171e-09
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,262144,1.032291e-02,3.937879e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float64,4,262144,9.696000e-05,3.698730e-10
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,262144,7.629952e-03,2.910596e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,262144,2.755520e-04,1.051148e-09
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,262144,1.032541e-02,3.938830e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float64,4,262144,9.772800e-05,3.728027e-10
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,262144,7.623328e-03,2.908069e-08
axis_swap,dense,per_block_launch,device_resident,Float64,4,262144,3.110080e-04,1.186401e-09
axis_swap,dense,per_block_launch,with_transfer,Float64,4,262144,2.965149e-02,1.131114e-07
axis_swap,dense,fused_kernel,device_resident,Float64,4,262144,1.828800e-04,6.976318e-10
axis_swap,dense,fused_kernel,with_transfer,Float64,4,262144,2.496118e-02,9.521936e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,1,1.138560e-04,1.138560e-04
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,1,2.060160e-04,2.060160e-04
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,1,8.384000e-06,8.384000e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,1,2.931200e-05,2.931200e-05
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,1,1.129920e-04,1.129920e-04
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,1,2.057280e-04,2.057280e-04
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,1,7.488000e-06,7.488000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,1,2.947200e-05,2.947200e-05
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,1,1.128320e-04,1.128320e-04
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,1,2.043840e-04,2.043840e-04
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,1,8.352000e-06,8.352000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,1,2.972800e-05,2.972800e-05
axis_swap,dense,per_block_launch,device_resident,Float32,4,1,1.124800e-04,1.124800e-04
axis_swap,dense,per_block_launch,with_transfer,Float32,4,1,2.051840e-04,2.051840e-04
axis_swap,dense,fused_kernel,device_resident,Float32,4,1,9.056000e-06,9.056000e-06
axis_swap,dense,fused_kernel,with_transfer,Float32,4,1,3.033600e-05,3.033600e-05
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,8,1.124160e-04,1.405200e-05
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,8,2.043520e-04,2.554400e-05
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,8,8.544000e-06,1.068000e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,8,2.934400e-05,3.668000e-06
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,8,1.125760e-04,1.407200e-05
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,8,2.048640e-04,2.560800e-05
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,8,8.480000e-06,1.060000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,8,2.966400e-05,3.708000e-06
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,8,1.126400e-04,1.408000e-05
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,8,2.047040e-04,2.558800e-05
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,8,8.512000e-06,1.064000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,8,2.960000e-05,3.700000e-06
axis_swap,dense,per_block_launch,device_resident,Float32,4,8,1.123520e-04,1.404400e-05
axis_swap,dense,per_block_launch,with_transfer,Float32,4,8,2.047680e-04,2.559600e-05
axis_swap,dense,fused_kernel,device_resident,Float32,4,8,9.088000e-06,1.136000e-06
axis_swap,dense,fused_kernel,with_transfer,Float32,4,8,3.036800e-05,3.796000e-06
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,64,1.256000e-04,1.962500e-06
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,64,2.197120e-04,3.433000e-06
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,64,8.672000e-06,1.355000e-07
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,64,3.056000e-05,4.775000e-07
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,64,1.259520e-04,1.968000e-06
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,64,2.204480e-04,3.444500e-06
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,64,8.608000e-06,1.345000e-07
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,64,3.065600e-05,4.790000e-07
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,64,1.262400e-04,1.972500e-06
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,64,2.203520e-04,3.443000e-06
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,64,8.576000e-06,1.340000e-07
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,64,3.068800e-05,4.795000e-07
axis_swap,dense,per_block_launch,device_resident,Float32,4,64,1.250240e-04,1.953500e-06
axis_swap,dense,per_block_launch,with_transfer,Float32,4,64,2.218240e-04,3.466000e-06
axis_swap,dense,fused_kernel,device_resident,Float32,4,64,9.312000e-06,1.455000e-07
axis_swap,dense,fused_kernel,with_transfer,Float32,4,64,3.203200e-05,5.005001e-07
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,512,1.267200e-04,2.475000e-07
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,512,2.325440e-04,4.541875e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,512,8.800000e-06,1.718750e-08
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,512,3.846400e-05,7.512499e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,512,1.263040e-04,2.466875e-07
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,512,2.337280e-04,4.565000e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,512,8.768000e-06,1.712500e-08
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,512,3.884800e-05,7.587500e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,512,1.259840e-04,2.460625e-07
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,512,2.329280e-04,4.549375e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,512,8.768000e-06,1.712500e-08
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,512,3.894400e-05,7.606250e-08
axis_swap,dense,per_block_launch,device_resident,Float32,4,512,1.258560e-04,2.458125e-07
axis_swap,dense,per_block_launch,with_transfer,Float32,4,512,2.422400e-04,4.731250e-07
axis_swap,dense,fused_kernel,device_resident,Float32,4,512,9.472001e-06,1.850000e-08
axis_swap,dense,fused_kernel,with_transfer,Float32,4,512,4.598400e-05,8.981250e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,4096,1.265600e-04,3.089844e-08
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,4096,3.372160e-04,8.232812e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,4096,9.376000e-06,2.289062e-09
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,4096,1.042240e-04,2.544531e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,4096,1.262720e-04,3.082812e-08
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,4096,3.362880e-04,8.210156e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,4096,9.376000e-06,2.289062e-09
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,4096,1.048320e-04,2.559375e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,4096,1.262400e-04,3.082031e-08
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,4096,3.374080e-04,8.237500e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,4096,9.440000e-06,2.304688e-09
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,4096,1.057600e-04,2.582031e-08
axis_swap,dense,per_block_launch,device_resident,Float32,4,4096,1.257920e-04,3.071094e-08
axis_swap,dense,per_block_launch,with_transfer,Float32,4,4096,4.097920e-04,1.000469e-07
axis_swap,dense,fused_kernel,device_resident,Float32,4,4096,1.062400e-05,2.593750e-09
axis_swap,dense,fused_kernel,with_transfer,Float32,4,4096,1.539840e-04,3.759375e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,32768,1.351040e-04,4.123047e-09
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,32768,9.744960e-04,2.973926e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,32768,1.859200e-05,5.673828e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,32768,5.634560e-04,1.719531e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,32768,1.351040e-04,4.123047e-09
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,32768,9.794240e-04,2.988965e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,32768,1.859200e-05,5.673828e-10
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,32768,5.623680e-04,1.716211e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,32768,1.348480e-04,4.115234e-09
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,32768,9.683200e-04,2.955078e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,32768,1.856000e-05,5.664063e-10
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,32768,5.610880e-04,1.712305e-08
axis_swap,dense,per_block_launch,device_resident,Float32,4,32768,1.252480e-04,3.822266e-09
axis_swap,dense,per_block_launch,with_transfer,Float32,4,32768,1.409728e-03,4.302149e-08
axis_swap,dense,fused_kernel,device_resident,Float32,4,32768,2.729600e-05,8.330078e-10
axis_swap,dense,fused_kernel,with_transfer,Float32,4,32768,8.751040e-04,2.670605e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float32,4,262144,1.864640e-04,7.113037e-10
m2m_z_translation,dense,per_block_launch,with_transfer,Float32,4,262144,5.373536e-03,2.049841e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float32,4,262144,9.107200e-05,3.474121e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float32,4,262144,3.909472e-03,1.491345e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float32,4,262144,1.863680e-04,7.109375e-10
m2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,262144,5.370432e-03,2.048657e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float32,4,262144,9.104000e-05,3.472900e-10
m2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,262144,3.895072e-03,1.485852e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float32,4,262144,1.862720e-04,7.105713e-10
l2l_z_translation,dense,per_block_launch,with_transfer,Float32,4,262144,5.370912e-03,2.048840e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float32,4,262144,9.116800e-05,3.477783e-10
l2l_z_translation,dense,fused_kernel,with_transfer,Float32,4,262144,3.900576e-03,1.487952e-08
axis_swap,dense,per_block_launch,device_resident,Float32,4,262144,1.944640e-04,7.418213e-10
axis_swap,dense,per_block_launch,with_transfer,Float32,4,262144,8.639424e-03,3.295679e-08
axis_swap,dense,fused_kernel,device_resident,Float32,4,262144,1.609280e-04,6.138916e-10
axis_swap,dense,fused_kernel,with_transfer,Float32,4,262144,6.585824e-03,2.512292e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,1,1.353280e-04,1.353280e-04
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,1,2.449280e-04,2.449280e-04
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,1,8.896000e-06,8.896000e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,1,2.947200e-05,2.947200e-05
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,1,1.349120e-04,1.349120e-04
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,1,2.453440e-04,2.453440e-04
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,1,8.832000e-06,8.832000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,1,2.985600e-05,2.985600e-05
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,1,1.347520e-04,1.347520e-04
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,1,2.444800e-04,2.444800e-04
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,1,8.704000e-06,8.704000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,1,2.931200e-05,2.931200e-05
axis_swap,dense,per_block_launch,device_resident,Float64,5,1,1.366400e-04,1.366400e-04
axis_swap,dense,per_block_launch,with_transfer,Float64,5,1,2.463360e-04,2.463360e-04
axis_swap,dense,fused_kernel,device_resident,Float64,5,1,9.248000e-06,9.248000e-06
axis_swap,dense,fused_kernel,with_transfer,Float64,5,1,3.020800e-05,3.020800e-05
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,8,1.357120e-04,1.696400e-05
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,8,2.461760e-04,3.077200e-05
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,8,8.832000e-06,1.104000e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,8,3.008000e-05,3.760000e-06
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,8,1.360000e-04,1.700000e-05
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,8,2.472000e-04,3.090000e-05
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,8,8.832000e-06,1.104000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,8,3.008000e-05,3.760000e-06
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,8,1.355520e-04,1.694400e-05
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,8,2.463680e-04,3.079600e-05
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,8,7.936000e-06,9.920000e-07
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,8,3.008000e-05,3.760000e-06
axis_swap,dense,per_block_launch,device_resident,Float64,5,8,1.362560e-04,1.703200e-05
axis_swap,dense,per_block_launch,with_transfer,Float64,5,8,2.474560e-04,3.093200e-05
axis_swap,dense,fused_kernel,device_resident,Float64,5,8,9.440000e-06,1.180000e-06
axis_swap,dense,fused_kernel,with_transfer,Float64,5,8,3.084800e-05,3.856000e-06
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,64,1.505920e-04,2.353000e-06
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,64,2.663360e-04,4.161500e-06
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,64,9.184000e-06,1.435000e-07
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,64,3.324800e-05,5.195000e-07
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,64,1.504320e-04,2.350500e-06
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,64,2.659200e-04,4.155000e-06
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,64,9.088000e-06,1.420000e-07
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,64,3.289600e-05,5.140000e-07
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,64,1.508480e-04,2.357000e-06
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,64,2.653440e-04,4.146000e-06
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,64,9.088000e-06,1.420000e-07
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,64,3.308800e-05,5.170000e-07
axis_swap,dense,per_block_launch,device_resident,Float64,5,64,1.495360e-04,2.336500e-06
axis_swap,dense,per_block_launch,with_transfer,Float64,5,64,2.682880e-04,4.192000e-06
axis_swap,dense,fused_kernel,device_resident,Float64,5,64,9.792000e-06,1.530000e-07
axis_swap,dense,fused_kernel,with_transfer,Float64,5,64,3.590400e-05,5.610000e-07
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,512,1.510400e-04,2.950000e-07
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,512,3.025280e-04,5.908750e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,512,9.312000e-06,1.818750e-08
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,512,6.281601e-05,1.226875e-07
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,512,1.504320e-04,2.938125e-07
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,512,3.014400e-04,5.887500e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,512,9.312000e-06,1.818750e-08
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,512,5.609600e-05,1.095625e-07
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,512,1.507520e-04,2.944375e-07
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,512,3.025920e-04,5.910000e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,512,9.216001e-06,1.800000e-08
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,512,5.737600e-05,1.120625e-07
axis_swap,dense,per_block_launch,device_resident,Float64,5,512,1.495040e-04,2.920000e-07
axis_swap,dense,per_block_launch,with_transfer,Float64,5,512,3.330240e-04,6.504375e-07
axis_swap,dense,fused_kernel,device_resident,Float64,5,512,1.014400e-05,1.981250e-08
axis_swap,dense,fused_kernel,with_transfer,Float64,5,512,8.121600e-05,1.586250e-07
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,4096,1.502080e-04,3.667187e-08
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,4096,5.674560e-04,1.385391e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,4096,1.036800e-05,2.531250e-09
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,4096,2.193280e-04,5.354687e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,4096,1.506880e-04,3.678906e-08
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,4096,5.648640e-04,1.379062e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,4096,1.046400e-05,2.554687e-09
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,4096,2.212480e-04,5.401563e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,4096,1.509760e-04,3.685938e-08
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,4096,5.650879e-04,1.379609e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,4096,1.056000e-05,2.578125e-09
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,4096,2.202880e-04,5.378125e-08
axis_swap,dense,per_block_launch,device_resident,Float64,5,4096,1.504000e-04,3.671875e-08
axis_swap,dense,per_block_launch,with_transfer,Float64,5,4096,7.370240e-04,1.799375e-07
axis_swap,dense,fused_kernel,device_resident,Float64,5,4096,1.404800e-05,3.429687e-09
axis_swap,dense,fused_kernel,with_transfer,Float64,5,4096,3.562240e-04,8.696875e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,32768,1.554880e-04,4.745117e-09
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,32768,2.192576e-03,6.691211e-08
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,32768,2.550400e-05,7.783204e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,32768,1.405824e-03,4.290234e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,32768,1.549440e-04,4.728516e-09
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,32768,2.202208e-03,6.720606e-08
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,32768,2.547200e-05,7.773437e-10
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,32768,1.409184e-03,4.300488e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,32768,1.548160e-04,4.724610e-09
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,32768,2.199136e-03,6.711230e-08
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,32768,2.534400e-05,7.734375e-10
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,32768,1.406592e-03,4.292578e-08
axis_swap,dense,per_block_launch,device_resident,Float64,5,32768,1.612160e-04,4.919922e-09
axis_swap,dense,per_block_launch,with_transfer,Float64,5,32768,3.450944e-03,1.053144e-07
axis_swap,dense,fused_kernel,device_resident,Float64,5,32768,4.528000e-05,1.381836e-09
axis_swap,dense,fused_kernel,with_transfer,Float64,5,32768,2.366720e-03,7.222656e-08
m2m_z_translation,dense,per_block_launch,device_resident,Float64,5,262144,3.308800e-04,1.262207e-09
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,5,262144,2.689821e-02,1.026085e-07
m2m_z_translation,dense,fused_kernel,device_resident,Float64,5,262144,1.529920e-04,5.836182e-10
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,5,262144,1.898486e-02,7.242151e-08
m2l_z_translation,dense,per_block_launch,device_resident,Float64,5,262144,3.306240e-04,1.261231e-09
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,262144,2.682170e-02,1.023166e-07
m2l_z_translation,dense,fused_kernel,device_resident,Float64,5,262144,1.531200e-04,5.841064e-10
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,262144,2.296176e-02,8.759216e-08
l2l_z_translation,dense,per_block_launch,device_resident,Float64,5,262144,3.303360e-04,1.260132e-09
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,5,262144,2.681392e-02,1.022870e-07
l2l_z_translation,dense,fused_kernel,device_resident,Float64,5,262144,1.532800e-04,5.847168e-10
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,5,262144,1.896582e-02,7.234888e-08
