stage,form,launch_strategy,transfer_variant,precision,P,batch,seconds,seconds_per_expansion
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,1,1.126720e-04,1.126720e-04
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,1,2.047680e-04,2.047680e-04
l2l_z_translation,dense,fused_kernel,device_resident,Float64,4,1,8.352000e-06,8.352000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,1,2.944000e-05,2.944000e-05
axis_swap,dense,per_block_launch,device_resident,Float64,4,1,1.152960e-04,1.152960e-04
axis_swap,dense,per_block_launch,with_transfer,Float64,4,1,2.070080e-04,2.070080e-04
axis_swap,dense,fused_kernel,device_resident,Float64,4,1,8.704000e-06,8.704000e-06
axis_swap,dense,fused_kernel,with_transfer,Float64,4,1,2.963200e-05,2.963200e-05
m2m_z_translation,dense,per_block_launch,device_resident,Float64,4,8,1.137280e-04,1.421600e-05
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,4,8,2.063680e-04,2.579600e-05
m2m_z_translation,dense,fused_kernel,device_resident,Float64,4,8,8.384000e-06,1.048000e-06
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,4,8,2.953600e-05,3.692000e-06
m2l_z_translation,dense,per_block_launch,device_resident,Float64,4,8,1.141760e-04,1.427200e-05
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,8,2.055680e-04,2.569600e-05
m2l_z_translation,dense,fused_kernel,device_resident,Float64,4,8,8.416000e-06,1.052000e-06
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,8,2.966400e-05,3.708000e-06
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,8,1.131200e-04,1.414000e-05
l2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,8,2.078400e-04,2.598000e-05
l2l_z_translation,dense,fused_kernel,device_resident,Float64,4,8,8.320000e-06,1.040000e-06
l2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,8,2.940800e-05,3.676000e-06
axis_swap,dense,per_block_launch,device_resident,Float64,4,8,1.144640e-04,1.430800e-05
axis_swap,dense,per_block_launch,with_transfer,Float64,4,8,2.082560e-04,2.603200e-05
axis_swap,dense,fused_kernel,device_resident,Float64,4,8,8.768000e-06,1.096000e-06
axis_swap,dense,fused_kernel,with_transfer,Float64,4,8,3.017600e-05,3.772000e-06
m2m_z_translation,dense,per_block_launch,device_resident,Float64,4,64,1.251200e-04,1.955000e-06
m2m_z_translation,dense,per_block_launch,with_transfer,Float64,4,64,2.216640e-04,3.463500e-06
m2m_z_translation,dense,fused_kernel,device_resident,Float64,4,64,8.512000e-06,1.330000e-07
m2m_z_translation,dense,fused_kernel,with_transfer,Float64,4,64,3.168000e-05,4.950000e-07
m2l_z_translation,dense,per_block_launch,device_resident,Float64,4,64,1.252160e-04,1.956500e-06
m2l_z_translation,dense,per_block_launch,with_transfer,Float64,4,64,2.212480e-04,3.457000e-06
m2l_z_translation,dense,fused_kernel,device_resident,Float64,4,64,8.608000e-06,1.345000e-07
m2l_z_translation,dense,fused_kernel,with_transfer,Float64,4,64,3.180800e-05,4.970000e-07
l2l_z_translation,dense,per_block_launch,device_resident,Float64,4,64,1.260160e-04,1.969000e-06
