phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,1000,64,5,1,3,0.013703734,0.01373887,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,10,1,3,0.008444404,0.008451918,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,20,1,3,0.008242565,0.008244899,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,40,1,3,0.008174266,0.008182773,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,80,1,3,0.00796893,0.00798442,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,160,1,3,0.007816465,0.007831302,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,320,1,3,0.007815903,0.007843115,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,640,1,3,0.007726215,0.007727918,m12-2-9,2026-07-25T09:02:15Z
coarse,1,1000,64,1000,1,3,0.007621157,0.007624243,m12-2-9,2026-07-25T09:02:15Z
refine,1,1000,64,640,1,5,0.007720033,0.00774512,m12-2-9,2026-07-25T09:02:15Z
refine,1,1000,64,645,1,5,0.007722958,0.0077399,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,650,1,5,0.007705826,0.007738107,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,655,1,5,0.007706017,0.007709934,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,660,1,5,0.007706478,0.007715113,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,665,1,5,0.007706167,0.007711487,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,670,1,5,0.007709784,0.007720204,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,675,1,5,0.007701128,0.007706447,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,680,1,5,0.007693603,0.007699594,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,685,1,5,0.007692211,0.007740141,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,690,1,5,0.007686089,0.007700346,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,695,1,5,0.007693393,0.007697601,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,700,1,5,0.007703191,0.007707359,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,705,1,5,0.00771805,0.007730432,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,710,1,5,0.007689496,0.00769685,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,715,1,5,0.007689526,0.007703121,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,720,1,5,0.007698884,0.007700115,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,725,1,5,0.007706167,0.007717187,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,730,1,5,0.007690757,0.0076973,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,735,1,5,0.007696589,0.007699885,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,740,1,5,0.007690026,0.007703342,m12-2-9,2026-07-25T09:02:16Z
refine,1,1000,64,745,1,5,0.007689586,0.007744158,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,750,1,5,0.007725573,0.007737807,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,755,1,5,0.007716887,0.007791528,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,760,1,5,0.007784664,0.007821954,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,765,1,5,0.007811925,0.00786252,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,770,1,5,0.007804231,0.007832384,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,775,1,5,0.007760188,0.007794964,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,780,1,5,0.007704474,0.007737075,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,785,1,5,0.007773173,0.007779505,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,790,1,5,0.00775577,0.007779445,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,795,1,5,0.007710936,0.007784314,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,800,1,5,0.007721796,0.007769536,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,805,1,5,0.007716236,0.007727447,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,810,1,5,0.007687201,0.007708611,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,815,1,5,0.0076921,0.007698312,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,820,1,5,0.007687352,0.007695466,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,825,1,5,0.007693723,0.007700617,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,830,1,5,0.00769213,0.007699886,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,835,1,5,0.007689456,0.007703291,m12-2-9,2026-07-25T09:02:17Z
refine,1,1000,64,840,1,5,0.007700085,0.007710565,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,845,1,5,0.007691319,0.007697171,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,850,1,5,0.007698543,0.007701398,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,855,1,5,0.00769163,0.007695066,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,860,1,5,0.007688223,0.007695016,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,865,1,5,0.007692691,0.00769705,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,870,1,5,0.007683845,0.007694035,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,875,1,5,0.007684076,0.007687792,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,880,1,5,0.007682402,0.007690698,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,885,1,5,0.007688433,0.007710264,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,890,1,5,0.007697491,0.00770797,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,895,1,5,0.007724361,0.007730182,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,900,1,5,0.00769185,0.007699634,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,905,1,5,0.007690117,0.007695136,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,910,1,5,0.007689205,0.007690778,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,915,1,5,0.007684636,0.007690247,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,920,1,5,0.007683986,0.007695146,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,925,1,5,0.007686731,0.007693523,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,930,1,5,0.007687632,0.007696999,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,935,1,5,0.007688343,0.007699625,m12-2-9,2026-07-25T09:02:18Z
refine,1,1000,64,940,1,5,0.007683524,0.007693313,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,945,1,5,0.007690658,0.007693212,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,950,1,5,0.007684857,0.00769702,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,955,1,5,0.007690117,0.007693714,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,960,1,5,0.007688885,0.007693924,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,965,1,5,0.007687312,0.007693664,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,970,1,5,0.007683424,0.007693643,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,975,1,5,0.007703361,0.007734089,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,980,1,5,0.007706728,0.007747143,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,985,1,5,0.00770772,0.007718289,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,990,1,5,0.007704334,0.007736203,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,995,1,5,0.007700666,0.007714042,m12-2-9,2026-07-25T09:02:19Z
refine,1,1000,64,1000,1,5,0.007614875,0.00762287,m12-2-9,2026-07-25T09:02:19Z
