phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,3162,64,5,1,3,0.07131328,0.072192021,m12-2-9,2026-07-25T09:03:02Z
coarse,1,3162,64,10,1,3,0.045689774,0.045763031,m12-2-9,2026-07-25T09:03:03Z
coarse,1,3162,64,20,1,3,0.053161119,0.053322953,m12-2-9,2026-07-25T09:03:03Z
coarse,1,3162,64,40,1,3,0.056261964,0.056776551,m12-2-9,2026-07-25T09:03:03Z
coarse,1,3162,64,80,1,3,0.075687708,0.075843862,m12-2-9,2026-07-25T09:03:03Z
coarse,1,3162,64,160,1,3,0.074800201,0.074832431,m12-2-9,2026-07-25T09:03:04Z
coarse,1,3162,64,320,1,3,0.07458154,0.07466169,m12-2-9,2026-07-25T09:03:04Z
coarse,1,3162,64,640,1,3,0.074081611,0.074096108,m12-2-9,2026-07-25T09:03:04Z
coarse,1,3162,64,1280,1,3,0.073724119,0.073754176,m12-2-9,2026-07-25T09:03:05Z
coarse,1,3162,64,2560,1,3,0.073732315,0.073840528,m12-2-9,2026-07-25T09:03:05Z
coarse,1,3162,64,3162,1,3,0.073422162,0.073629982,m12-2-9,2026-07-25T09:03:05Z
refine,1,3162,64,5,1,5,0.070188537,0.071161064,m12-2-9,2026-07-25T09:03:06Z
refine,1,3162,64,10,1,5,0.045289992,0.045418884,m12-2-9,2026-07-25T09:03:06Z
refine,1,3162,64,15,1,5,0.045471965,0.045815129,m12-2-9,2026-07-25T09:03:06Z
refine,1,3162,64,20,1,5,0.0528099,0.052950143,m12-2-9,2026-07-25T09:03:07Z
