phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,316228,1,5,1,3,15.705374242,15.779832153,m12-2-9,2026-07-25T09:47:46Z
coarse,1,316228,1,10,1,3,12.63675942,12.662465282,m12-2-9,2026-07-25T09:48:37Z
coarse,1,316228,1,20,1,3,12.40394107,12.432096457,m12-2-9,2026-07-25T09:49:26Z
coarse,1,316228,1,40,1,3,20.766637983,20.800046855,m12-2-9,2026-07-25T09:50:50Z
coarse,1,316228,1,80,1,3,51.869097524,51.895902862,m12-2-9,2026-07-25T09:54:17Z
coarse,1,316228,1,160,1,3,61.188847127,61.213596903,m12-2-9,2026-07-25T09:58:22Z
coarse,1,316228,1,320,1,3,134.293638101,134.329466496,m12-2-9,2026-07-25T10:07:20Z
coarse,1,316228,1,640,1,3,326.729484092,326.753034006,m12-2-9,2026-07-25T10:29:07Z
coarse,1,316228,1,1280,1,3,340.354458594,340.374479876,m12-2-9,2026-07-25T10:51:48Z
coarse,1,316228,1,2560,1,3,578.848846782,578.849903484,m12-2-9,2026-07-25T11:30:24Z
coarse,1,316228,1,5120,1,3,722.850692363,723.423059533,m12-2-9,2026-07-25T12:18:37Z
coarse,1,316228,1,316228,1,3,724.363632838,725.170387789,m12-2-9,2026-07-25T13:06:57Z
refine,1,316228,1,10,1,5,12.642612366,12.676926133,m12-2-9,2026-07-25T13:08:13Z
refine,1,316228,1,15,1,5,12.31333308,12.346328066,m12-2-9,2026-07-25T13:09:27Z
refine,1,316228,1,20,1,5,12.380940376,12.438740998,m12-2-9,2026-07-25T13:10:42Z
refine,1,316228,1,25,1,5,14.831006081,14.867956105,m12-2-9,2026-07-25T13:12:11Z
refine,1,316228,1,30,1,5,19.786738677,19.862827058,m12-2-9,2026-07-25T13:14:10Z
refine,1,316228,1,35,1,5,20.769274639,20.778543827,m12-2-9,2026-07-25T13:16:15Z
refine,1,316228,1,40,1,5,20.748673204,20.805711109,m12-2-9,2026-07-25T13:18:20Z
