phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,3162,1,5,1,3,0.072853384,0.074130704,m12-2-9,2026-07-25T09:02:34Z
coarse,1,3162,1,10,1,3,0.046560269,0.046888285,m12-2-9,2026-07-25T09:02:34Z
coarse,1,3162,1,20,1,3,0.053048288,0.05349175,m12-2-9,2026-07-25T09:02:34Z
coarse,1,3162,1,40,1,3,0.054716051,0.054948567,m12-2-9,2026-07-25T09:02:34Z
coarse,1,3162,1,80,1,3,0.075064327,0.075314618,m12-2-9,2026-07-25T09:02:35Z
coarse,1,3162,1,160,1,3,0.074548087,0.074949562,m12-2-9,2026-07-25T09:02:35Z
coarse,1,3162,1,320,1,3,0.074514244,0.074922301,m12-2-9,2026-07-25T09:02:35Z
coarse,1,3162,1,640,1,3,0.074324157,0.074772218,m12-2-9,2026-07-25T09:02:36Z
coarse,1,3162,1,1280,1,3,0.073831832,0.074163074,m12-2-9,2026-07-25T09:02:36Z
coarse,1,3162,1,2560,1,3,0.074038831,0.074155089,m12-2-9,2026-07-25T09:02:36Z
coarse,1,3162,1,3162,1,3,0.073571022,0.073756992,m12-2-9,2026-07-25T09:02:37Z
refine,1,3162,1,5,1,5,0.070550878,0.071613665,m12-2-9,2026-07-25T09:02:37Z
refine,1,3162,1,10,1,5,0.044786207,0.045524954,m12-2-9,2026-07-25T09:02:37Z
refine,1,3162,1,15,1,5,0.045605005,0.046890249,m12-2-9,2026-07-25T09:02:38Z
refine,1,3162,1,20,1,5,0.052440425,0.053035304,m12-2-9,2026-07-25T09:02:38Z
