phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,1000,1,5,1,3,0.013023938,0.013064063,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,10,1,3,0.008347403,0.00838326,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,20,1,3,0.008192521,0.008236995,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,40,1,3,0.008171702,0.008189997,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,80,1,3,0.007959374,0.00797903,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,160,1,3,0.00777696,0.007790275,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,320,1,3,0.007787971,0.007788282,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,640,1,3,0.007692262,0.007700737,m12-2-9,2026-07-25T09:01:57Z
coarse,1,1000,1,1000,1,3,0.007605699,0.007611891,m12-2-9,2026-07-25T09:01:57Z
refine,1,1000,1,640,1,5,0.007737407,0.007745852,m12-2-9,2026-07-25T09:01:57Z
refine,1,1000,1,645,1,5,0.007741423,0.007742616,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,650,1,5,0.007719693,0.007740241,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,655,1,5,0.00770725,0.007722128,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,660,1,5,0.007694035,0.007710035,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,665,1,5,0.007694276,0.007706098,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,670,1,5,0.007693404,0.00770166,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,675,1,5,0.007684577,0.007696029,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,680,1,5,0.007687683,0.007693324,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,685,1,5,0.007691089,0.007695197,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,690,1,5,0.007692622,0.007699395,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,695,1,5,0.007701059,0.007703683,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,700,1,5,0.007695788,0.007704214,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,705,1,5,0.007698894,0.007708923,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,710,1,5,0.007688936,0.007700897,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,715,1,5,0.007685629,0.007699244,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,720,1,5,0.00768654,0.007696941,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,725,1,5,0.007713461,0.007717128,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,730,1,5,0.00769682,0.007705607,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,735,1,5,0.007694936,0.007716157,m12-2-9,2026-07-25T09:01:58Z
refine,1,1000,1,740,1,5,0.007695849,0.007705426,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,745,1,5,0.007695959,0.007701088,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,750,1,5,0.007689155,0.007703152,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,755,1,5,0.007692381,0.007701138,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,760,1,5,0.007699294,0.007708371,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,765,1,5,0.007702812,0.007710405,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,770,1,5,0.007702771,0.007719863,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,775,1,5,0.007682302,0.00769151,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,780,1,5,0.007689056,0.007698403,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,785,1,5,0.007741214,0.00775535,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,790,1,5,0.007746253,0.007749779,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,795,1,5,0.007742496,0.007753286,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,800,1,5,0.007746634,0.007754328,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,805,1,5,0.007740081,0.007749819,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,810,1,5,0.00774436,0.007747335,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,815,1,5,0.007744991,0.007751453,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,820,1,5,0.007749048,0.007753166,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,825,1,5,0.007736113,0.007749169,m12-2-9,2026-07-25T09:01:59Z
refine,1,1000,1,830,1,5,0.007688495,0.007695237,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,835,1,5,0.007693854,0.007699645,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,840,1,5,0.007689366,0.007699044,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,845,1,5,0.007699064,0.007708532,m12-2-9,2026-07-25T09:02:00Z
refine,1,1000,1,850,1,5,0.007698614,0.007708602,m12-2-9,2026-07-25T09:02:00Z
