phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,1000000,1,5,1,3,54.862374341,55.261845518,m12-2-9,2026-07-25T22:41:55Z
coarse,1,1000000,1,10,1,3,42.385167169,42.38988107,m12-2-9,2026-07-25T22:44:45Z
coarse,1,1000000,1,20,1,3,40.229433026,40.332493571,m12-2-9,2026-07-25T22:47:27Z
coarse,1,1000000,1,40,1,3,91.56760849,91.595836229,m12-2-9,2026-07-25T22:53:33Z
coarse,1,1000000,1,80,1,3,116.624853025,116.654007923,m12-2-9,2026-07-25T23:01:20Z
coarse,1,1000000,1,160,1,3,210.889639312,210.894951273,m12-2-9,2026-07-25T23:15:24Z
coarse,1,1000000,1,320,1,3,637.939340481,637.944902362,m12-2-9,2026-07-25T23:57:56Z
coarse,1,1000000,1,640,1,3,642.687200857,642.878136733,m12-2-9,2026-07-26T00:40:47Z
coarse,1,1000000,1,1280,1,3,1419.106861561,1419.115993438,m12-2-9,2026-07-26T02:15:24Z
coarse,1,1000000,1,2560,1,3,3417.183707265,3417.225900073,m12-2-9,2026-07-26T06:03:13Z
