mode,tf,n,ell,strategy,expansion_order,P_literature,stencil_epsilon,construct_seconds,step_seconds_min,step_seconds_median,err_potential_abs_rms,err_potential_rel_rms,err_gradient_abs_rms,err_gradient_rel_rms,err_gradient_max,reference_samples,reference_checksum,oom_fallback,host,timestamp
gpu,Float64,1000,2,dense,3,4,0.04885596332758729,27.862262769,0.002902878,0.002936346,4.436956993344673e-7,5.881048114516031e-6,1.4800616784718084e-5,4.309751231172507e-5,6.521635509353043e-5,1000,9f8751085387c1936ad0afa4b8e2cb4710eaaa5d7c5fd3824a7ac10bbd263d64,false,m13h-1-1,2026-07-25T09:19:51Z
gpu,Float32,1000,2,dense,3,4,0.04885596332758729,26.493225622,0.00275853,0.002809982,4.447210957065716e-7,5.894639423626849e-6,1.595641771937778e-5,4.646305752757253e-5,0.00018111779920002415,1000,9f8751085387c1936ad0afa4b8e2cb4710eaaa5d7c5fd3824a7ac10bbd263d64,false,m13h-1-1,2026-07-25T09:20:50Z
gpu,Float64,1000,3,dense,3,4,0.09771192665517459,26.602469129,0.00375519,0.003774521,4.022998238332365e-7,5.3323586953253e-6,2.389200853260964e-5,6.957048796433638e-5,0.00010711023736367801,1000,9f8751085387c1936ad0afa4b8e2cb4710eaaa5d7c5fd3824a7ac10bbd263d64,false,m13h-1-1,2026-07-25T09:21:48Z
gpu,Float32,1000,3,dense,3,4,0.09771192665517459,27.061123505,0.003611464,0.003635943,4.0308992632160935e-7,5.3428312573909e-6,2.4552330776494883e-5,7.149326229526384e-5,0.000173100046541088,1000,9f8751085387c1936ad0afa4b8e2cb4710eaaa5d7c5fd3824a7ac10bbd263d64,false,m13h-1-1,2026-07-25T09:22:46Z
gpu,Float64,1000,4,dense,3,4,0.19542385331034917,27.19949069,0.007119248,0.007186248,3.176230917892933e-7,4.209995021128366e-6,3.495328304006918e-5,0.00010177951149373576,0.00019414345350791647,1000,9f8751085387c1936ad0afa4b8e2cb4710eaaa5d7c5fd3824a7ac10bbd263d64,false,m13h-1-1,2026-07-25T09:23:45Z
gpu,Float32,1000,4,dense,3,4,0.19542385331034917,31.284155808,0.007079907,0.007147689,3.1874946038072407e-7,4.224924685515062e-6,3.545739401865509e-5,0.00010324741850207842,0.00019414669274428532,1000,9f8751085387c1936ad0afa4b8e2cb4710eaaa5d7c5fd3824a7ac10bbd263d64,false,m13h-1-1,2026-07-25T09:24:52Z
gpu,Float64,3162,2,dense,3,4,0.04885596332758729,27.461719677,0.004707316,0.004760097,4.865553935114389e-7,6.485610759149491e-6,1.556651196086256e-5,0.00012438381121088898,8.088067508314983e-5,3162,a26eead0ba43130fdca3bb5640bbe634fe69bfd5d8cfc5164b7b736dbb7e8763,false,m13h-1-1,2026-07-25T09:25:55Z
gpu,Float32,3162,2,dense,3,4,0.04885596332758729,27.005005805,0.004389826,0.004438911,4.880540703831495e-7,6.505587590098804e-6,1.56646611499689e-5,0.00012516806976791184,8.095536115019009e-5,3162,a26eead0ba43130fdca3bb5640bbe634fe69bfd5d8cfc5164b7b736dbb7e8763,false,m13h-1-1,2026-07-25T09:26:56Z
gpu,Float64,3162,3,dense,3,4,0.09771192665517459,26.996576356,0.003884637,0.003937461,3.4809803650194217e-7,4.640023316734093e-6,2.1603193162718662e-5,0.00017261975622155185,0.00012709963875339107,3162,a26eead0ba43130fdca3bb5640bbe634fe69bfd5d8cfc5164b7b736dbb7e8763,false,m13h-1-1,2026-07-25T09:27:55Z
gpu,Float32,3162,3,dense,3,4,0.09771192665517459,27.345181649,0.003837001,0.003894915,3.487799012123524e-7,4.649112331389147e-6,2.1669896096538496e-5,0.00017315274428903406,0.00012709922961200265,3162,a26eead0ba43130fdca3bb5640bbe634fe69bfd5d8cfc5164b7b736dbb7e8763,false,m13h-1-1,2026-07-25T09:28:53Z
gpu,Float64,3162,4,dense,3,4,0.19542385331034917,27.896370386,0.011330607,0.01171927,1.782952699255977e-7,2.3766126865629604e-6,2.0254496349659852e-5,0.00016184302921951003,0.00011219146440954302,3162,a26eead0ba43130fdca3bb5640bbe634fe69bfd5d8cfc5164b7b736dbb7e8763,false,m13h-1-1,2026-07-25T09:29:52Z
gpu,Float32,3162,4,dense,3,4,0.19542385331034917,31.70531748,0.010923582,0.010962964,1.8494968869886775e-7,2.4653137277339115e-6,2.033192676405449e-5,0.00016246173494306957,0.00011223767580457132,3162,a26eead0ba43130fdca3bb5640bbe634fe69bfd5d8cfc5164b7b736dbb7e8763,false,m13h-1-1,2026-07-25T09:30:55Z
