mode,tf,n,ell,strategy,expansion_order,P_literature,stencil_epsilon,construct_seconds,step_seconds_min,step_seconds_median,err_potential_abs_rms,err_potential_rel_rms,err_gradient_abs_rms,err_gradient_rel_rms,err_gradient_max,reference_samples,reference_checksum,oom_fallback,host,timestamp
gpu,Float64,31623,5,precomputed_y,3,4,0.39084770662069834,16.971163243,1.204500427,1.230860604,3.9777308616484586e-8,5.299263395295349e-7,8.963709412006922e-6,0.00011145140458395462,4.606215723713306e-5,512,f7aaf0cf3d77e4db265b6c58bb9745bf737d4e22b67266394999489818988512,true,m13h-1-1,2026-07-25T13:16:52Z
gpu,Float32,31623,5,dense,3,4,0.39084770662069834,66.215267783,0.584591344,0.585368677,1.5284305554563054e-7,2.0362252692541156e-6,8.971728021549991e-6,0.00011155110497084897,4.598779942842732e-5,512,f7aaf0cf3d77e4db265b6c58bb9745bf737d4e22b67266394999489818988512,false,m13h-1-1,2026-07-25T13:18:36Z
gpu,Float64,100000,4,dense,3,4,0.19542385331034917,27.641317559,0.034084085,0.035824524,8.287648776920944e-8,1.1072636168062825e-6,1.0142063115689318e-5,0.00012946874624338188,3.710156134471069e-5,512,4acc286fedfd6ae94d7cc8017a0192dc8663c57e12bba3ff8abd2d1da798d77c,false,m13h-1-1,2026-07-25T13:19:35Z
gpu,Float32,100000,4,dense,3,4,0.19542385331034917,31.34235422,0.031042624,0.031244174,1.0341906341366704e-7,1.381720790594111e-6,1.013549645392836e-5,0.00012938491936757786,3.7624525345764535e-5,512,4acc286fedfd6ae94d7cc8017a0192dc8663c57e12bba3ff8abd2d1da798d77c,false,m13h-1-1,2026-07-25T13:20:38Z
gpu,Float64,100000,5,precomputed_y,3,4,0.39084770662069834,17.476394332,2.829973391,2.835685223,2.827546540721127e-8,3.77771729188812e-7,6.049144219726967e-6,7.722049340847762e-5,2.8434189340961586e-5,512,4acc286fedfd6ae94d7cc8017a0192dc8663c57e12bba3ff8abd2d1da798d77c,true,m13h-1-1,2026-07-25T13:22:12Z
gpu,Float32,100000,5,precomputed_y,3,4,0.39084770662069834,17.026756625,2.685338277,2.726229841,1.8792214433292384e-7,2.5107163540944825e-6,6.060703053186992e-6,7.736804797001356e-5,2.832867336758449e-5,512,4acc286fedfd6ae94d7cc8017a0192dc8663c57e12bba3ff8abd2d1da798d77c,true,m13h-1-1,2026-07-25T13:23:45Z
