phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,100000,64,5,1,3,0.489893225,0.539632155,m12-2-9,2026-07-25T09:40:02Z
coarse,1,100000,64,10,1,3,0.27944093,0.302599635,m12-2-9,2026-07-25T09:40:04Z
coarse,1,100000,64,20,1,3,0.290905617,0.292617723,m12-2-9,2026-07-25T09:40:05Z
coarse,1,100000,64,40,1,3,0.220517575,0.225386272,m12-2-9,2026-07-25T09:40:06Z
coarse,1,100000,64,80,1,3,0.324990839,0.3567381,m12-2-9,2026-07-25T09:40:07Z
coarse,1,100000,64,160,1,3,0.328840341,0.330443212,m12-2-9,2026-07-25T09:40:08Z
coarse,1,100000,64,320,1,3,0.684696975,0.687548001,m12-2-9,2026-07-25T09:40:11Z
coarse,1,100000,64,640,1,3,2.069845101,2.070788704,m12-2-9,2026-07-25T09:40:19Z
coarse,1,100000,64,1280,1,3,2.065685167,2.070770829,m12-2-9,2026-07-25T09:40:28Z
coarse,1,100000,64,2560,1,3,2.354351887,2.359474982,m12-2-9,2026-07-25T09:40:37Z
coarse,1,100000,64,5120,1,3,9.224500419,9.226409656,m12-2-9,2026-07-25T09:41:14Z
coarse,1,100000,64,100000,1,3,72.493188503,72.503010318,m12-2-9,2026-07-25T09:46:04Z
refine,1,100000,64,20,1,5,0.255671065,0.28350222,m12-2-9,2026-07-25T09:46:06Z
refine,1,100000,64,25,1,5,0.251277972,0.260596778,m12-2-9,2026-07-25T09:46:08Z
refine,1,100000,64,30,1,5,0.235997096,0.253936918,m12-2-9,2026-07-25T09:46:09Z
refine,1,100000,64,35,1,5,0.22014713,0.269883205,m12-2-9,2026-07-25T09:46:11Z
refine,1,100000,64,40,1,5,0.220564995,0.227794056,m12-2-9,2026-07-25T09:46:12Z
refine,1,100000,64,45,1,5,0.220590553,0.244345199,m12-2-9,2026-07-25T09:46:14Z
refine,1,100000,64,50,1,5,0.218877034,0.239494286,m12-2-9,2026-07-25T09:46:15Z
refine,1,100000,64,55,1,5,0.217487694,0.2519047,m12-2-9,2026-07-25T09:46:17Z
refine,1,100000,64,60,1,5,0.225995577,0.249671425,m12-2-9,2026-07-25T09:46:18Z
refine,1,100000,64,65,1,5,0.286122131,0.293983048,m12-2-9,2026-07-25T09:46:20Z
refine,1,100000,64,70,1,5,0.311589241,0.329687702,m12-2-9,2026-07-25T09:46:22Z
refine,1,100000,64,75,1,5,0.327279968,0.329932992,m12-2-9,2026-07-25T09:46:24Z
refine,1,100000,64,80,1,5,0.326348168,0.352593573,m12-2-9,2026-07-25T09:46:26Z
