phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,10000,1,5,1,3,0.33265119,0.335830262,m12-2-9,2026-07-25T09:03:23Z
coarse,1,10000,1,10,1,3,0.205912526,0.20754322,m12-2-9,2026-07-25T09:03:24Z
coarse,1,10000,1,20,1,3,0.274649703,0.281986435,m12-2-9,2026-07-25T09:03:25Z
coarse,1,10000,1,40,1,3,0.323227084,0.324196665,m12-2-9,2026-07-25T09:03:26Z
coarse,1,10000,1,80,1,3,0.546181016,0.547056912,m12-2-9,2026-07-25T09:03:28Z
coarse,1,10000,1,160,1,3,0.677049007,0.678422467,m12-2-9,2026-07-25T09:03:31Z
coarse,1,10000,1,320,1,3,0.732635778,0.732727209,m12-2-9,2026-07-25T09:03:34Z
coarse,1,10000,1,640,1,3,0.730882875,0.730934561,m12-2-9,2026-07-25T09:03:37Z
coarse,1,10000,1,1280,1,3,0.730008391,0.730088822,m12-2-9,2026-07-25T09:03:40Z
coarse,1,10000,1,2560,1,3,0.728871946,0.730038608,m12-2-9,2026-07-25T09:03:43Z
coarse,1,10000,1,5120,1,3,0.727927652,0.728039863,m12-2-9,2026-07-25T09:03:46Z
coarse,1,10000,1,10000,1,3,0.727358072,0.727760588,m12-2-9,2026-07-25T09:03:49Z
refine,1,10000,1,5,1,5,0.325454219,0.3335727,m12-2-9,2026-07-25T09:03:51Z
refine,1,10000,1,10,1,5,0.207475322,0.210760664,m12-2-9,2026-07-25T09:03:52Z
refine,1,10000,1,15,1,5,0.216768031,0.21831166,m12-2-9,2026-07-25T09:03:54Z
refine,1,10000,1,20,1,5,0.275019668,0.275644141,m12-2-9,2026-07-25T09:03:55Z
