phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,31623,64,5,1,3,0.131205427,0.159890276,m12-2-9,2026-07-25T09:09:16Z
coarse,1,31623,64,10,1,3,0.082178213,0.105221554,m12-2-9,2026-07-25T09:09:16Z
coarse,1,31623,64,20,1,3,0.074943141,0.099027867,m12-2-9,2026-07-25T09:09:17Z
coarse,1,31623,64,40,1,3,0.061478386,0.069347659,m12-2-9,2026-07-25T09:09:17Z
coarse,1,31623,64,80,1,3,0.091879839,0.097729108,m12-2-9,2026-07-25T09:09:17Z
coarse,1,31623,64,160,1,3,0.115281262,0.12067237,m12-2-9,2026-07-25T09:09:18Z
coarse,1,31623,64,320,1,3,0.219735805,0.220773724,m12-2-9,2026-07-25T09:09:19Z
coarse,1,31623,64,640,1,3,0.263484122,0.263718472,m12-2-9,2026-07-25T09:09:20Z
coarse,1,31623,64,1280,1,3,0.263733751,0.264878702,m12-2-9,2026-07-25T09:09:21Z
coarse,1,31623,64,2560,1,3,0.941930307,0.942217737,m12-2-9,2026-07-25T09:09:25Z
coarse,1,31623,64,5120,1,3,0.939958483,0.942250659,m12-2-9,2026-07-25T09:09:28Z
coarse,1,31623,64,31623,1,3,7.274257015,7.278572594,m12-2-9,2026-07-25T09:09:57Z
refine,1,31623,64,20,1,5,0.08849492,0.121952123,m12-2-9,2026-07-25T09:09:58Z
refine,1,31623,64,25,1,5,0.070959848,0.077604982,m12-2-9,2026-07-25T09:09:59Z
refine,1,31623,64,30,1,5,0.061982693,0.06961985,m12-2-9,2026-07-25T09:09:59Z
refine,1,31623,64,35,1,5,0.066950766,0.077839822,m12-2-9,2026-07-25T09:10:00Z
refine,1,31623,64,40,1,5,0.062374619,0.069062815,m12-2-9,2026-07-25T09:10:00Z
refine,1,31623,64,45,1,5,0.066572305,0.067740961,m12-2-9,2026-07-25T09:10:01Z
refine,1,31623,64,50,1,5,0.068539371,0.071631199,m12-2-9,2026-07-25T09:10:01Z
refine,1,31623,64,55,1,5,0.071926495,0.074028422,m12-2-9,2026-07-25T09:10:02Z
refine,1,31623,64,60,1,5,0.080353766,0.081277951,m12-2-9,2026-07-25T09:10:02Z
refine,1,31623,64,65,1,5,0.085921325,0.089416611,m12-2-9,2026-07-25T09:10:03Z
refine,1,31623,64,70,1,5,0.092382854,0.095220234,m12-2-9,2026-07-25T09:10:03Z
refine,1,31623,64,75,1,5,0.087848736,0.09542554,m12-2-9,2026-07-25T09:10:04Z
refine,1,31623,64,80,1,5,0.090798788,0.096205145,m12-2-9,2026-07-25T09:10:05Z
