phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,10000,64,5,1,3,0.049748901,0.057256166,m12-2-9,2026-07-25T09:04:22Z
coarse,1,10000,64,10,1,3,0.028174541,0.036888691,m12-2-9,2026-07-25T09:04:22Z
coarse,1,10000,64,20,1,3,0.018797775,0.024139239,m12-2-9,2026-07-25T09:04:22Z
coarse,1,10000,64,40,1,3,0.016914476,0.02295759,m12-2-9,2026-07-25T09:04:22Z
coarse,1,10000,64,80,1,3,0.027401428,0.027626851,m12-2-9,2026-07-25T09:04:22Z
coarse,1,10000,64,160,1,3,0.029432244,0.029742186,m12-2-9,2026-07-25T09:04:23Z
coarse,1,10000,64,320,1,3,0.030885113,0.031127628,m12-2-9,2026-07-25T09:04:23Z
coarse,1,10000,64,640,1,3,0.098869913,0.099288891,m12-2-9,2026-07-25T09:04:23Z
coarse,1,10000,64,1280,1,3,0.098344026,0.098886996,m12-2-9,2026-07-25T09:04:23Z
coarse,1,10000,64,2560,1,3,0.098104185,0.098163166,m12-2-9,2026-07-25T09:04:24Z
coarse,1,10000,64,5120,1,3,0.727593464,0.730861012,m12-2-9,2026-07-25T09:04:27Z
coarse,1,10000,64,10000,1,3,0.728655098,0.729115453,m12-2-9,2026-07-25T09:04:30Z
refine,1,10000,64,20,1,5,0.022679818,0.027559515,m12-2-9,2026-07-25T09:04:30Z
refine,1,10000,64,25,1,5,0.018987501,0.027984724,m12-2-9,2026-07-25T09:04:30Z
refine,1,10000,64,30,1,5,0.022091262,0.022620677,m12-2-9,2026-07-25T09:04:30Z
refine,1,10000,64,35,1,5,0.022152447,0.0223135,m12-2-9,2026-07-25T09:04:31Z
refine,1,10000,64,40,1,5,0.017191527,0.022376578,m12-2-9,2026-07-25T09:04:31Z
refine,1,10000,64,45,1,5,0.018946825,0.024299039,m12-2-9,2026-07-25T09:04:31Z
refine,1,10000,64,50,1,5,0.023238638,0.028882852,m12-2-9,2026-07-25T09:04:31Z
refine,1,10000,64,55,1,5,0.025308085,0.025944211,m12-2-9,2026-07-25T09:04:31Z
refine,1,10000,64,60,1,5,0.027142061,0.027712734,m12-2-9,2026-07-25T09:04:31Z
refine,1,10000,64,65,1,5,0.026853779,0.02727499,m12-2-9,2026-07-25T09:04:32Z
refine,1,10000,64,70,1,5,0.026756566,0.027029089,m12-2-9,2026-07-25T09:04:32Z
refine,1,10000,64,75,1,5,0.026603509,0.026825827,m12-2-9,2026-07-25T09:04:32Z
refine,1,10000,64,80,1,5,0.027033457,0.027131341,m12-2-9,2026-07-25T09:04:32Z
