phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,1000000,64,5,1,3,5.900195541,5.964479624,m12-2-9,2026-07-25T14:15:45Z
coarse,1,1000000,64,10,1,3,3.797615681,3.99155731,m12-2-9,2026-07-25T14:16:02Z
coarse,1,1000000,64,20,1,3,2.787224089,2.934637342,m12-2-9,2026-07-25T14:16:14Z
coarse,1,1000000,64,40,1,3,2.847510809,2.915786546,m12-2-9,2026-07-25T14:16:27Z
coarse,1,1000000,64,80,1,3,3.330005052,3.786636839,m12-2-9,2026-07-25T14:16:41Z
coarse,1,1000000,64,160,1,3,4.40377762,4.431788797,m12-2-9,2026-07-25T14:17:00Z
coarse,1,1000000,64,320,1,3,11.168493965,11.464533472,m12-2-9,2026-07-25T14:17:45Z
coarse,1,1000000,64,640,1,3,11.162482999,11.181610276,m12-2-9,2026-07-25T14:18:30Z
coarse,1,1000000,64,1280,1,3,26.78226078,26.831517807,m12-2-9,2026-07-25T14:20:17Z
coarse,1,1000000,64,2560,1,3,63.508000383,63.575670502,m12-2-9,2026-07-25T14:24:31Z
coarse,1,1000000,64,5120,1,3,63.543028096,63.548609474,m12-2-9,2026-07-25T14:28:46Z
coarse,1,1000000,64,1000000,1,3,7257.61782062,7259.823266639,m12-2-9,2026-07-25T22:33:01Z
refine,1,1000000,64,20,1,5,2.686324969,2.794128068,m12-2-9,2026-07-25T22:33:18Z
refine,1,1000000,64,25,1,5,2.671571098,2.85738651,m12-2-9,2026-07-25T22:33:35Z
refine,1,1000000,64,30,1,5,2.757501784,2.806060398,m12-2-9,2026-07-25T22:33:53Z
refine,1,1000000,64,35,1,5,2.816837528,2.835077063,m12-2-9,2026-07-25T22:34:11Z
refine,1,1000000,64,40,1,5,2.823965397,2.847990546,m12-2-9,2026-07-25T22:34:28Z
refine,1,1000000,64,45,1,5,2.845494524,3.113539731,m12-2-9,2026-07-25T22:34:47Z
refine,1,1000000,64,50,1,5,2.817194519,2.832343565,m12-2-9,2026-07-25T22:35:05Z
refine,1,1000000,64,55,1,5,2.804847289,2.843893766,m12-2-9,2026-07-25T22:35:22Z
refine,1,1000000,64,60,1,5,2.826096271,2.837924024,m12-2-9,2026-07-25T22:35:39Z
refine,1,1000000,64,65,1,5,2.808828083,2.824189087,m12-2-9,2026-07-25T22:35:56Z
refine,1,1000000,64,70,1,5,2.813673822,2.830638735,m12-2-9,2026-07-25T22:36:13Z
refine,1,1000000,64,75,1,5,2.927256173,2.930697813,m12-2-9,2026-07-25T22:36:30Z
refine,1,1000000,64,80,1,5,3.22417915,3.257252778,m12-2-9,2026-07-25T22:36:51Z
refine,2,1000000,64,10,1,5,3.780105917,4.125349723,m12-2-9,2026-07-25T22:37:15Z
refine,2,1000000,64,15,1,5,2.670516257,3.024784337,m12-2-9,2026-07-25T22:37:32Z
