phase,attempt,n,threads,leaf_size,warmups,samples,step_seconds_min,step_seconds_median,host,timestamp
coarse,1,100000,1,5,1,3,4.81477869,4.832529407,m12-2-9,2026-07-25T09:10:39Z
coarse,1,100000,1,10,1,3,3.291803373,3.331473631,m12-2-9,2026-07-25T09:10:52Z
coarse,1,100000,1,20,1,3,3.682287852,3.686046714,m12-2-9,2026-07-25T09:11:07Z
coarse,1,100000,1,40,1,3,6.16732781,6.186398376,m12-2-9,2026-07-25T09:11:32Z
coarse,1,100000,1,80,1,3,12.872308649,12.881770794,m12-2-9,2026-07-25T09:12:24Z
coarse,1,100000,1,160,1,3,12.96539563,12.976185208,m12-2-9,2026-07-25T09:13:16Z
coarse,1,100000,1,320,1,3,32.905430547,32.916564936,m12-2-9,2026-07-25T09:15:27Z
coarse,1,100000,1,640,1,3,57.109409804,57.111535934,m12-2-9,2026-07-25T09:19:16Z
coarse,1,100000,1,1280,1,3,57.10789535,57.167854309,m12-2-9,2026-07-25T09:23:04Z
coarse,1,100000,1,2560,1,3,72.377886488,72.393672417,m12-2-9,2026-07-25T09:27:54Z
coarse,1,100000,1,5120,1,3,72.363940562,72.372934373,m12-2-9,2026-07-25T09:32:43Z
coarse,1,100000,1,100000,1,3,72.49317413,72.494718726,m12-2-9,2026-07-25T09:37:33Z
refine,1,100000,1,5,1,5,4.674227137,4.8163725,m12-2-9,2026-07-25T09:38:02Z
refine,1,100000,1,10,1,5,3.207169372,3.275183195,m12-2-9,2026-07-25T09:38:22Z
refine,1,100000,1,15,1,5,3.204983468,3.240799482,m12-2-9,2026-07-25T09:38:42Z
refine,1,100000,1,20,1,5,3.675535887,3.687829728,m12-2-9,2026-07-25T09:39:04Z
