case,cutoff_over_h,n_bodies,n_pairs,n_direct,n_m2l,n_cutoff,missing,duplicates,cutoff_in_m2l
subcell,0.955,128,16256,3872,12384,335,0,0,0
overlap2_leaf,3.065,432,186192,105424,80768,45478,0,0,0
