mechanism,param,eps_series_rel,eps_outer_abs,ref_series_rel,ref_outer_abs,pred_coherent,pred_incoherent,B,pass_coherent,pass_incoherent
reduced,Float64/9,9.286e-04,0.000e+00,9.286e-04,1.886e-04,6.637e-03,4.935e-04,2.656e-04,0,0
reduced,Float64/10,1.723e-04,0.000e+00,1.723e-04,1.886e-04,1.232e-03,9.159e-05,2.656e-04,0,0
reduced,Float64/11,2.921e-05,0.000e+00,2.921e-05,1.886e-04,2.088e-04,1.552e-05,2.656e-04,0,1
reduced,Float64/12,4.555e-06,0.000e+00,4.555e-06,1.886e-04,3.256e-05,2.421e-06,2.656e-04,1,1
reduced,Float64/13,6.580e-07,0.000e+00,6.580e-07,1.886e-04,4.703e-06,3.497e-07,2.656e-04,1,1
reduced,Float64/14,8.853e-08,0.000e+00,8.853e-08,1.886e-04,6.328e-07,4.705e-08,2.656e-04,1,1
reduced,Float32/9,9.287e-04,1.024e-07,9.287e-04,1.886e-04,6.639e-03,4.936e-04,2.656e-04,0,0
reduced,Float32/10,1.725e-04,1.024e-07,1.725e-04,1.886e-04,1.235e-03,9.172e-05,2.656e-04,0,0
reduced,Float32/11,2.902e-05,1.024e-07,2.902e-05,1.886e-04,2.093e-04,1.550e-05,2.656e-04,0,1
reduced,Float32/12,4.883e-06,1.024e-07,4.883e-06,1.886e-04,3.681e-05,2.669e-06,2.656e-04,1,1
reduced,Float32/13,6.919e-07,1.024e-07,6.919e-07,1.886e-04,6.847e-06,4.411e-07,2.656e-04,1,1
outer_deg2,recorded,0.000e+00,7.400e-04,0.000e+00,7.400e-04,1.375e-02,5.307e-04,2.656e-04,0,0
fp32,13-term,6.919e-07,1.024e-07,6.919e-07,1.886e-04,6.847e-06,4.411e-07,2.656e-04,1,1
reduced_fp32,12-term,4.883e-06,1.024e-07,4.883e-06,1.886e-04,3.681e-05,2.669e-06,2.656e-04,1,1
lut,N=256,1.525e-04,1.780e-05,1.525e-04,1.783e-04,1.421e-03,9.382e-05,2.656e-04,0,0
lut,N=512,6.973e-05,4.452e-06,6.973e-05,1.850e-04,5.811e-04,4.025e-05,2.656e-04,0,0
lut,N=1024,3.008e-06,1.130e-06,3.008e-06,1.877e-04,4.249e-05,2.409e-06,2.656e-04,1,1
boundary_fp32,window,5.442e-07,,,,,,2.656e-04,,
boundary_lut_N1024,window,1.803e-04,,,,,,2.656e-04,,
validate_fp32,n=10000,6.919e-07,1.024e-07,0.000e+00,0.000e+00,6.847e-06,4.411e-07,9.366e-08,1,1
validate_reduced_F64_12,n=10000,4.555e-06,0.000e+00,0.000e+00,0.000e+00,3.256e-05,2.421e-06,2.724e-07,1,1
validate_lut_N1024,n=10000,3.008e-06,1.130e-06,0.000e+00,0.000e+00,4.249e-05,2.409e-06,4.190e-06,1,0
