eps,rt_U_perpair,rt_U_rms,rt_J_perpair,rt_J_rms,N_reg_ratio_J,classes_perpair_ell5,classes_rms_ell5,denU_R20,denU_R60,denU_R100,denJ_R60
1e-03,4.211,3.668,4.789,4.252,0.700,389,275,0.5142,0.5475,0.5542,0.0967
1e-04,4.749,4.230,5.303,4.770,0.728,485,389,0.5142,0.5475,0.5542,0.0967
1e-06,5.665,5.185,6.182,5.664,0.769,613,565,0.5142,0.5475,0.5542,0.0967
