stencil,n_classes,g_min_h,n,ell,beta,eps,rho_t,required_gap_h,bodies_per_leaf,required_bodies_per_leaf,compliant,n_classes_required,reg_pairs_per_target,direct_pairs_per_target,f_regularized,speedup_q15,speedup_q25,n_classes_production,direct_pairs_production,f_production,speedup_production_q15,speedup_production_q25
theta0.5_|o|^2<=12,179,2.2361,1000,0,1.5,1e-03,4.789,0.7184,1000.0,33.2,1,27,1552.9,27000.0,0.0575,1.458,2.301,179,179000.0,0.0087,1.494,2.468
theta0.5_|o|^2<=12,179,2.2361,1000,1,1.5,1e-03,4.789,1.4367,125.0,33.2,1,117,1552.9,14625.0,0.1062,1.424,2.157,179,22375.0,0.0694,1.450,2.264
theta0.5_|o|^2<=12,179,2.2361,1000,2,1.5,1e-03,4.789,2.8735,15.6,33.2,0,311,1552.9,4859.4,0.3196,1.293,1.690,311,4859.4,0.3196,1.293,1.690
theta0.5_|o|^2<=12,179,2.2361,1000,3,1.5,1e-03,4.789,5.7470,2.0,33.2,0,1545,1552.9,3017.6,0.5146,1.193,1.411,1545,3017.6,0.5146,1.193,1.411
theta0.5_|o|^2<=12,179,2.2361,1000,4,1.5,1e-03,4.789,11.4940,0.2,33.2,0,9213,1552.9,2249.3,0.6904,1.115,1.228,9213,2249.3,0.6904,1.115,1.228
theta0.5_|o|^2<=12,179,2.2361,1000,5,1.5,1e-03,4.789,22.9879,0.0,33.2,0,61175,1552.9,1866.9,0.8318,1.059,1.112,61175,1866.9,0.8318,1.059,1.112
theta0.5_|o|^2<=12,179,2.2361,1000,6,1.5,1e-03,4.789,45.9758,0.0,33.2,0,447361,1552.9,1706.5,0.9100,1.031,1.057,447361,1706.5,0.9100,1.031,1.057
theta0.5_|o|^2<=12,179,2.2361,10000,0,1.5,1e-03,4.789,0.3334,10000.0,33.2,1,27,1552.9,270000.0,0.0058,1.496,2.479,179,1790000.0,0.0009,1.499,2.497
theta0.5_|o|^2<=12,179,2.2361,10000,1,1.5,1e-03,4.789,0.6669,1250.0,33.2,1,27,1552.9,33750.0,0.0460,1.466,2.339,179,223750.0,0.0069,1.495,2.474
theta0.5_|o|^2<=12,179,2.2361,10000,2,1.5,1e-03,4.789,1.3338,156.2,33.2,1,81,1552.9,12656.2,0.1227,1.413,2.111,179,27968.8,0.0555,1.459,2.308
theta0.5_|o|^2<=12,179,2.2361,10000,3,1.5,1e-03,4.789,2.6675,19.5,33.2,0,275,1552.9,5371.1,0.2891,1.311,1.744,275,5371.1,0.2891,1.311,1.744
theta0.5_|o|^2<=12,179,2.2361,10000,4,1.5,1e-03,4.789,5.3350,2.4,33.2,0,1293,1552.9,3156.7,0.4919,1.204,1.439,1293,3156.7,0.4919,1.204,1.439
theta0.5_|o|^2<=12,179,2.2361,10000,5,1.5,1e-03,4.789,10.6700,0.3,33.2,0,7443,1552.9,2271.4,0.6837,1.118,1.234,7443,2271.4,0.6837,1.118,1.234
theta0.5_|o|^2<=12,179,2.2361,10000,6,1.5,1e-03,4.789,21.3401,0.0,33.2,0,49773,1552.9,1898.7,0.8179,1.065,1.123,49773,1898.7,0.8179,1.065,1.123
theta0.5_|o|^2<=12,179,2.2361,100000,0,1.5,1e-03,4.789,0.1548,100000.0,33.2,1,27,1552.9,2700000.0,0.0006,1.500,2.498,179,17900000.0,0.0001,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,100000,1,1.5,1e-03,4.789,0.3095,12500.0,33.2,1,27,1552.9,337500.0,0.0046,1.497,2.483,179,2237500.0,0.0007,1.499,2.497
theta0.5_|o|^2<=12,179,2.2361,100000,2,1.5,1e-03,4.789,0.6191,1562.5,33.2,1,27,1552.9,42187.5,0.0368,1.473,2.369,179,279687.5,0.0056,1.496,2.479
theta0.5_|o|^2<=12,179,2.2361,100000,3,1.5,1e-03,4.789,1.2381,195.3,33.2,1,81,1552.9,15820.3,0.0982,1.430,2.179,179,34960.9,0.0444,1.467,2.344
theta0.5_|o|^2<=12,179,2.2361,100000,4,1.5,1e-03,4.789,2.4763,24.4,33.2,0,275,1552.9,6713.9,0.2313,1.345,1.856,275,6713.9,0.2313,1.345,1.856
theta0.5_|o|^2<=12,179,2.2361,100000,5,1.5,1e-03,4.789,4.9526,3.1,33.2,0,1015,1552.9,3097.5,0.5013,1.199,1.427,1015,3097.5,0.5013,1.199,1.427
theta0.5_|o|^2<=12,179,2.2361,100000,6,1.5,1e-03,4.789,9.9052,0.4,33.2,0,6133,1552.9,2339.6,0.6638,1.126,1.253,6133,2339.6,0.6638,1.126,1.253
theta0.5_|o|^2<=12,179,2.2361,1000000,0,1.5,1e-03,4.789,0.0718,1000000.0,33.2,1,27,1552.9,27000000.0,0.0001,1.500,2.500,179,179000000.0,0.0000,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,1,1.5,1e-03,4.789,0.1437,125000.0,33.2,1,27,1552.9,3375000.0,0.0005,1.500,2.498,179,22375000.0,0.0001,1.500,2.500
theta0.5_|o|^2<=12,179,2.2361,1000000,2,1.5,1e-03,4.789,0.2873,15625.0,33.2,1,27,1552.9,421875.0,0.0037,1.497,2.486,179,2796875.0,0.0006,1.500,2.498
theta0.5_|o|^2<=12,179,2.2361,1000000,3,1.5,1e-03,4.789,0.5747,1953.1,33.2,1,27,1552.9,52734.4,0.0294,1.478,2.394,179,349609.4,0.0044,1.497,2.483
theta0.5_|o|^2<=12,179,2.2361,1000000,4,1.5,1e-03,4.789,1.1494,244.1,33.2,1,81,1552.9,19775.4,0.0785,1.443,2.237,179,43701.2,0.0355,1.474,2.373
theta0.5_|o|^2<=12,179,2.2361,1000000,5,1.5,1e-03,4.789,2.2988,30.5,33.2,0,251,1552.9,7659.9,0.2027,1.362,1.917,251,7659.9,0.2027,1.362,1.917
theta0.5_|o|^2<=12,179,2.2361,1000000,6,1.5,1e-03,4.789,4.5976,3.8,33.2,0,967,1552.9,3688.8,0.4210,1.239,1.532,967,3688.8,0.4210,1.239,1.532
theta0.5_|o|^2<=12,179,2.2361,1000,0,2.0,1e-03,4.789,0.9578,1000.0,78.6,1,27,3680.9,27000.0,0.1363,1.404,2.076,179,179000.0,0.0206,1.485,2.425
theta0.5_|o|^2<=12,179,2.2361,1000,1,2.0,1e-03,4.789,1.9157,125.0,78.6,1,125,3680.9,15625.0,0.2356,1.342,1.847,179,22375.0,0.1645,1.386,2.005
theta0.5_|o|^2<=12,179,2.2361,1000,2,2.0,1e-03,4.789,3.8313,15.6,78.6,0,613,3680.9,9578.1,0.3843,1.258,1.586,613,9578.1,0.3843,1.258,1.586
