kernel,variant,precision,n,reps,median_s,min_s,h2d_s,d2h_s,pairs_per_s,gflops_nominal,jobid
uj,tiled,f64,100,5,1.162110e-04,1.154400e-04,3.5499e-04,7.8936e-05,8.6050e+07,6.7,13246522
uj,opt,f64,100,5,1.268880e-04,1.256930e-04,3.5499e-04,7.8936e-05,7.8810e+07,6.1,13246522
ujsfs,tiled,f64,100,5,1.371270e-04,1.366780e-04,3.5499e-04,7.8936e-05,7.2925e+07,7.6,13246522
ujsfs,opt,f64,100,5,1.783830e-04,1.776490e-04,3.5499e-04,7.8936e-05,5.6059e+07,5.8,13246522
uj,tiled,f32,100,5,6.975500e-05,6.893100e-05,5.0244e-05,8.1690e-05,1.4336e+08,11.2,13246522
uj,opt,f32,100,5,5.540900e-05,5.466800e-05,5.0244e-05,8.1690e-05,1.8048e+08,14.1,13246522
ujsfs,tiled,f32,100,5,7.990900e-05,7.928400e-05,5.0244e-05,8.1690e-05,1.2514e+08,13.0,13246522
ujsfs,opt,f32,100,5,7.420400e-05,7.411000e-05,5.0244e-05,8.1690e-05,1.3476e+08,14.0,13246522
uj,tiled,f64,316,5,3.744620e-04,3.735760e-04,4.2051e-05,4.7069e-05,2.6667e+08,20.8,13246522
uj,opt,f64,316,5,3.819540e-04,3.811670e-04,4.2051e-05,4.7069e-05,2.6143e+08,20.4,13246522
ujsfs,tiled,f64,316,5,4.347340e-04,4.338220e-04,4.2051e-05,4.7069e-05,2.2969e+08,23.9,13246522
ujsfs,opt,f64,316,5,4.970030e-04,4.967000e-04,4.2051e-05,4.7069e-05,2.0092e+08,20.9,13246522
uj,tiled,f32,316,5,2.205740e-04,2.190970e-04,4.5748e-05,4.6671e-05,4.5271e+08,35.3,13246522
uj,opt,f32,316,5,1.663810e-04,1.651030e-04,4.5748e-05,4.6671e-05,6.0016e+08,46.8,13246522
ujsfs,tiled,f32,316,5,2.428330e-04,2.417530e-04,4.5748e-05,4.6671e-05,4.1121e+08,42.8,13246522
ujsfs,opt,f32,316,5,2.122210e-04,2.119260e-04,4.5748e-05,4.6671e-05,4.7053e+08,48.9,13246522
uj,tiled,f64,1000,5,1.309231e-03,1.308528e-03,4.8889e-05,5.4763e-05,7.6381e+08,59.6,13246522
uj,opt,f64,1000,5,1.147826e-03,1.147368e-03,4.8889e-05,5.4763e-05,8.7121e+08,68.0,13246522
ujsfs,tiled,f64,1000,5,1.490723e-03,1.486488e-03,4.8889e-05,5.4763e-05,6.7082e+08,69.8,13246522
ujsfs,opt,f64,1000,5,1.501342e-03,1.498481e-03,4.8889e-05,5.4763e-05,6.6607e+08,69.3,13246522
uj,tiled,f32,1000,5,7.508470e-04,7.502900e-04,5.1871e-05,4.9245e-05,1.3318e+09,103.9,13246522
uj,opt,f32,1000,5,4.485110e-04,4.483310e-04,5.1871e-05,4.9245e-05,2.2296e+09,173.9,13246522
ujsfs,tiled,f32,1000,5,8.122940e-04,8.116400e-04,5.1871e-05,4.9245e-05,1.2311e+09,128.0,13246522
ujsfs,opt,f32,1000,5,6.022620e-04,6.017010e-04,5.1871e-05,4.9245e-05,1.6604e+09,172.7,13246522
uj,tiled,f64,3162,5,3.843901e-03,3.842733e-03,5.3542e-05,6.9161e-05,2.6011e+09,202.9,13246522
uj,opt,f64,3162,5,3.597214e-03,3.596840e-03,5.3542e-05,6.9161e-05,2.7794e+09,216.8,13246522
ujsfs,tiled,f64,3162,5,4.396590e-03,4.395389e-03,5.3542e-05,6.9161e-05,2.2741e+09,236.5,13246522
ujsfs,opt,f64,3162,5,4.706832e-03,4.704282e-03,5.3542e-05,6.9161e-05,2.1242e+09,220.9,13246522
uj,tiled,f32,3162,5,2.195251e-03,2.191582e-03,7.7262e-05,6.5813e-05,4.5545e+09,355.3,13246522
uj,opt,f32,3162,5,1.417342e-03,1.414590e-03,7.7262e-05,6.5813e-05,7.0542e+09,550.2,13246522
ujsfs,tiled,f32,3162,5,2.382111e-03,2.378649e-03,7.7262e-05,6.5813e-05,4.1972e+09,436.5,13246522
ujsfs,opt,f32,3162,5,1.952546e-03,1.949660e-03,7.7262e-05,6.5813e-05,5.1206e+09,532.5,13246522
uj,tiled,f64,10000,5,1.133954e-02,1.133938e-02,8.4260e-05,1.2122e-04,8.8187e+09,687.9,13246522
uj,opt,f64,10000,5,1.154825e-02,1.154728e-02,8.4260e-05,1.2122e-04,8.6593e+09,675.4,13246522
ujsfs,tiled,f64,10000,5,1.307028e-02,1.306838e-02,8.4260e-05,1.2122e-04,7.6509e+09,795.7,13246522
