kernel,variant,precision,n,reps,median_s,min_s,h2d_s,d2h_s,pairs_per_s,gflops_nominal,jobid
ujsfs,tiled,f64,31623,5,4.237762e-02,4.237309e-02,1.7915e-04,2.6736e-04,2.3598e+10,2454.2,13246033
uj,naive,f32,31623,5,2.392021e-02,2.391742e-02,2.6725e-04,1.8665e-04,4.1806e+10,3260.9,13246033
uj,tiled,f32,31623,5,2.030629e-02,2.030353e-02,2.6725e-04,1.8665e-04,4.9247e+10,3841.2,13246033
ujsfs,naive,f32,31623,5,3.591548e-02,3.591201e-02,2.6725e-04,1.8665e-04,2.7844e+10,2895.7,13246033
ujsfs,tiled,f32,31623,5,2.242680e-02,2.242533e-02,2.6725e-04,1.8665e-04,4.4590e+10,4637.4,13246033
uj,naive,f64,100000,5,2.658330e-01,2.658065e-01,4.4160e-04,5.2126e-03,3.7618e+10,2934.2,13246033
uj,tiled,f64,100000,5,2.273929e-01,2.271715e-01,4.4160e-04,5.2126e-03,4.3977e+10,3430.2,13246033
ujsfs,naive,f64,100000,5,3.349921e-01,3.343648e-01,4.4160e-04,5.2126e-03,2.9851e+10,3104.6,13246033
ujsfs,tiled,f64,100000,5,2.697273e-01,2.696447e-01,4.4160e-04,5.2126e-03,3.7074e+10,3855.7,13246033
uj,naive,f32,100000,5,1.118012e-01,1.117658e-01,7.4868e-04,4.2174e-04,8.9444e+10,6976.7,13246033
uj,tiled,f32,100000,5,9.492567e-02,9.492179e-02,7.4868e-04,4.2174e-04,1.0535e+11,8217.0,13246033
ujsfs,naive,f32,100000,5,1.625214e-01,1.624256e-01,7.4868e-04,4.2174e-04,6.1530e+10,6399.2,13246033
ujsfs,tiled,f32,100000,5,1.115990e-01,1.115878e-01,7.4868e-04,4.2174e-04,8.9607e+10,9319.1,13246033
uj,naive,f64,316228,5,1.858159e+00,1.852338e+00,1.0512e-03,1.6787e-02,5.3817e+10,4197.7,13246033
uj,tiled,f64,316228,5,1.648990e+00,1.648727e+00,1.0512e-03,1.6787e-02,6.0643e+10,4730.2,13246033
ujsfs,naive,f64,316228,5,2.575782e+00,2.572635e+00,1.0512e-03,1.6787e-02,3.8823e+10,4037.6,13246033
ujsfs,tiled,f64,316228,5,2.052378e+00,2.051804e+00,1.0512e-03,1.6787e-02,4.8724e+10,5067.3,13246033
uj,naive,f32,316228,5,8.792341e-01,8.780676e-01,5.4788e-03,6.1527e-03,1.1374e+11,8871.4,13246033
uj,tiled,f32,316228,5,7.229150e-01,7.219694e-01,5.4788e-03,6.1527e-03,1.3833e+11,10789.7,13246033
ujsfs,naive,f32,316228,5,1.300942e+00,1.298874e+00,5.4788e-03,6.1527e-03,7.6868e+10,7994.2,13246033
ujsfs,tiled,f32,316228,5,8.784159e-01,8.782309e-01,5.4788e-03,6.1527e-03,1.1384e+11,11839.5,13246033
uj,naive,f64,1000000,2,1.515012e+01,1.513340e+01,3.7294e-03,5.4041e-02,6.6006e+10,5148.5,13246033
uj,tiled,f64,1000000,5,1.325622e+01,1.325524e+01,3.7294e-03,5.4041e-02,7.5436e+10,5884.0,13246033
ujsfs,naive,f64,1000000,2,2.190107e+01,2.189592e+01,3.7294e-03,5.4041e-02,4.5660e+10,4748.6,13246033
ujsfs,tiled,f64,1000000,2,1.736217e+01,1.736159e+01,3.7294e-03,5.4041e-02,5.7596e+10,5990.0,13246033
uj,naive,f32,1000000,5,7.242257e+00,7.240250e+00,2.5815e-02,2.5973e-02,1.3808e+11,10770.1,13246033
uj,tiled,f32,1000000,5,5.755173e+00,5.754372e+00,2.5815e-02,2.5973e-02,1.7376e+11,13553.0,13246033
ujsfs,naive,f32,1000000,5,1.112961e+01,1.112378e+01,2.5815e-02,2.5973e-02,8.9850e+10,9344.4,13246033
ujsfs,tiled,f32,1000000,5,7.280323e+00,7.279833e+00,2.5815e-02,2.5973e-02,1.3736e+11,14285.1,13246033
uj,naive,f32,3162278,2,6.513105e+01,6.511327e+01,4.2922e-02,8.4999e-02,1.5354e+11,11975.9,13246033
uj,tiled,f32,3162278,2,4.993999e+01,4.993792e+01,4.2922e-02,8.4999e-02,2.0024e+11,15618.7,13246033
ujsfs,tiled,f32,3162278,2,6.495252e+01,6.495239e+01,4.2922e-02,8.4999e-02,1.5396e+11,16011.7,13246033
