label,case,n,ell,q,tf,strategy,mode,subsort,rho_t,step_ms,nearfield_ms,u_rel_rms,j_rel_rms,hom_all,hom_mixed,n_direct
cube1e5,cube,100000,3,16,F32,regularized,classsplit,1,4.7890,39.208790,15.978334,5.4117e-04,1.8781e-03,NaN,NaN,71200
cube1e5,cube,100000,3,16,F32,partitioned,classsplit,1,4.7890,28.559677,13.017193,5.4107e-04,1.8775e-03,0.8872,0.7877,71200
cube1e5,cube,100000,3,16,F32,twopass,classsplit,1,4.7890,29.553403,18.312284,5.4103e-04,1.8775e-03,0.9763,0.8425,71200
cube1e5,cube,100000,3,16,F32,partitioned_rms,classsplit,1,4.2520,28.316872,12.495939,5.4306e-04,1.9011e-03,0.9074,0.7666,71200
cube1e5,cube,100000,3,16,F32,twopass_rms,classsplit,1,4.2520,31.584167,16.592493,5.4303e-04,1.9011e-03,0.9763,0.8425,71200
cube1e5,cube,100000,3,16,F64,regularized,classsplit,1,4.7890,69.806527,35.553062,5.4115e-04,1.8781e-03,NaN,NaN,71200
cube1e5,cube,100000,3,16,F64,partitioned,classsplit,1,4.7890,39.518225,26.389164,5.4103e-04,1.8775e-03,0.8872,0.7877,71200
cube1e5,cube,100000,3,16,F64,twopass,classsplit,1,4.7890,49.201461,38.322673,5.4103e-04,1.8775e-03,0.9763,0.8425,71200
cube1e5,cube,100000,3,16,F64,partitioned_rms,classsplit,1,4.2520,39.455760,25.010542,5.4302e-04,1.9011e-03,0.9074,0.7666,71200
cube1e5,cube,100000,3,16,F64,twopass_rms,classsplit,1,4.2520,45.132609,34.123841,5.4302e-04,1.9011e-03,0.9763,0.8425,71200
