label,case,n,ell,q,tf,strategy,mode,subsort,rho_t,step_ms,nearfield_ms,u_rel_rms,j_rel_rms,hom_all,hom_mixed,n_direct
wake1e6,wake,1000000,6,16,F32,regularized,classsplit,1,4.7890,332.091769,175.940725,4.8026e-04,5.1560e-03,NaN,NaN,1704916
wake1e6,wake,1000000,6,16,F32,partitioned,classsplit,1,4.7890,276.097253,132.214620,4.8026e-04,5.1558e-03,0.8639,0.7341,1704916
wake1e6,wake,1000000,6,16,F32,twopass,classsplit,1,4.7890,319.489253,164.410872,4.8026e-04,5.1558e-03,0.9736,0.7860,1704916
wake1e6,wake,1000000,6,16,F32,partitioned_rms,classsplit,1,4.2520,272.554134,128.347176,4.8029e-04,5.1555e-03,0.8904,0.7753,1704916
wake1e6,wake,1000000,6,16,F32,twopass_rms,classsplit,1,4.2520,308.217418,157.465116,4.8029e-04,5.1555e-03,0.9736,0.7860,1704916
wake1e6,wake,1000000,6,16,F32,partitioned_unbinned,unbinned,0,4.7890,317.149888,165.566352,4.8026e-04,5.1558e-03,0.8070,0.6229,1704916
wake1e6,wake,1000000,6,16,F32,partitioned_cs_nosub,classsplit,0,4.7890,280.132159,134.968318,4.8026e-04,5.1558e-03,0.8070,0.6228,1704916
wake1e6,wake,1000000,6,16,F64,regularized,classsplit,1,4.7890,616.569882,412.682657,4.8028e-04,5.1560e-03,NaN,NaN,1704916
wake1e6,wake,1000000,6,16,F64,partitioned,classsplit,1,4.7890,499.449402,300.469505,4.8028e-04,5.1558e-03,0.8639,0.7341,1704916
wake1e6,wake,1000000,6,16,F64,twopass,classsplit,1,4.7890,621.404839,403.392275,4.8028e-04,5.1558e-03,0.9736,0.7860,1704916
wake1e6,wake,1000000,6,16,F64,partitioned_rms,classsplit,1,4.2520,490.144258,292.236803,4.8031e-04,5.1555e-03,0.8904,0.7753,1704916
wake1e6,wake,1000000,6,16,F64,twopass_rms,classsplit,1,4.2520,606.245711,389.446415,4.8031e-04,5.1555e-03,0.9736,0.7860,1704916
wake1e6,wake,1000000,6,16,F64,partitioned_unbinned,unbinned,0,4.7890,568.608189,364.927644,4.8028e-04,5.1558e-03,0.8070,0.6229,1704916
wake1e6,wake,1000000,6,16,F64,partitioned_cs_nosub,classsplit,0,4.7890,505.939274,306.701634,4.8028e-04,5.1558e-03,0.8071,0.6229,1704916
