point,n,ell,q,tf,kernel,mode,subsort,pass2_queued,n_direct,step_ms,nearfield_ms,u_rel_rms,j_rel_rms,hom_all,hom_mixed,hom_shell,reg_frac,bucket_singular,bucket_regularized,bucket_mixed
a,100000,3,16,F32,regularized,unbinned,0,0,71200,39.699147,15.973191,5.4117e-04,1.8781e-03,NaN,NaN,NaN,NaN,-1,-1,-1
a,100000,3,16,F32,partitioned,unbinned,0,0,71200,37.377648,13.882797,5.4104e-04,1.8775e-03,0.8255,0.6715,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,unbinned,1,0,71200,37.281730,13.497932,5.4105e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,classsplit,0,0,71200,29.069232,13.376343,5.4104e-04,1.8775e-03,0.8254,0.6714,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,classsplit,1,0,71200,29.009365,12.998397,5.4104e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,ballot,0,0,71200,44.667287,21.574135,5.4102e-04,1.8775e-03,0.8255,0.6715,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,ballot,1,0,71200,43.091237,19.526095,5.4106e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,classsplit_ballot,0,0,71200,28.807840,19.710773,5.4108e-04,1.8775e-03,0.8255,0.6715,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,partitioned,classsplit_ballot,1,0,71200,26.993554,17.717116,5.4106e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F32,twopass,unbinned,0,0,71200,31.304127,20.390988,5.4102e-04,1.8775e-03,0.9614,0.7433,0.6196,0.0082,60552,0,10648
a,100000,3,16,F32,twopass,unbinned,0,1,71200,33.860633,24.828066,5.4104e-04,1.8775e-03,0.9614,0.7431,0.6194,0.0082,60552,0,10648
a,100000,3,16,F32,twopass,classsplit,0,0,71200,29.602777,18.894519,5.4104e-04,1.8775e-03,0.9614,0.7431,0.6194,0.0082,60552,0,10648
a,100000,3,16,F32,twopass,classsplit,0,1,71200,32.348917,23.319762,5.4105e-04,1.8775e-03,0.9614,0.7431,0.6194,0.0082,60552,0,10648
a,100000,3,16,F64,regularized,unbinned,0,0,71200,70.716069,35.533116,5.4115e-04,1.8781e-03,NaN,NaN,NaN,NaN,-1,-1,-1
a,100000,3,16,F64,partitioned,unbinned,0,0,71200,64.084089,29.059330,5.4103e-04,1.8775e-03,0.8255,0.6715,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,unbinned,1,0,71200,63.086878,28.195702,5.4103e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,classsplit,0,0,71200,40.074111,27.331735,5.4103e-04,1.8775e-03,0.8256,0.6717,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,classsplit,1,0,71200,40.046060,26.474735,5.4103e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,ballot,0,0,71200,82.708698,48.679859,5.4103e-04,1.8775e-03,0.8255,0.6716,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,ballot,1,0,71200,78.519094,44.017657,5.4103e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,classsplit_ballot,0,0,71200,54.575105,43.554107,5.4103e-04,1.8775e-03,0.8256,0.6718,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,partitioned,classsplit_ballot,1,0,71200,49.996672,38.869200,5.4103e-04,1.8775e-03,0.8872,0.7877,NaN,0.0978,33624,0,37576
a,100000,3,16,F64,twopass,unbinned,0,0,71200,55.294979,44.160134,5.4103e-04,1.8775e-03,0.9614,0.7433,0.6197,0.0082,60552,0,10648
a,100000,3,16,F64,twopass,unbinned,0,1,71200,59.522462,48.727958,5.4103e-04,1.8775e-03,0.9614,0.7432,0.6195,0.0082,60552,0,10648
a,100000,3,16,F64,twopass,classsplit,0,0,71200,50.713255,39.608266,5.4103e-04,1.8775e-03,0.9614,0.7434,0.6197,0.0082,60552,0,10648
a,100000,3,16,F64,twopass,classsplit,0,1,71200,55.006375,44.199917,5.4103e-04,1.8775e-03,0.9614,0.7431,0.6194,0.0082,60552,0,10648
