label,case,n,ell,q,tf,strategy,mode,subsort,rho_t,step_ms,nearfield_ms,u_rel_rms,j_rel_rms,hom_all,hom_mixed,n_direct
cube1e6,cube,1000000,4,16,F32,regularized,classsplit,1,4.7890,383.292470,287.199111,9.2953e-04,2.6940e-03,NaN,NaN,789632
cube1e6,cube,1000000,4,16,F32,partitioned,classsplit,1,4.7890,301.885068,212.883951,9.2956e-04,2.6949e-03,0.9224,0.8403,789632
cube1e6,cube,1000000,4,16,F32,twopass,classsplit,1,4.7890,366.541035,274.904564,9.2955e-04,2.6949e-03,0.9854,0.8812,789632
cube1e6,cube,1000000,4,16,F32,partitioned_rms,classsplit,1,4.2520,289.042131,201.004836,9.3534e-04,2.7128e-03,0.9378,0.8212,789632
cube1e6,cube,1000000,4,16,F32,twopass_rms,classsplit,1,4.2520,338.257781,249.557574,9.3533e-04,2.7128e-03,0.9854,0.8812,789632
cube1e6,cube,1000000,4,16,F64,regularized,classsplit,1,4.7890,824.167258,673.448687,9.2951e-04,2.6940e-03,NaN,NaN,789632
cube1e6,cube,1000000,4,16,F64,partitioned,classsplit,1,4.7890,614.292636,484.566193,9.2955e-04,2.6948e-03,0.9224,0.8403,789632
cube1e6,cube,1000000,4,16,F64,twopass,classsplit,1,4.7890,798.953111,671.263127,9.2955e-04,2.6948e-03,0.9854,0.8812,789632
cube1e6,cube,1000000,4,16,F64,partitioned_rms,classsplit,1,4.2520,605.455718,460.606843,9.3534e-04,2.7128e-03,0.9378,0.8212,789632
cube1e6,cube,1000000,4,16,F64,twopass_rms,classsplit,1,4.2520,731.455307,604.976543,9.3534e-04,2.7128e-03,0.9854,0.8812,789632
