point,n,ell,q,tf,kernel,mode,subsort,pass2_queued,n_direct,step_ms,nearfield_ms,u_rel_rms,j_rel_rms,hom_all,hom_mixed,hom_shell,reg_frac,bucket_singular,bucket_regularized,bucket_mixed
c,200000,4,20,F32,regularized,unbinned,0,0,1142504,49.642618,23.020692,6.5895e-04,3.0484e-03,NaN,NaN,NaN,NaN,-1,-1,-1
c,200000,4,20,F32,partitioned,unbinned,0,0,1142504,48.782352,22.083430,6.5898e-04,3.0473e-03,0.7809,0.6902,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,unbinned,1,0,1142504,48.349535,21.760231,6.5897e-04,3.0473e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,classsplit,0,0,1142504,42.768177,20.501700,6.5897e-04,3.0473e-03,0.7809,0.6902,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,classsplit,1,0,1142504,42.769295,20.240055,6.5898e-04,3.0473e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,ballot,0,0,1142504,53.114204,26.608315,6.5899e-04,3.0473e-03,0.7807,0.6900,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,ballot,1,0,1142504,52.120991,25.607237,6.5897e-04,3.0473e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,classsplit_ballot,0,0,1142504,48.375957,26.153683,6.5898e-04,3.0473e-03,0.7806,0.6899,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,partitioned,classsplit_ballot,1,0,1142504,47.170488,25.118815,6.5896e-04,3.0473e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F32,twopass,unbinned,0,0,1142504,56.406294,33.844740,6.5900e-04,3.0473e-03,0.9546,0.8114,0.6376,0.0163,867424,0,275080
c,200000,4,20,F32,twopass,unbinned,0,1,1142504,61.449370,39.363954,6.5901e-04,3.0473e-03,0.9546,0.8113,0.6374,0.0163,867424,0,275080
c,200000,4,20,F32,twopass,classsplit,0,0,1142504,51.992557,29.527529,6.5902e-04,3.0473e-03,0.9546,0.8114,0.6376,0.0163,867424,0,275080
c,200000,4,20,F32,twopass,classsplit,0,1,1142504,57.114941,35.051904,6.5900e-04,3.0473e-03,0.9546,0.8115,0.6377,0.0163,867424,0,275080
c,200000,4,20,F64,regularized,unbinned,0,0,1142504,84.822726,50.314652,6.5901e-04,3.0484e-03,NaN,NaN,NaN,NaN,-1,-1,-1
c,200000,4,20,F64,partitioned,unbinned,0,0,1142504,80.001193,45.645043,6.5904e-04,3.0474e-03,0.7807,0.6900,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,unbinned,1,0,1142504,79.364230,44.830557,6.5904e-04,3.0474e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,classsplit,0,0,1142504,69.170216,41.724702,6.5904e-04,3.0474e-03,0.7806,0.6899,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,classsplit,1,0,1142504,68.389177,41.058947,6.5904e-04,3.0474e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,ballot,0,0,1142504,90.167776,55.971470,6.5904e-04,3.0474e-03,0.7807,0.6899,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,ballot,1,0,1142504,87.792516,53.735668,6.5904e-04,3.0474e-03,0.8126,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,classsplit_ballot,0,0,1142504,81.693781,54.586883,6.5904e-04,3.0474e-03,0.7808,0.6901,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,partitioned,classsplit_ballot,1,0,1142504,79.894615,52.223748,6.5904e-04,3.0474e-03,0.8125,0.7350,NaN,0.1999,310152,27136,805216
c,200000,4,20,F64,twopass,unbinned,0,0,1142504,101.574907,68.250250,6.5904e-04,3.0474e-03,0.9546,0.8115,0.6377,0.0163,867424,0,275080
c,200000,4,20,F64,twopass,unbinned,0,1,1142504,103.344942,71.651593,6.5904e-04,3.0474e-03,0.9546,0.8115,0.6377,0.0163,867424,0,275080
c,200000,4,20,F64,twopass,classsplit,0,0,1142504,94.663533,60.698333,6.5904e-04,3.0474e-03,0.9546,0.8113,0.6373,0.0163,867424,0,275080
c,200000,4,20,F64,twopass,classsplit,0,1,1142504,97.003957,64.070446,6.5904e-04,3.0474e-03,0.9546,0.8115,0.6377,0.0163,867424,0,275080
