manifest,job,host,gpu,julia,cuda,blas_threads,seed,policy,strategy,precision,P,lh,n,ell,window_classes,fit,note,n_cells,n_nodes,nodes_per_level,routes,routes_per_level,n_direct,nonempty_classes,max_class,mean_class,class_p50,class_p90,construction_ms,persistent_device_bytes,peak_device_bytes,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,b2m_ms,m2m_ms,m2l_ms,m2l_per_level,l2l_ms,l2b_ms,full_step_ms,m2l_device_alloc_bytes,step_device_alloc_bytes,full_step_host_alloc_bytes,route_uploads,operator_uploads,body_uploads,metadata_downloads,expansion_host_copies,err_potential,err_gradient
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,4,32,true,,2739,3322,1 8 64 510 2739,397036,3096 53072 340868,63895,948,2347,418.8143459915612,143.0,1726.0,18.842356,67108864,136314880,0.830993,0.018747,0.096129,2.093771,0.049206,0.5498559912666678,0.7946239784359932,2.1906879264861345,0.792336 0.71389 0.817545,0.7816000143066049,0.6503679906018078,11.494931999999999,4108,5320,7288896,2,2,11,33,0,3.886292657251378e-5,0.0006529024469975747
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,4,64,true,,2739,3322,1 8 64 510 2739,397036,3096 53072 340868,63895,948,2347,418.8143459915612,143.0,1726.0,18.996042,67108864,136314880,0.845472,0.018898,0.096585,1.201814,0.048029,0.5494400393217802,0.7947839912958443,1.252864021807909,0.429562 0.36815 0.562451,0.777952023781836,0.6528000230900943,10.499994000000001,4108,5320,7135376,2,2,11,33,0,3.886292657251378e-5,0.000652902446997547
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,4,256,true,,2739,3322,1 8 64 510 2739,397036,3096 53072 340868,63895,948,2347,418.8143459915612,143.0,1726.0,19.124767,100663296,169869312,0.848856,0.019277,0.097089,0.71394,0.049517,0.550016004126519,0.7969919824972749,0.7322239689528942,0.217995 0.179068 0.425598,0.7827520021237433,0.6553599960170686,10.015452,4096,5308,7043536,2,2,11,33,0,3.88629265724999e-5,0.000652902446997547
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,20000,4,1740,true,,2739,3322,1 8 64 510 2739,397036,3096 53072 340868,63895,948,2347,418.8143459915612,143.0,1726.0,19.025782,134217728,203423744,0.863112,0.018891,0.092849,0.2597,0.048744,0.5493760108947754,0.7958400528877974,0.5692800041288137,0.135145 0.133658 0.394719,0.7795519777573645,0.6509119994007051,9.542926999999999,4096,5308,7012816,2,2,11,33,0,3.88629265724999e-5,0.0006529024469975747
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,1,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,17.846466,67108864,136314880,1.008005,0.023321,0.11643,232.562886,0.060343,0.5500480183400214,0.836992054246366,359.60471630096436,61.196052 118.314096 163.154421,0.8361919899471104,0.9275199845433235,354.856232,20880,23716,69583008,2,2,11,33,0,8.844852989881025e-7,3.2218567939985496e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,4,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,10.419116,67108864,136314880,0.963612,0.021845,0.107926,69.640987,0.054318,0.5494400393217802,0.8002240210771561,101.86809301376343,16.372776 41.053494 40.867109,0.8135359967127442,0.9220799547620118,114.597682,22620,25456,25230048,2,2,11,33,0,8.844852989881025e-7,3.221856793998723e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,8,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,10.355911,67108864,136314880,0.927503,0.020224,0.106211,36.408488,0.051976,0.5495999939739704,0.7958400528877974,49.85088109970093,9.333102 21.639496 21.746018,0.8167359628714621,0.9252480231225491,63.064076,22620,25456,16382496,2,2,11,33,0,8.844852989881025e-7,3.22185679399907e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,32,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,10.879135,67108864,136314880,0.87556,0.018885,0.103577,11.175685,0.053228,0.5495359655469656,0.7937279879115522,17.101280391216278,4.256131 5.449972 8.030418,0.7877119933255017,0.9264640393666923,27.475895,22620,25456,10151104,2,2,11,33,0,8.844852989881025e-7,3.2218567939995904e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,64,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,10.891686,100663296,169869312,0.883852,0.019148,0.103507,6.535993,0.049545,0.5490559851750731,0.7904639933258295,11.053183116018772,2.38557 2.769923 6.353308,0.7775999838486314,0.9283520048484206,21.106501,22620,25456,8928192,2,2,11,33,0,8.844852989881025e-7,3.2218567939992435e-5
4baff1ed0e418148,12992039,m13h-2-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,20000,4,256,true,,2739,3322,1 8 64 510 2739,1796874,752 159010 1637112,367179,3644,1955,493.10482985729965,180.0,1507.0,11.758268,134217728,203423744,0.950054,0.02199,0.107093,2.956209,0.054561,0.5495040095411241,0.7956159533932805,6.60889595746994,0.724484 0.931542 5.137219,0.7860800251364708,0.9248320129700005,16.566947,22540,25376,7942688,2,2,11,33,0,8.844852989881025e-7,3.2218567939992435e-5
