manifest,job,policy,strategy,precision,P,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,1,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,1,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,1,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,8,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,8,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,8,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,32,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,32,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,32,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,64,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,64,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,64,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,256,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,256,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,1740,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,1740,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,precomputed_y,Float64,4,false,20000,4,1740,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,1,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,1,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,1,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,8,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,8,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,8,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,32,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,32,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,32,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,64,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,64,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,64,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,256,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,256,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,1740,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,1740,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12992039,hier3,dense,Float64,4,false,20000,4,1740,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
