manifest,job,host,gpu,julia,cuda,blas_threads,seed,policy,strategy,precision,P,lh,n,ell,window_classes,fit,note,n_cells,n_nodes,nodes_per_level,routes,routes_per_level,n_direct,nonempty_classes,max_class,mean_class,class_p50,class_p90,construction_ms,persistent_device_bytes,peak_device_bytes,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,b2m_ms,m2m_ms,m2l_ms,m2l_per_level,l2l_ms,l2b_ms,full_step_ms,m2l_device_alloc_bytes,step_device_alloc_bytes,full_step_host_alloc_bytes,route_uploads,operator_uploads,body_uploads,metadata_downloads,expansion_host_copies,err_potential,err_gradient
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,flat,concat,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,20964,20964,177952,0,0,0.0,0.0,0.0,30239.565304,402653184,476053504,NaN,NaN,NaN,NaN,NaN,0.3849279892165214,0.5987840122543275,0.48335999599657953,,0.5673279520124197,0.49846398178488016,3.9639740000000003,80,6460,1697424,2,1,9,27,0,2.997773199120424e-8,9.872519783418743e-7
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,flat,factored,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,20964,20964,177952,1552,42,13.507731958762887,12.0,28.0,2487.593407,67108864,136314880,NaN,NaN,NaN,NaN,NaN,0.38345600478351116,0.5961920251138508,0.1335359993390739,,0.5834879702888429,0.5090879858471453,3.9947460000000006,0,6380,1573904,2,1,9,27,0,2.997773201202092e-8,9.872519783418743e-7
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,flat,precomputed_y,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,20964,20964,177952,1552,42,13.507731958762887,12.0,28.0,3574.034699,67108864,136314880,NaN,NaN,NaN,NaN,NaN,0.3826879838015884,0.5903679993934929,0.08848000288708135,,0.5724800284951925,0.5013759946450591,3.745866,0,6380,1660464,2,1,9,27,0,2.99777320328376e-8,9.872519783418743e-7
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,flat,dense,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,20964,20964,177952,1552,42,13.507731958762887,12.0,28.0,3548.529374,67108864,136314880,NaN,NaN,NaN,NaN,NaN,0.38435199530795217,0.6273280014283955,0.03212799856555648,,0.5906879669055343,0.4934400203637779,3.831446,0,6380,1566816,2,1,9,27,0,2.997773199814313e-8,9.872519783384048e-7
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,concat,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,123368,752 122616,45156,1904,201,64.79411764705883,52.0,145.0,2587.641048,33554432,102760448,0.91354,0.034892,0.162185,45.303483,0.066754,0.38297599530778825,0.5720319459214807,169.3805456161499,30.542474 140.588145,0.5994560196995735,0.43289599125273526,164.171935,43720,44528,29567248,2,2,11,33,0,6.764355742205908e-7,1.8400040453905864e-5
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,factored,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,123368,752 122616,45156,1904,201,64.79411764705883,52.0,145.0,502.509897,33554432,136314880,0.576855,0.019641,0.10683,45.35489,0.045433,0.38390400004573166,0.5840319790877402,176.88211798667908,30.487913 140.382257,0.5639360169880092,0.43244799599051476,173.292181,43720,44528,29567248,2,2,11,33,0,6.764355741928352e-7,1.8400040453905864e-5
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,precomputed_y,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,123368,752 122616,45156,1904,201,64.79411764705883,52.0,145.0,1262.224326,33554432,102760448,0.51618,0.018473,0.107573,40.05175,0.042517,0.383327977033332,0.983456033281982,55.37193641066551,15.667937 38.583557,0.6000000284984708,0.43187200208194554,57.546082999999996,3480,4288,11667136,2,2,11,33,0,6.76435574206713e-7,1.8400040453905864e-5
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier12,dense,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,123368,752 122616,45156,1904,201,64.79411764705883,52.0,145.0,1437.704496,33554432,102760448,0.500128,0.017627,0.099248,39.890686,0.039714,0.38406398380175233,0.5983359878882766,43.55744272470474,13.983434 28.61049,0.5936960224062204,0.4384320054668933,47.994531,3480,4288,7370144,2,2,11,33,0,6.76435574206713e-7,1.8400040453905864e-5
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,concat,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,46616,3096 43520,8982,632,310,73.75949367088607,24.0,232.9000000000001,4.460727,33554432,102760448,0.526944,0.018893,0.098731,8.76554,0.041452,0.3818880068138242,0.5698239547200501,45.325376093387604,22.457422 25.27755,0.5644800257869065,0.42006399598903954,50.97007,13272,13816,9748048,2,2,11,33,0,3.333279153676372e-5,0.000655675409450239
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,factored,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,46616,3096 43520,8982,632,310,73.75949367088607,24.0,232.9000000000001,4.488552,33554432,102760448,0.533146,0.018751,0.104362,8.752176,0.042815,0.3820160054601729,0.5701439804397523,47.35599830746651,22.552379 25.348994,0.5870400345884264,0.41996801155619323,51.078131,13272,13816,9748048,2,2,11,33,0,3.333279153676372e-5,0.0006556754094502459
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,precomputed_y,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,46616,3096 43520,8982,632,310,73.75949367088607,24.0,232.9000000000001,5.339413,33554432,102760448,0.448278,0.022748,0.099338,7.920524,0.041375,0.382176018320024,0.5787199479527771,12.23753672093153,5.370309 7.443634,0.5745599628426135,0.4191999905742705,16.280754,632,1176,4121264,2,2,11,33,0,3.333279153676372e-5,0.000655675409450239
4baff1ed0e418148,12977812,m13h-1-1,NVIDIA H200,1.11.7,12.8.0,1,27000,hier3,dense,Float64,4,false,2000,3,4,true,,446,519,1 8 64 446,46616,3096 43520,8982,632,310,73.75949367088607,24.0,232.9000000000001,17.700419,33554432,102760448,0.443918,0.018362,0.091969,7.863396,0.040368,0.3820480196736753,0.5818239878863096,8.452383801341057,3.392358 5.376717,0.5746560054831207,0.4177600203547627,11.856166,632,1176,2716752,2,2,11,33,0,3.333279153676372e-5,0.0006556754094502043
