manifest,job,policy,strategy,precision,P,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,4,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,4,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,4,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,4,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,4,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,4,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,4,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,4,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,4,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,4,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,4,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,5,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,5,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,20000,5,4,5,1740,7359772,6870,4229.754022988505,1285.9,4393.0,6405.099999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,5,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,5,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,20000,5,4,5,1740,7359772,6870,4229.754022988505,1285.9,4393.0,6405.099999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,5,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,5,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,20000,5,4,5,1740,7359772,6870,4229.754022988505,1285.9,4393.0,6405.099999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,5,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,5,4,3,1740,159010,254,91.38505747126437,20.0,80.0,179.0999999999999
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,5,4,4,1740,1637112,1955,940.8689655172413,195.0,964.0,1635.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,20000,5,4,5,1740,7359772,6870,4229.754022988505,1285.9,4393.0,6405.099999999999
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,5,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,5,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,20000,5,4,5,316,1289142,7467,4079.5632911392404,1544.0,3372.5,7175.000000000001
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,5,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,5,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,factored,Float64,4,false,20000,5,4,5,316,1289142,7467,4079.5632911392404,1544.0,3372.5,7175.000000000001
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,5,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,5,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,precomputed_y,Float64,4,false,20000,5,4,5,316,1289142,7467,4079.5632911392404,1544.0,3372.5,7175.000000000001
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,5,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,5,4,3,316,53072,382,167.9493670886076,58.0,143.0,294.0
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,5,4,4,316,340868,2347,1078.6962025316457,312.5,840.0,2027.5
4baff1ed0e418148,12977812,hier3,dense,Float64,4,false,20000,5,4,5,316,1289142,7467,4079.5632911392404,1544.0,3372.5,7175.000000000001
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,200000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,concat,Float64,4,false,200000,3,4,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,200000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,factored,Float64,4,false,200000,3,4,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,200000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,precomputed_y,Float64,4,false,200000,3,4,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,200000,3,4,2,164,752,8,4.585365853658536,2.0,4.0,8.0
4baff1ed0e418148,12977812,hier12,dense,Float64,4,false,200000,3,4,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,200000,3,4,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
4baff1ed0e418148,12977812,hier3,concat,Float64,4,false,200000,3,4,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
