case,n,seed,policy,K_max,virtual_depth,p_orders_swept,original_body_pairs,residual_direct_body_pairs,promoted_body_pairs,promoted_fraction,inside_floor_promoted_pairs,m2p_routes,promoted_clusters,order_histogram,baseline_ns,proposed_ns,formation_ns,selector_decision,rate_source
cube,2048,41003,conservative,32,0,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,conservative,32,1,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,conservative,32,2,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,conservative,32,3,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,hermite_opt,32,0,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,hermite_opt,32,1,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,hermite_opt,32,2,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
cube,2048,41003,hermite_opt,32,3,2:2:8,4186386,4186386,0,0.000000000,0,0,0,none,28132.514,28132.514,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,conservative,32,0,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,conservative,32,1,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,conservative,32,2,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,conservative,32,3,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,hermite_opt,32,0,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,hermite_opt,32,1,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,hermite_opt,32,2,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
wake,2048,41003,hermite_opt,32,3,2:2:8,4194304,4194304,0,0.000000000,0,0,0,none,41158.705,41158.705,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
multiscale,2048,41003,conservative,32,0,2:2:8,970952,970952,0,0.000000000,0,0,0,none,8389.996,8389.996,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
multiscale,2048,41003,conservative,32,1,2:2:8,970952,970952,0,0.000000000,0,0,0,none,8389.996,8389.996,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
multiscale,2048,41003,conservative,32,2,2:2:8,970952,970952,0,0.000000000,0,0,0,none,8389.996,8389.996,0.000,direct_fallback,multilevel_nearfield_shells/cost_calibration.csv
