schema_version,source_hash,slurm_job_id,host,julia_version,blas_vendor,blas_threads,julia_threads,policy,strategy,distribution,precision,lh,n,ell,P,seed,window_classes,cells,nodes,routes,routes_per_level,direct_pairs,nclasses,construction_ms,grid_refresh_ms,occupancy_refresh_ms,direct_generation_ms,scan_compact_ms,tree_group_refresh_ms,update_ms_median,update_ms_min,update_ms_iqr,b2m_ms_median,m2m_ms_median,m2l_ms_median,m2l_ms_min,m2l_ms_iqr,l2l_ms_median,l2b_ms_median,step_ms_median,step_ms_min,step_ms_iqr,m2l_alloc_bytes,update_alloc_bytes,step_alloc_bytes,occupancy_bytes,operator_bytes,metadata_bytes,expansion_bytes,scratch_bytes,persistent_bytes,peak_bytes,accuracy_samples,potential_error,gradient_error,expansion_host_copies,route_uploads,operator_uploads
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,false,5000,3,4,26031304,4,512,585,208320,208320,53824,3196,7665.390815,NaN,NaN,NaN,NaN,NaN,3.606856,3.606856,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,9344,18880,2048,0,12582912,140400,19922116,19922116,589799424,256,1.552916133740201e-7,1.7437236559133748e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,true,5000,3,4,26031321,4,512,585,208320,208320,53824,3196,7698.877536,NaN,NaN,NaN,NaN,NaN,3.554676,3.554676,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,9344,26464,2048,0,12582912,336960,38803108,38803108,610402304,256,NaN,1.1706769024057324e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float64,false,5000,3,4,26031303,4,512,585,208320,208320,53824,3196,6994.94795,NaN,NaN,NaN,NaN,NaN,3.64701,3.64701,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,9344,18880,2048,0,12582912,280800,32819776,32819776,603713536,256,2.3496522051635882e-7,9.907730393339531e-6,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float64,true,5000,3,4,26031320,4,512,585,208320,208320,53824,3196,7148.04766,NaN,NaN,NaN,NaN,NaN,3.729005,3.729005,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,9344,26464,2048,0,12582912,673920,69307136,69307136,643600384,256,NaN,1.2305380467697493e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,false,5000,4,4,26031405,4,2873,3458,7967472,7967472,286657,29612,8318.471319,NaN,NaN,NaN,NaN,NaN,254.358047,254.358047,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,11856,24304,16384,0,805306368,1123440,895144420,895144420,1532575744,256,1.720373472152703e-7,1.1310699526167513e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,true,5000,4,4,26031422,4,2886,3471,8037428,8037428,291568,29612,8604.485232,NaN,NaN,NaN,NaN,NaN,257.425017,257.425017,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,11856,34832,16384,0,805306368,2696256,1598535772,1598535772,2025246720,256,NaN,1.2833994922686193e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float64,false,5000,4,4,26031404,4,2881,3466,8011794,8011794,288367,29612,7866.372492,NaN,NaN,NaN,NaN,NaN,302.851927,302.851927,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,11856,24304,16384,0,805306368,2246880,1438708720,1438708720,1791078400,256,8.24172374236376e-8,1.1795163687652183e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float64,true,5000,4,4,26031421,4,2904,3489,8140094,8140094,293122,29612,7995.296781,NaN,NaN,NaN,NaN,NaN,305.537195,305.537195,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,11856,34832,16384,0,805306368,5392512,2833794752,2833794752,3005804544,256,NaN,9.779414746460824e-6,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,false,5000,5,4,26031506,4,4637,8103,21389840,21389840,111929,249868,14662.824451,NaN,NaN,NaN,NaN,NaN,1787.33637,1787.33637,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,104176,119536,131072,0,1200000000,2323440,10650548620,10650548620,5582704640,256,2.6702999765537694e-7,1.4147619295010183e-5,0,0,0
026.2,34106787d876f81998fcf235af459f82b76eec11513b72460a64a1c3250749d3,12954303,m12-1-25,1.11.7,lbt,1,1,flat_12,precomputed_y,uniform,Float32,true,5000,5,4,26031523,4,4637,8092,21388830,21388830,112939,249868,14684.179353,NaN,NaN,NaN,NaN,NaN,1828.443847,1828.443847,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1808,103824,132656,131072,0,1200000000,5576256,25085029932,25085029932,8764973056,256,NaN,2.2306958366529947e-5,0,0,0
