host,gpu,variant,P,lh,n,ell,routes,n_direct,resident_groups,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,concat,4,false,150,3,1684,15216,0,0,0,0.0,26922.845806,134217728,207618048,0.10576000204309821,0.6158400210551918,0.2751039864961058,0.5897280061617494,0.11014399933628738,80,4.2236959999999995,1241456,6.450759315601573e-9,3.498601621465536e-7
m13h-2-2,NVIDIA H200,factored,4,false,150,3,1684,15216,0,928,7,1.8146551724137931,848.459088,33554432,102760448,0.10099200153490528,0.6354879587888718,0.05795200195279904,0.6130560068413615,0.11119999544462189,0,4.379577,1076368,6.450759315601573e-9,3.49860162150023e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,false,150,3,1684,15216,0,928,7,1.8146551724137931,6.244896,33554432,102760448,0.10076799662783742,0.6111680413596332,35.19919887185097,0.6092480034567416,0.11001600068993866,0,40.195625,8063888,6.450759322540467e-9,3.49860162150023e-7
m13h-2-2,NVIDIA H200,concat,4,true,150,3,1122,16302,0,0,0,0.0,1140.162964,167772160,236978176,0.08009599696379155,1.3002560008317232,0.5506559973582625,1.2714560143649578,0.12803199933841825,160,6.059415,1585120,NaN,1.442912745189262e-7
m13h-2-2,NVIDIA H200,factored,4,true,150,3,1122,16302,0,696,5,1.6120689655172413,392.546858,67108864,136314880,0.07919999916339293,1.2930879602208734,0.1248640037374571,1.2707519344985485,0.12729600712191314,0,5.622572,1375584,NaN,1.442912745119873e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,true,150,3,1122,16302,0,696,5,1.6120689655172413,6.659839,67108864,136314880,0.08032000187085941,1.3057600008323789,66.37699156999588,1.3363840989768505,0.12908800272271037,0,72.241067,15996800,NaN,1.442912745189262e-7
m13h-2-2,NVIDIA H200,concat,8,false,150,3,11900,5000,0,0,0,0.0,8.752578,167772160,236978176,0.5508480244316161,0.6143359933048487,0.28371199732646346,0.5935999797657132,0.5626879865303636,80,4.809703,1241568,3.546098276130394e-10,2.5811966918032336e-8
m13h-2-2,NVIDIA H200,factored,8,false,150,3,11900,5000,0,2506,20,4.748603351955308,13.476652,67108864,136314880,0.5494080251082778,0.6290240562520921,0.18422400171402842,0.5996479885652661,0.5609919899143279,0,4.624839000000001,1171872,3.546098414908272e-10,2.5811966931910124e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,false,150,3,11900,5000,0,2506,20,4.748603351955308,12.770842,67108864,136314880,0.5494400393217802,0.6312959594652057,95.69689631462097,0.627807981800288,0.5615359987132251,0,95.469317,20075008,3.546098414908272e-10,2.5811966931910124e-8
m13h-2-2,NVIDIA H200,concat,8,true,150,3,12880,5076,0,0,0,0.0,11.90028,436207616,505413632,0.3825919993687421,1.3299839338287711,0.6210239953361452,1.2983360793441534,0.5656959838233888,160,6.718515,1587472,NaN,1.805270429325323e-8
