host,gpu,variant,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-1,NVIDIA H200,concat,4,false,150,3,1684,15216,0,0,0.0,26821.426969,134217728,207618048,0.10527999984333292,0.6157439784146845,0.2671040128916502,0.5895040230825543,0.1102719979826361,80,4.274107,1241456,6.450759336418255e-9,3.49860162150023e-7
m13h-1-1,NVIDIA H200,factored,4,false,150,3,1684,15216,928,7,1.8146551724137931,971.634954,67108864,136314880,0.10176000068895519,0.6315519567579031,0.05542399958358146,0.613312004134059,0.10892800492001697,0,46.410195,44958112,6.450759322540467e-9,3.49860162150023e-7
m13h-1-1,NVIDIA H200,factored_perclass,4,false,150,3,1684,15216,928,7,1.8146551724137931,67.038376,67108864,136314880,0.10121600644197315,0.6287999567575753,30.54022416472435,0.6183360237628222,0.10998400102835149,0,82.24978800000001,50094080,6.450759343357149e-9,3.4986016214308413e-7
m13h-1-1,NVIDIA H200,concat,4,true,150,3,1122,16302,0,0,0.0,1131.828551,167772160,236978176,0.07948800339363515,1.2965119676664472,0.5538240075111389,1.2835520319640636,0.12758398952428252,160,6.055636,1587368,NaN,1.442912745189262e-7
m13h-1-1,NVIDIA H200,factored,4,true,150,3,1122,16302,696,5,1.6120689655172413,464.319444,67108864,136314880,0.07868800457799807,1.2970559764653444,0.12476799020078033,1.2662719236686826,0.12646400136873126,0,49.919700999999996,41037616,NaN,1.442912745119873e-7
m13h-1-1,NVIDIA H200,factored_perclass,4,true,150,3,1122,16302,696,5,1.6120689655172413,85.040795,67108864,136314880,0.07897599425632507,1.290688058361411,66.72915071249008,1.340224058367312,0.12646400136873126,0,110.39095999999999,54159136,NaN,1.4429127450504842e-7
m13h-1-1,NVIDIA H200,concat,8,false,150,3,11900,5000,0,0,0.0,9.294241,167772160,236978176,0.5508480244316161,0.6132159614935517,0.28380798175930977,0.601216044742614,0.5625920020975173,80,4.798362,1241568,3.546098276130394e-10,2.5811966918032336e-8
m13h-1-1,NVIDIA H200,factored,8,false,150,3,11900,5000,2506,20,4.748603351955308,181.424379,134217728,203423744,0.549343996681273,0.6126080406829715,0.18479999562259763,0.6013439851813018,0.5614719702862203,0,112.853883,120168992,3.546098414908272e-10,2.5811966931910124e-8
m13h-1-1,NVIDIA H200,factored_perclass,8,false,150,3,11900,5000,2506,20,4.748603351955308,178.131504,134217728,203423744,0.549120013602078,0.6115519790910184,82.61305093765259,0.6321599939838052,0.5610880325548351,0,192.59528,134065072,3.546098414908272e-10,2.5811966918032336e-8
m13h-1-1,NVIDIA H200,concat,8,true,150,3,12880,5076,0,0,0.0,12.44214,436207616,505413632,0.3823360020760447,1.3248319737613201,0.6201919750310481,1.304576057009399,0.5649920203723013,160,6.6459839999999994,1587472,NaN,1.805270429325323e-8
m13h-1-1,NVIDIA H200,factored,8,true,150,3,12880,5076,2612,21,4.931087289433385,300.160638,201326592,270532608,0.38275201222859323,1.3247360475361347,0.4543040122371167,1.303071971051395,0.5649920203723013,0,125.98520299999998,124519136,NaN,1.805270429325323e-8
m13h-1-1,NVIDIA H200,factored_perclass,8,true,150,3,12880,5076,2612,21,4.931087289433385,281.026591,201326592,270532608,0.3824640007223934,1.3844480272382498,250.6934404373169,1.3709759805351496,0.5658239824697375,0,364.189645,173931008,NaN,1.8052704289783783e-8
