host,gpu,variant,P,lh,n,ell,routes,n_direct,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-1-1,NVIDIA H200,concat,4,false,150,3,1684,15216,0,0,0.0,26334.60066,134217728,207618048,0.10483200458111241,0.6187200197018683,0.2739839837886393,0.5913919885642827,0.1105920018744655,80,4.286547,1241456,6.450759343357149e-9,3.4986016214308413e-7
m13h-1-1,NVIDIA H200,factored,4,false,150,3,1684,15216,928,7,1.8146551724137931,879.704267,67108864,136314880,0.10182400001212955,0.6112639675848186,0.05708800017600879,0.5992000224068761,0.10988800204358995,0,4.201609,1102768,6.450759315601573e-9,3.4986016214308413e-7
m13h-1-1,NVIDIA H200,factored_perclass,4,false,150,3,1684,15216,928,7,1.8146551724137931,68.963397,67108864,136314880,0.10131199815077707,0.6143359933048487,30.269406735897064,0.6066240021027625,0.10985600238200277,0,34.472333,6179344,6.450759343357149e-9,3.4986016214308413e-7
m13h-1-1,NVIDIA H200,concat,4,true,150,3,1122,16302,0,0,0.0,1106.506472,167772160,236978176,0.08064000576268882,1.2989758979529142,0.546432042028755,1.2721600942313671,0.12739199155475944,160,6.043131,1587368,NaN,1.442912745189262e-7
m13h-1-1,NVIDIA H200,factored,4,true,150,3,1122,16302,696,5,1.6120689655172413,465.559385,67108864,136314880,0.07974400068633258,1.3043839717283845,0.12518400035332888,1.2839039554819465,0.12652800069190562,0,5.723851000000001,1403280,NaN,1.4429127450504842e-7
m13h-1-1,NVIDIA H200,factored_perclass,4,true,150,3,1122,16302,696,5,1.6120689655172413,84.371543,67108864,136314880,0.07875200390117243,1.2939840089529753,65.7203197479248,1.3306239852681756,0.12691199663095176,0,67.945571,14435776,NaN,1.4429127450504842e-7
m13h-1-1,NVIDIA H200,concat,8,false,150,3,11900,5000,0,0,0.0,9.077181,167772160,236978176,0.5486400332301855,0.611519964877516,0.2830399898812175,0.5970879574306309,0.5610880325548351,80,4.796177,1241568,3.546098414908272e-10,2.5811966911093442e-8
m13h-1-1,NVIDIA H200,factored,8,false,150,3,11900,5000,2506,20,4.748603351955308,179.56989,134217728,203423744,0.549120013602078,0.6186559912748635,0.18460799765307456,0.6082239560782909,0.5612800014205277,0,4.764717,1208640,3.546098276130394e-10,2.5811966931910124e-8
m13h-1-1,NVIDIA H200,factored_perclass,8,false,150,3,11900,5000,2506,20,4.748603351955308,183.126311,134217728,203423744,0.5493760108947754,0.6372799980454147,82.53596723079681,0.6029119831509888,0.561152002774179,0,86.433407,14944336,3.546098414908272e-10,2.5811966918032336e-8
m13h-1-1,NVIDIA H200,concat,8,true,150,3,12880,5076,0,0,0.0,12.204675,436207616,505413632,0.3821119898930192,1.3199360109865665,0.6188799743540585,1.2925120536237955,0.5655040149576962,160,6.713045,1587472,NaN,1.805270429325323e-8
m13h-1-1,NVIDIA H200,factored,8,true,150,3,12880,5076,2612,21,4.931087289433385,314.370522,201326592,270532608,0.38249598583206534,1.4001920353621244,0.4605120047926903,1.3884799554944038,0.5652160034514964,0,6.6764600000000005,1511376,NaN,1.805270429325323e-8
m13h-1-1,NVIDIA H200,factored_perclass,8,true,150,3,12880,5076,2612,21,4.931087289433385,291.963382,201326592,270532608,0.3819519770331681,1.3841920299455523,241.65213108062744,1.3658880488947034,0.5662720068357885,0,252.577033,50588912,NaN,1.8052704289783783e-8
m13h-1-1,NVIDIA H200,concat,12,false,150,3,15172,2252,0,0,0.0,26.4355,369098752,438304768,1.9269760232418776,0.6206079851835966,0.6521599716506898,0.6038720021024346,1.9858560990542173,80,6.874065000000001,1326336,2.3325924525252617e-11,4.675267693821095e-9
m13h-1-1,NVIDIA H200,factored,12,false,150,3,15172,2252,2716,26,5.5861561119293075,272.760686,234881024,304087040,1.9283839501440525,0.6101439939811826,0.4665279993787408,0.6022719899192452,1.9911041017621756,0,6.768448,1303776,2.3325938403040425e-11,4.675267686882201e-9
m13h-1-1,NVIDIA H200,factored_perclass,12,false,150,3,15172,2252,2716,26,5.5861561119293075,272.719721,234881024,304087040,1.9294400699436665,0.6119359750300646,118.78722906112671,0.6286720163188875,1.9866880029439926,0,126.11538399999999,16191552,2.3325938403040425e-11,4.675267679943307e-9
m13h-1-1,NVIDIA H200,concat,12,true,150,3,12382,2747,0,0,0.0,38.501531,905969664,975175680,1.9418880110606551,1.3218560488894582,1.1536959791556,1.2993919663131237,2.7012480422854424,160,8.907461999999999,1672752,NaN,3.931087753927809e-9
m13h-1-1,NVIDIA H200,factored,12,true,150,3,12382,2747,2490,24,4.972690763052209,458.625881,402653184,471859200,1.941503956913948,1.3385600177571177,0.9119359892793,1.320639974437654,2.697504125535488,0,8.59391,1607008,NaN,3.931087750458362e-9
m13h-1-1,NVIDIA H200,factored_perclass,12,true,150,3,12382,2747,2490,24,4.972690763052209,443.307332,402653184,471859200,1.94166402798146,1.375264022499323,243.6176836490631,1.3200320536270738,2.6975679211318493,0,264.389091,48487632,NaN,3.931087750458362e-9
m13h-1-1,NVIDIA H200,concat,4,false,2000,3,32396,217604,0,0,0.0,516.888045,335544320,404750336,0.3284159756731242,0.5926719750277698,0.26447998243384063,0.5796159966848791,0.4574719932861626,80,4.283748,1481632,1.2898346335443733e-8,6.286091274905481e-7
m13h-1-1,NVIDIA H200,factored,4,false,2000,3,32396,217604,1584,48,20.4520202020202,71.250924,100663296,169869312,0.3282879770267755,0.5908799939788878,0.16188800509553403,0.5806720000691712,0.4525760014075786,0,4.111936,1444928,1.2898346349321521e-8,6.286091274697314e-7
m13h-1-1,NVIDIA H200,factored_perclass,4,false,2000,3,32396,217604,1584,48,20.4520202020202,71.311736,100663296,169869312,0.3283520054537803,0.5938240210525692,48.93548786640167,0.6093119736760855,0.4507839912548661,0,55.300374999999995,10107584,1.2898346321565946e-8,6.286091274385064e-7
m13h-1-1,NVIDIA H200,concat,4,true,2000,3,23646,222370,0,0,0.0,7.263734,872415232,941621248,0.33212799462489784,1.292319968342781,0.5428799777291715,1.2670719297602773,0.7152319885790348,160,6.237563,1817968,NaN,3.268261120695226e-7
