host,gpu,variant,P,lh,n,ell,routes,n_direct,resident_groups,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,concat,4,false,150,3,1684,15216,0,0,0,0.0,26106.869309,134217728,207618048,0.10368000221205875,0.6514239939861,0.2932479837909341,0.6300800014287233,0.11030399764422327,80,4.636906,1241456,6.450759322540467e-9,3.4986016214308413e-7
m13h-2-2,NVIDIA H200,factored,4,false,150,3,1684,15216,0,928,7,1.8146551724137931,831.683952,33554432,102760448,0.10022400238085538,0.5951679777354002,0.05507199966814369,0.5792639567516744,0.10969600407406688,0,4.037265,1076368,6.450759315601573e-9,3.49860162150023e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,false,150,3,1684,15216,0,928,7,1.8146551724137931,6.043224,33554432,102760448,0.10038399341283366,0.6039360305294394,34.5994234085083,0.602623971644789,0.11007999273715541,0,39.620355,8063888,6.450759322540467e-9,3.49860162150023e-7
m13h-2-2,NVIDIA H200,concat,4,true,150,3,1122,16302,0,0,0,0.0,1107.391352,167772160,236978176,0.08044800051720813,1.2911360245198011,0.5389759899117053,1.268864027224481,0.12764798884745687,160,6.052023,1585120,NaN,1.442912745189262e-7
m13h-2-2,NVIDIA H200,factored,4,true,150,3,1122,16302,0,696,5,1.6120689655172413,384.858519,67108864,136314880,0.07964800170157105,1.3069759588688612,0.12576000881381333,1.3040319317951798,0.12739199155475944,0,5.67164,1375584,NaN,1.442912745119873e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,true,150,3,1122,16302,0,696,5,1.6120689655172413,6.483258,67108864,136314880,0.08054399950196967,1.2910719960927963,65.48825651407242,1.3256639940664172,0.12886400509160012,0,70.99018099999999,15996800,NaN,1.4429127450504842e-7
m13h-2-2,NVIDIA H200,concat,8,false,150,3,11900,5000,0,0,0,0.0,8.539626,167772160,236978176,0.5487999878823757,0.6079039885662496,0.2822719980031252,0.590143958106637,0.5613440298475325,80,4.7761260000000005,1241568,3.546098276130394e-10,2.5811966918032336e-8
m13h-2-2,NVIDIA H200,factored,8,false,150,3,11900,5000,0,2506,20,4.748603351955308,13.134015,67108864,136314880,0.5485119763761759,0.6171200075186789,0.18348799494560808,0.5993279628455639,0.5613120156340301,0,4.590451,1171872,3.546098414908272e-10,2.581196692497123e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,false,150,3,11900,5000,0,2506,20,4.748603351955308,12.573869,67108864,136314880,0.5517120007425547,0.6200000061653554,94.15171295404434,0.627135974355042,0.5611840169876814,0,93.594365,20075008,3.546098414908272e-10,2.5811966931910124e-8
m13h-2-2,NVIDIA H200,concat,8,true,150,3,12880,5076,0,0,0,0.0,11.774118,436207616,505413632,0.38240000139921904,1.3196159852668643,0.6185279926285148,1.2930239317938685,0.5648639635182917,160,6.686814999999999,1587472,NaN,1.8052704289783783e-8
m13h-2-2,NVIDIA H200,factored,8,true,150,3,12880,5076,0,2612,21,4.931087289433385,17.52001,167772160,236978176,0.38249598583206534,1.327520003542304,0.45420799870043993,1.2904319446533918,0.5650240345858037,0,6.274426,1473312,NaN,1.805270429325323e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,true,150,3,12880,5076,0,2612,21,4.931087289433385,17.411023,167772160,236978176,0.38249598583206534,1.3865280197933316,257.43016600608826,1.3214719947427511,0.5669760284945369,0,261.036924,56521216,NaN,1.8052704289783783e-8
m13h-2-2,NVIDIA H200,concat,12,false,150,3,15172,2252,0,0,0,0.0,26.104997,369098752,438304768,1.9277120009064674,0.6301120156422257,0.6527039804495871,0.6067520007491112,1.9864959176629782,80,6.858871,1326336,2.3325924525252617e-11,4.675267686882201e-9
m13h-2-2,NVIDIA H200,factored,12,false,150,3,15172,2252,0,2716,26,5.5861561119293075,38.489337,167772160,236978176,1.9286400638520718,0.6252800230868161,0.4664320149458945,0.6069759838283062,1.9865280482918024,0,6.709064,1256640,2.3325938403040425e-11,4.675267673004413e-9
m13h-2-2,NVIDIA H200,factored_perclass,12,false,150,3,15172,2252,0,2716,26,5.5861561119293075,36.002567,167772160,236978176,1.9293440273031592,0.6257279892452061,123.72256070375443,0.6177600007504225,1.9873599521815777,0,130.50731199999998,21745120,2.3325938403040425e-11,4.675267679943307e-9
m13h-2-2,NVIDIA H200,concat,12,true,150,3,12382,2747,0,0,0,0.0,38.051649,905969664,975175680,1.9421119941398501,1.3284480664879084,1.1491520563140512,1.2952960096299648,2.702239900827408,160,8.907913,1672752,NaN,3.931087757397256e-9
m13h-2-2,NVIDIA H200,factored,12,true,150,3,12382,2747,0,2490,24,4.972690763052209,46.693175,301989888,371195904,1.9381119636818767,1.3353920076042414,0.9102079784497619,1.2959999730810523,2.6969281025230885,0,8.485559,1558576,NaN,3.931087750458362e-9
m13h-2-2,NVIDIA H200,factored_perclass,12,true,150,3,12382,2747,0,2490,24,4.972690763052209,44.376366,301989888,371195904,1.9399679731577635,1.3845119392499328,246.9002902507782,1.3260480482131243,2.6973760686814785,0,262.904792,54132080,NaN,3.931087750458362e-9
m13h-2-2,NVIDIA H200,concat,4,false,2000,3,32396,217604,0,0,0,0.0,498.441548,335544320,404750336,0.3285759885329753,0.5913599743507802,0.26592001086100936,0.5744959926232696,0.45545600005425513,80,4.248832999999999,1481632,1.2898346335443733e-8,6.286091274454453e-7
m13h-2-2,NVIDIA H200,factored,4,false,2000,3,32396,217604,0,1584,48,20.4520202020202,5.529865,67108864,136314880,0.3286720020696521,0.5938240210525692,0.16291199426632375,0.5819200305268168,0.45276799937710166,0,4.071928,1418528,1.289834629381037e-8,6.286091274523842e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,false,2000,3,32396,217604,0,1584,48,20.4520202020202,5.4197,67108864,136314880,0.32815997838042676,0.5938559770584106,56.8353608250618,0.6056640413589776,0.4547199932858348,0,64.019107,13342384,1.2898346349321521e-8,6.286091274627925e-7
m13h-2-2,NVIDIA H200,concat,4,true,2000,3,23646,222370,0,0,0,0.0,6.797964,872415232,941621248,0.3337920061312616,1.2936320854350924,0.5475839716382325,1.268192077986896,0.7163519621826708,160,6.2213590000000005,1817968,NaN,3.268261120677879e-7
m13h-2-2,NVIDIA H200,factored,4,true,2000,3,23646,222370,0,1368,41,17.285087719298247,6.28907,100663296,169869312,0.332735973643139,1.2867840705439448,0.3375999804120511,1.2614079751074314,0.705312006175518,0,5.940151,1725552,NaN,3.2682611207125734e-7
