host,gpu,variant,P,lh,n,ell,routes,n_direct,resident_groups,nonempty_classes,max_class,mean_class,construction_ms,persistent_device_bytes,peak_device_bytes,b2m_ms,m2m_ms,m2l_ms,l2l_ms,l2b_ms,m2l_device_alloc_bytes,full_step_ms,full_step_host_alloc_bytes,err_potential,err_gradient
m13h-2-2,NVIDIA H200,factored_perclass,4,true,2000,3,23646,222370,0,1368,41,17.285087719298247,6.111314,100663296,169869312,0.3331199986860156,1.292480039410293,136.13127171993256,1.2740480015054345,0.7082560332491994,0,142.68139699999998,30529072,NaN,3.2682611207125734e-7
m13h-2-2,NVIDIA H200,concat,8,false,2000,3,177990,65059,0,0,0,0.0,9.575172,973078528,1042284544,1.962495967745781,0.6082559702917933,2.930047921836376,0.5961920251138508,2.045664004981518,160,8.493406,1615488,1.6684062464911165e-10,1.6432846722258532e-8
m13h-2-2,NVIDIA H200,factored,8,false,2000,3,177990,65059,0,3122,237,57.011531069827036,10.732907,100663296,169869312,1.9625280983746052,0.6082559702917933,2.315583871677518,0.5919359973631799,2.04073591157794,0,7.929291,1562976,1.6684062464911165e-10,1.643284673613632e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,false,2000,3,177990,65059,0,3122,237,57.011531069827036,10.790817,100663296,169869312,1.9627839792519808,0.6040000007487833,117.2763854265213,0.5991039797663689,2.0401598885655403,0,122.5104,25042528,1.6684062464911165e-10,1.6432846722258532e-8
m13h-2-2,NVIDIA H200,concat,8,true,2000,3,185284,67725,0,0,0,0.0,14.966428,2516582400,2585788416,2.308672061190009,1.3168000150471926,6.463168188929558,1.2935359263792634,3.5827839747071266,320,14.359897,2019408,NaN,1.0606913404889728e-8
m13h-2-2,NVIDIA H200,factored,8,true,2000,3,185284,67725,0,3124,247,59.309859154929576,14.258608,167772160,236978176,2.3085118737071753,1.311743981204927,5.98681578412652,1.2945599155500531,3.5801278427243233,0,13.958663,2038336,NaN,1.0606913411828622e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,true,2000,3,185284,67725,0,3124,247,59.309859154929576,14.240198,167772160,236978176,2.3098879028111696,1.3776320265606046,311.2834393978119,1.3613119954243302,3.5818559117615223,0,312.348303,67985216,NaN,1.0606913404889728e-8
m13h-2-2,NVIDIA H200,concat,12,false,2000,3,222454,30555,0,0,0,0.0,28.44465,2013265920,2082471936,7.6399678364396095,0.6147520034573972,8.679456077516079,0.6023360183462501,7.927039638161659,160,25.906554,1700000,3.571014317582666e-11,5.3776624542312135e-9
m13h-2-2,NVIDIA H200,factored,12,false,2000,3,222454,30555,0,3282,310,67.78001218769043,36.726614,167772160,236978176,7.641248404979706,0.6150080007500947,6.4850240014493465,0.6002879817970097,7.965248078107834,0,23.775932,1667264,3.5710157053614466e-11,5.377662426475638e-9
m13h-2-2,NVIDIA H200,factored_perclass,12,false,2000,3,222454,30555,0,3282,310,67.78001218769043,31.908119,167772160,236978176,7.644095923751593,0.6206079851835966,158.15554559230804,0.6165120285004377,7.91552010923624,0,180.048834,26335312,3.571014317582666e-11,5.377662440353426e-9
m13h-2-2,NVIDIA H200,concat,12,true,2000,3,203136,36964,0,0,0,0.0,44.488303,5033164800,5102370816,7.011263631284237,1.3129600556567311,16.351360827684402,1.2945920461788774,9.89302434027195,320,35.420826000000005,2104432,NaN,1.864607385160255e-9
m13h-2-2,NVIDIA H200,factored,12,true,2000,3,203136,36964,0,3246,262,62.58040665434381,51.594929,335544320,404750336,7.033535744994879,1.3167680008336902,13.95267155021429,1.297472044825554,9.860128164291382,0,33.020273,2145200,NaN,1.864607409446384e-9
m13h-2-2,NVIDIA H200,factored_perclass,12,true,2000,3,203136,36964,0,3246,262,62.58040665434381,45.721789,335544320,404750336,7.0124478079378605,1.3338880380615592,344.6821868419647,1.3319680001586676,9.85855981707573,0,372.003851,70680000,NaN,1.864607409446384e-9
m13h-2-2,NVIDIA H200,concat,4,false,20000,3,34512,227632,0,0,0,0.0,5.987842,335544320,404750336,1.8746880814433098,0.5910079926252365,0.2603519824333489,0.5791040020994842,5.911168176680803,80,10.709959,1509504,1.2820725467377336e-8,6.174110715462255e-7
m13h-2-2,NVIDIA H200,factored,4,false,20000,3,34512,227632,0,1584,48,21.78787878787879,6.093152,67108864,136314880,1.8810880137607455,0.595904013607651,0.2020800020545721,0.5814720061607659,5.857791751623154,0,10.556886,1452992,1.2820725467377336e-8,6.174110715462255e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,false,20000,3,34512,227632,0,1584,48,21.78787878787879,6.124157,67108864,136314880,1.8825599690899253,0.5978880217298865,59.75385755300522,0.6135680014267564,5.86963165551424,0,70.42446199999999,13370256,1.2820725453499549e-8,6.174110715254089e-7
m13h-2-2,NVIDIA H200,concat,4,true,20000,3,25704,236440,0,0,0,0.0,7.466347,872415232,941621248,2.137887990102172,1.2944960035383701,0.5403200048021972,1.2658879859372973,8.31632036715746,160,14.952327,1846736,NaN,4.4628747053465645e-7
m13h-2-2,NVIDIA H200,factored,4,true,20000,3,25704,236440,0,1368,42,18.789473684210527,6.808278,100663296,169869312,2.126463921740651,1.2981760082766414,0.35894400207325816,1.2702399399131536,8.23795236647129,0,14.570017,1754320,NaN,4.4628747053465645e-7
m13h-2-2,NVIDIA H200,factored_perclass,4,true,20000,3,25704,236440,0,1368,42,18.789473684210527,6.862843,100663296,169869312,2.1279999054968357,1.297184033319354,136.43206655979156,1.2850560015067458,8.325408212840557,0,151.838684,30567984,NaN,4.4628747054159534e-7
m13h-2-2,NVIDIA H200,concat,8,false,20000,3,192480,69664,0,0,0,0.0,10.238746,973078528,1042284544,11.23651210218668,0.6096640136092901,3.1594240572303534,0.5978560075163841,13.295583426952362,160,30.265736,1643360,1.8891836706114162e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,factored,8,false,20000,3,192480,69664,0,3124,256,61.613316261203586,11.422021,100663296,169869312,11.216959916055202,0.6116799777373672,2.51305615529418,0.5968959885649383,13.286976143717766,0,29.654069000000003,1597440,1.8891836706114162e-10,1.3024267234151843e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,false,20000,3,192480,69664,0,3124,256,61.613316261203586,11.547252,100663296,169869312,11.243551969528198,0.6128640379756689,117.27520078420639,0.607263995334506,13.31289578229189,0,142.656074,25085456,1.8891839481671724e-10,1.302426724802963e-8
m13h-2-2,NVIDIA H200,concat,8,true,20000,3,192480,69664,0,0,0,0.0,15.644323,2516582400,2585788416,11.52700837701559,1.319807954132557,6.706655956804752,1.296352013014257,19.371839240193367,320,40.648638,2048176,NaN,1.0464450582534784e-8
m13h-2-2,NVIDIA H200,factored,8,true,20000,3,192480,69664,0,3124,256,61.613316261203586,14.806733,167772160,236978176,11.524160392582417,1.3216320658102632,6.175007671117783,1.3004799839109182,19.425472244620323,0,40.157882,2067136,NaN,1.0464450582534784e-8
m13h-2-2,NVIDIA H200,factored_perclass,8,true,20000,3,192480,69664,0,3124,256,61.613316261203586,14.890671,167772160,236978176,11.525376699864864,1.3820480089634657,312.1650516986847,1.3653759378939867,19.40259151160717,0,333.76120599999996,68016000,NaN,1.0464450582534784e-8
m13h-2-2,NVIDIA H200,concat,12,false,20000,3,230616,31528,0,0,0,0.0,29.066423,2013265920,2082471936,42.91964694857597,0.6122560007497668,8.988063782453537,0.6024640169925988,45.60748487710953,160,100.255659,1727872,2.4663410203018543e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,factored,12,false,20000,3,230616,31528,0,3282,320,70.26691042047533,32.832491,201326592,270532608,42.89190471172333,0.6168319960124791,6.738687865436077,0.6046079797670245,45.61174288392067,0,98.026632,1701728,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,factored_perclass,12,false,20000,3,230616,31528,0,3282,320,70.26691042047533,32.76564,201326592,270532608,42.89295896887779,0.6223679520189762,158.5051566362381,0.6172159919515252,45.57763412594795,0,254.18804699999998,26363184,2.4663382447442928e-11,3.273114196344906e-9
m13h-2-2,NVIDIA H200,concat,12,true,20000,3,222648,39496,0,0,0,0.0,45.472994,5066719232,5135925248,41.665468364953995,1.318847993388772,17.879167571663857,1.2902079615741968,59.89689752459526,320,122.73998499999999,2133200,NaN,1.2386041203099607e-9
m13h-2-2,NVIDIA H200,factored,12,true,20000,3,222648,39496,0,3252,280,68.4649446494465,48.048977,335544320,404750336,41.693855077028275,1.322047901339829,15.252447687089443,1.296128029935062,59.92342531681061,0,120.334653,2195776,NaN,1.2386041255141311e-9
m13h-2-2,NVIDIA H200,factored_perclass,12,true,20000,3,222648,39496,0,3252,280,68.4649446494465,44.805503,335544320,404750336,41.696544736623764,1.3332479866221547,347.0577895641327,1.3192640617489815,59.914495795965195,0,456.24738599999995,70844848,NaN,1.2386041307183016e-9
