case,mode,n_target,n_actual,sigma,p,ncrit,theta,uj_reps,t_build,t_uj_median,t_uj_min,t_reset_median,step_reps,t_step_median,t_step_min,u_rel_rms,u_abs_rms,u_max_err,j_rel_rms,threads,host,jobid,julia_version,timestamp
ring,cpu1,1000,891,0.10000000000000002,4,50,0.4,5,2.506339105,0.031087404,0.030936851,8.146e-6,3,0.124321504,0.124082404,1.0649456793683785e-15,4.862461710807817e-16,2.3379130288399493e-15,1.2255016494510072e-15,1,m12-1-29,13051713,1.11.7,2026-08-05T00:31:24
ring,cpu64,1000,891,0.10000000000000002,4,50,0.4,5,2.558285687,0.031065333,0.030914659,8.185e-6,3,0.124277381,0.124172614,1.0649456793683785e-15,4.862461710807817e-16,2.3379130288399493e-15,1.2255016494510072e-15,64,m12-1-29,13051713,1.11.7,2026-08-05T00:31:44
ring,cpu1,3162,4125,0.06000000000000001,4,50,0.4,5,2.556498804,0.276353415,0.276038542,4.0255e-5,3,1.100448754,1.098766678,0.00044545216601339107,0.0003270961433901896,0.0017363774366867398,0.0007023641860062933,1,m12-1-29,13051713,1.11.7,2026-08-05T00:32:10
ring,cpu64,3162,4125,0.06000000000000001,4,50,0.4,5,2.578065675,0.27637205,0.275520176,0.001048413,3,1.119355778,1.112131107,0.00044545216601339107,0.0003270961433901896,0.0017363774366867398,0.0007023641860062933,64,m12-1-29,13051713,1.11.7,2026-08-05T00:32:36
ring,cpu1,10000,11368,0.042857142857142864,4,50,0.4,5,2.604069589,1.201810194,1.199562564,0.000112251,3,4.840917667,4.833137862,0.0006951576588699849,0.0006319220306189255,0.0029315611608793832,0.0020481491334305223,1,m12-1-29,13051713,1.11.7,2026-08-05T00:33:22
ring,cpu64,10000,11368,0.042857142857142864,4,50,0.4,5,2.632356692,0.057698241,0.049622398,0.000729934,3,0.234045036,0.221761943,0.0006951576588699849,0.0006319220306189255,0.0029315611608793832,0.0020481491334305223,64,m12-1-29,13051713,1.11.7,2026-08-05T00:33:46
ring,cpu1,31623,24138,0.03333333333333334,4,50,0.4,5,2.772023063,4.227797094,4.217593955,0.000244981,3,16.694028465,16.691088951,0.0009882876503665757,0.0009609061732212504,0.004298738545104243,0.0029474700645982957,1,m12-1-29,13051713,1.11.7,2026-08-05T00:35:38
ring,cpu64,31623,24138,0.03333333333333334,4,50,0.4,5,2.702463874,0.166765248,0.144912257,0.000683046,3,0.587085481,0.522555068,0.0009882876503665757,0.0009609061732212504,0.004298738545104243,0.0029474700645982957,64,m12-1-29,13051713,1.11.7,2026-08-05T00:36:04
ring,cpu1,100000,111825,0.020000000000000004,4,50,0.4,5,3.367434118,47.215323997,47.074292025,0.002056572,3,187.918460298,187.83081531,0.001776091973381593,0.0019391020888105805,0.009439810120275864,0.008302538942923538,1,m12-1-29,13051713,1.11.7,2026-08-05T00:53:42
ring,cpu64,100000,111825,0.020000000000000004,4,50,0.4,5,3.32886641,1.277631268,1.054050492,0.00088205,3,5.060174525,5.011758248,0.001776091973381593,0.0019391020888105805,0.009439810120275864,0.008302538942923538,64,m12-1-29,13051713,1.11.7,2026-08-05T00:55:27
cube,cpu1,316228,316228,0.02935597811208742,4,50,0.4,3,0.231092778,422.263819186,422.209943326,0.006367848,2,1680.147061369,1680.008187436,0.053459308103548514,8.497493070167843e-5,0.0002521295769574226,0.08788063991864678,1,m12-1-29,13051713,1.11.7,2026-08-05T02:47:55
cube,cpu64,316228,316228,0.02935597811208742,4,50,0.4,3,0.229567735,10.409872419,8.529847024,0.004255071,2,42.896913979999994,40.527072479,0.053459308103548514,8.497493070167843e-5,0.0002521295769574226,0.08788063991864678,64,m12-1-29,13051713,1.11.7,2026-08-05T02:51:06
ring,cpu1,316228,306495,0.014285714285714287,4,50,0.4,3,4.66341456,199.550677277,199.533514999,0.006146181,2,790.9997864100001,790.780109667,0.0022845107011750412,0.0025424759768004246,0.012106269628004962,0.012224208822742588,1,m12-1-29,13051713,1.11.7,2026-08-05T03:44:25
ring,cpu64,316228,306495,0.014285714285714287,4,50,0.4,3,4.668603924,5.061224388,4.058471811,0.001471239,2,19.8723837125,19.639116752,0.0022845107011750412,0.0025424759768004246,0.012106269628004962,0.012224208822742588,64,m12-1-29,13051713,1.11.7,2026-08-05T03:46:07
cube,cpu64,1000000,1000000,0.020000000000000004,4,50,0.4,3,0.521132335,55.982780122,34.423697891,0.011336141,2,189.4588078125,183.25332168,0.0674876290682611,7.138895459682712e-5,0.0002031491296215828,0.08545808702869434,64,m12-1-29,13051713,1.11.7,2026-08-05T03:59:28
ring,cpu64,1000000,985986,0.009677419354838712,4,50,0.4,3,9.186059527,21.53643002,20.175601988,0.008070913,2,95.7455873885,95.624580227,0.0028177119668257805,0.003214504975421002,0.014322271855707079,0.019070018167694124,64,m12-1-29,13051713,1.11.7,2026-08-05T04:06:14
cube,cpu1,1000000,1000000,0.020000000000000004,4,50,0.4,3,0.486854441,1776.586602816,1770.560339833,0.021008639,2,7065.796762550501,7061.790192661,0.0674876290682611,7.138895459682712e-5,0.0002031491296215828,0.08545808702869434,1,m12-1-29,13051713,1.11.7,2026-08-05T11:57:34
ring,cpu1,1000000,985986,0.009677419354838712,4,50,0.4,3,9.129323153,985.677404765,981.87273497,0.021492501,2,3928.1330346864997,3928.129063546,0.0028177119668257805,0.003214504975421002,0.014322271855707079,0.019070018167694124,1,m12-1-29,13051713,1.11.7,2026-08-05T16:20:18
