case,mode,n_target,n_actual,sigma,p,ncrit,theta,uj_reps,t_build,t_uj_median,t_uj_min,t_reset_median,step_reps,t_step_median,t_step_min,u_rel_rms,u_abs_rms,u_max_err,j_rel_rms,threads,host,jobid,julia_version,timestamp
wake,cpu1,1000,1000,0.31553675693018224,4,50,0.4,5,0.100228508,0.052497928,0.052472339,8.987e-6,3,0.209590977,0.209588061,1.140249104801386e-15,1.961313041929239e-17,7.329118473755944e-17,1.1384864750054531e-15,1,m12-2-18,13058428,1.11.7,2026-08-05T21:24:03
wake,cpu64,1000,1000,0.31553675693018224,4,50,0.4,5,0.099799472,0.052310094,0.052138472,9.197e-6,3,0.211185075,0.210680516,1.140249104801386e-15,1.961313041929239e-17,7.329118473755944e-17,1.1384864750054531e-15,64,m12-2-18,13058428,1.11.7,2026-08-05T21:24:21
wake,cpu1,3162,3162,0.21497898217140785,4,50,0.4,5,0.100683014,0.402604945,0.400904977,4.1898e-5,3,1.605748042,1.600354246,0.003481614011427276,7.86382410783082e-5,0.00027445007420793795,0.007365904523215198,1,m12-2-18,13058428,1.11.7,2026-08-05T21:24:47
wake,cpu64,3162,3162,0.21497898217140785,4,50,0.4,5,0.100435258,0.404281339,0.403304091,0.000851983,3,1.617657886,1.616013122,0.003481614011427276,7.86382410783082e-5,0.00027445007420793795,0.007365904523215198,64,m12-2-18,13058428,1.11.7,2026-08-05T21:25:13
wake,cpu1,10000,10000,0.14645918875615235,4,50,0.4,5,0.103921395,2.854421839,2.847687028,9.7203e-5,3,11.394840001,11.366655265,0.0083212402595942,0.00022640658259767257,0.0005809174475448491,0.023183200032911074,1,m12-2-18,13058428,1.11.7,2026-08-05T21:26:34
wake,cpu64,10000,10000,0.14645918875615235,4,50,0.4,5,0.103706458,0.079078043,0.076415653,0.000609817,3,0.347490664,0.327268965,0.0083212402595942,0.00022640658259767257,0.0005809174475448491,0.023183200032911074,64,m12-2-18,13058428,1.11.7,2026-08-05T21:26:55
wake,cpu1,31623,31623,0.09978124877340214,4,50,0.4,5,0.111175637,19.476100888,19.461420692,0.000680029,3,77.684942457,77.684141014,0.015636587976913696,0.0004636929449003932,0.001369399828920421,0.05161800824764132,1,m12-2-18,13058428,1.11.7,2026-08-05T21:34:20
wake,cpu64,31623,31623,0.09978124877340214,4,50,0.4,5,0.128513763,0.40940698,0.401175093,0.000677274,3,1.684794595,1.648026287,0.015636587976913696,0.0004636929449003932,0.001369399828920421,0.05161800824764132,64,m12-2-18,13058428,1.11.7,2026-08-05T21:34:49
wake,cpu1,100000,100000,0.0679803335110543,4,50,0.4,5,0.194584579,102.138846788,102.024034078,0.001814523,3,407.416426702,407.125088619,0.03174495799416095,0.0009888211457007635,0.0023206756239133675,0.14605570009078983,1,m12-2-18,13058428,1.11.7,2026-08-05T22:12:29
wake,cpu64,100000,100000,0.0679803335110543,4,50,0.4,5,0.149658341,2.344484147,2.068921603,0.000812548,3,9.247028125,8.842622034,0.03174495799416095,0.0009888211457007635,0.0023206756239133675,0.14605570009078983,64,m12-2-18,13058428,1.11.7,2026-08-05T22:15:31
wake,cpu1,316228,316228,0.04631445065000738,4,50,0.4,3,0.277163676,506.138775301,505.716489745,0.006701617,2,2014.122209779,2013.805199316,0.05027126155823788,0.0015810363793285482,0.004151579307664558,0.26242533221741116,1,m12-2-18,13058428,1.11.7,2026-08-06T00:30:17
wake,cpu64,316228,316228,0.04631445065000738,4,50,0.4,3,0.228081508,8.533011331,8.496862265,0.001543983,2,35.8279043845,34.463416742,0.05027126155823788,0.0015810363793285482,0.004151579307664558,0.26242533221741116,64,m12-2-18,13058428,1.11.7,2026-08-06T00:32:59
wake,cpu64,1000000,1000000,0.03155367569301822,4,50,0.4,3,0.460528701,31.554877523,30.963359221,0.008526621,2,125.18708560249999,123.443383908,0.06390986136104658,0.002031949533938131,0.004944891527397353,0.46014921522155494,64,m12-2-18,13058428,1.11.7,2026-08-06T00:41:40
wake,cpu1,1000000,1000000,0.03155367569301822,4,50,0.4,3,0.545494968,1851.66621814,1845.154075234,0.020480376,2,7523.077195743001,7501.815301569,0.06390986136104658,0.002031949533938131,0.004944891527397353,0.46014921522155494,1,m12-2-18,13058428,1.11.7,2026-08-06T09:03:19
