manifest,job,precision,n,ell,group_level,orbit,q5_total_gradient_rel_rms,correction_gradient_rel_rms,correction_correlation,counterfactual_gradient_rel_rms,q5_reconstruction_rel,q6_reconstruction_rel
42a6c254a11ac8a8,13027263,Float32,1000000,5,0,0:0:0,0.0014224018173189616,0.008704609283492414,0.016562954883728945,0.008843279740686324,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,2:1:1,0.0014224018173189616,0.1026959023165819,0.19254654866931947,0.10297924058463795,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,2:2:0,0.0014224018173189616,6.091644991521896e-9,0.05337917842027085,0.0014224021424989735,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,2:2:1,0.0014224018173189616,8.290980642331396e-9,0.00805387644277617,0.0014224018841176571,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,2:2:2,0.0014224018173189616,1.5192844886230947e-9,-0.022970913422641567,0.0014224017824204203,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:0:0,0.0014224018173189616,2.5815502911317505e-9,-0.002308920681878521,0.0014224018113607095,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:1:0,0.0014224018173189616,7.634085176060847e-9,-0.02486831401950258,0.0014224016274926078,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:1:1,0.0014224018173189616,5.544633142556124e-9,0.0008268726022669759,0.0014224018219144738,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:2:0,0.0014224018173189616,4.321181172338721e-9,0.01233588107537472,0.0014224018706311013,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:2:1,0.0014224018173189616,5.652526490166699e-9,0.003144406505014589,0.0014224018351040339,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:2:2,0.0014224018173189616,1.9356285768556075e-9,-0.013346290503829506,0.001422401791486817,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:3:0,0.0014224018173189616,9.865531010745697e-10,-0.04029053592194892,0.00142240177757055,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:3:1,0.0014224018173189616,1.4244581041847585e-9,-0.0049134484005142025,0.0014224018103206736,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:3:2,0.0014224018173189616,9.24534140273995e-10,0.028332944579487786,0.0014224018435140366,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,3:3:3,0.0014224018173189616,2.392020528282393e-10,-0.015583453846089966,0.0014224018135913876,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,4:0:0,0.0014224018173189616,0.0,0.0,0.0014224018173189616,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,4:1:0,0.0014224018173189616,0.0,0.0,0.0014224018173189616,1.7600561371449817e-7,1.841695520405297e-7
42a6c254a11ac8a8,13027263,Float32,1000000,5,2,4:1:1,0.0014224018173189616,0.0,0.0,0.0014224018173189616,1.7600561371449817e-7,1.841695520405297e-7
