manifest,job,policy,strategy,precision,expansion_order,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,256,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,256,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,256,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,256,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,1740,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,1740,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,1740,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,dense,Float64,3,false,1000000,5,1740,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,256,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,256,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,256,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,256,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,1740,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,1740,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,1740,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float64,3,false,1000000,5,1740,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,256,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,256,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,256,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,1740,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,1740,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,1740,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,dense,Float64,3,false,1000000,5,1740,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,256,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,256,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,256,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,1740,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,1740,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,1740,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float64,3,false,1000000,5,1740,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,256,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,256,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,256,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,256,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,1740,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,1740,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,1740,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,dense,Float32,3,false,1000000,5,1740,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,256,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,256,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,256,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,256,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,1740,2,164,752,8,4.585365853658536,2.0,4.0,8.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,1740,3,1740,160192,256,92.06436781609196,21.0,80.0,180.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,1740,4,1740,2874464,3072,1651.990804597701,504.0,1728.0,2640.0
0e57eca91e2c725b,12997508,hier12,precomputed_y,Float32,3,false,1000000,5,1740,5,1740,31307680,28672,17992.919540229886,5880.0,19232.0,26784.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,256,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,256,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,256,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,1740,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,1740,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,1740,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,dense,Float32,3,false,1000000,5,1740,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,256,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,256,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,256,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,256,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,1740,2,316,3096,32,9.79746835443038,2.5,8.0,18.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,1740,3,316,53352,384,168.83544303797467,58.5,144.0,294.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,1740,4,316,584136,3584,1848.5316455696202,710.5,1568.0,3150.0
0e57eca91e2c725b,12997508,hier3,precomputed_y,Float32,3,false,1000000,5,1740,5,316,5398920,30720,17085.189873417723,6862.5,14400.0,28830.0
