manifest,job,policy,strategy,precision,expansion_order,lh,n,ell,window_classes,level,nonempty_classes,total_routes,max_class,mean_class,p10,p50,p90
7cd72552c4bc430e,13027167,hier5,dense,Float32,3,false,1000000,5,682,2,286,2328,18,8.13986013986014,2.0,8.0,16.0
7cd72552c4bc430e,13027167,hier5,dense,Float32,3,false,1000000,5,682,3,682,92136,320,135.09677419354838,48.0,108.0,256.0
7cd72552c4bc430e,13027167,hier5,dense,Float32,3,false,1000000,5,682,4,682,1145544,3328,1679.683284457478,672.0,1372.0,3072.0
7cd72552c4bc430e,13027167,hier5,dense,Float32,3,false,1000000,5,682,5,682,11037576,29696,16184.129032258064,6720.0,13500.0,28672.0
7cd72552c4bc430e,13027167,sched6-5-5-5,dense,Float32,3,false,1000000,5,874,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
7cd72552c4bc430e,13027167,sched6-5-5-5,dense,Float32,3,false,1000000,5,874,3,874,119784,320,137.05263157894737,36.0,112.0,252.0
7cd72552c4bc430e,13027167,sched6-5-5-5,dense,Float32,3,false,1000000,5,874,4,682,1145544,3328,1679.683284457478,672.0,1372.0,3072.0
7cd72552c4bc430e,13027167,sched6-5-5-5,dense,Float32,3,false,1000000,5,874,5,682,11037576,29696,16184.129032258064,6720.0,13500.0,28672.0
7cd72552c4bc430e,13027167,sched6-6-5-5,dense,Float32,3,false,1000000,5,874,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
7cd72552c4bc430e,13027167,sched6-6-5-5,dense,Float32,3,false,1000000,5,874,3,850,112728,320,132.62117647058824,36.0,112.0,245.0
7cd72552c4bc430e,13027167,sched6-6-5-5,dense,Float32,3,false,1000000,5,874,4,874,1597128,3328,1827.3775743707095,588.0,1440.0,2940.0
7cd72552c4bc430e,13027167,sched6-6-5-5,dense,Float32,3,false,1000000,5,874,5,682,11037576,29696,16184.129032258064,6720.0,13500.0,28672.0
7cd72552c4bc430e,13027167,sched6-6-6-5,dense,Float32,3,false,1000000,5,874,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
7cd72552c4bc430e,13027167,sched6-6-6-5,dense,Float32,3,false,1000000,5,874,3,850,112728,320,132.62117647058824,36.0,112.0,245.0
7cd72552c4bc430e,13027167,sched6-6-6-5,dense,Float32,3,false,1000000,5,874,4,850,1521528,3328,1790.0329411764706,588.0,1440.0,2925.0
7cd72552c4bc430e,13027167,sched6-6-6-5,dense,Float32,3,false,1000000,5,874,5,874,15875976,29696,18164.732265446226,6300.0,13888.0,27900.0
7cd72552c4bc430e,13027167,hier6,dense,Float32,3,false,1000000,5,850,2,262,1896,16,7.236641221374046,2.0,6.0,12.0
7cd72552c4bc430e,13027167,hier6,dense,Float32,3,false,1000000,5,850,3,850,112728,320,132.62117647058824,36.0,112.0,245.0
7cd72552c4bc430e,13027167,hier6,dense,Float32,3,false,1000000,5,850,4,850,1521528,3328,1790.0329411764706,588.0,1440.0,2925.0
7cd72552c4bc430e,13027167,hier6,dense,Float32,3,false,1000000,5,850,5,850,15184056,29696,17863.595294117647,6300.0,13888.0,27869.0
