level,q_parent,q_child,offset,orbit,routes,admissible_rank,sigma,relative_tail_at_rank7
2,6,6,-2:0:-3,3:2:0,8,12,3510.1868610325464:3214.309244234438:1773.3263831813347:1747.5686242932422:1211.0948694968924:402.97986157982245:399.5483075304788:13.808577423559653:11.737423437962006:6.787741238575985:3.5406561393360185:3.39181586705068:0.895483299317717:0.22094418741013808:0.18363886893904618:0.07289910128772688,0.003610589369101326
2,6,6,-1:0:-3,3:1:0,12,12,5668.838577639551:4366.99637959862:3836.245209873:3608.3050265052784:2718.389189168785:2115.2365852038442:2109.16947657201:20.167704780953287:15.911909433009056:11.044354193962581:9.650833227487768:9.554831178555958:1.0680733108812188:0.33040459869416705:0.308754805932164:0.09841150721643158,0.003187287175759767
2,6,6,0:0:-3,3:0:0,16,12,4774.186933397548:4774.119245499286:4774.119245499279:4772.302615707385:4772.302615707382:4695.722787295598:4695.7227872955955:17.680942537805603:17.28455471937922:17.284554719379205:15.021983861380889:15.021983861380873:1.1205733967596976:0.3881052323989486:0.38810523239881134:0.11064566143439777,0.0029368618302295503
2,6,6,1:0:-3,3:1:0,12,12,5668.838577639552:4366.996379598617:3836.2452098729996:3608.305026505277:2718.389189168784:2115.2365852038433:2109.1694765720094:20.16770478095325:15.911909433008992:11.04435419396258:9.650833227487812:9.554831178555963:1.0680733108812235:0.3304045986941958:0.3087548059323372:0.09841150721688388,0.003187287175759765
2,6,6,2:0:-3,3:2:0,8,12,3510.1868610325428:3214.3092442344387:1773.326383181335:1747.5686242932425:1211.0948694968922:402.9798615798226:399.54830753047884:13.808577423559695:11.737423437962056:6.787741238575976:3.540656139335997:3.391815867050928:0.895483299317721:0.220944187410186:0.18363886893909215:0.07289910128772141,0.0036105893691013432
2,6,6,3:0:-3,3:3:0,4,13,1810.8592812624022:1747.0864218221006:729.9706464413548:538.5326519542746:343.44856128917434:76.70398490101394:73.62013961083794:7.790302478523371:6.928259282555682:3.5829928686357624:1.1881436462567838:1.1543284096239381:0.6624370491833744:0.13357986289653742:0.09913051496457088:0.04928656624376177,0.004138331609494365
2,6,6,-3:1:-3,3:3:1,3,13,1614.4136127109978:1548.3872969471493:609.3213810930688:440.75998857392875:282.7793713032002:59.6737915450671:56.91631253286751:7.088907938752311:6.277625033509505:3.1807500710279695:1.0022622674696238:0.9974775764314632:0.6180296561632682:0.12279841399696328:0.08949547287572168:0.04607103946740566,0.004250397931982997
2,6,6,-2:1:-3,3:2:1,6,12,2998.5757802772805:2874.474124648095:1512.152721517333:1348.7074319918945:892.2630149704706:268.52746812361096:264.7941010819015:12.125696099712409:10.535412543779437:5.94215939887719:2.727595114621741:2.5935447414447577:0.8440548457070525:0.1971098851303788:0.15943423088381956:0.06681765106726063,0.003718256029500454
2,6,6,-1:1:-3,3:1:1,9,12,4898.448181304325:3966.761679679735:2980.040971357387:2496.9669320016305:2302.989752100345:1103.4405098078298:1100.4467770007163:18.091898760734253:14.470880272818883:9.090062035917496:6.599661883453446:6.46891692841224:1.0088258082235777:0.2855497476030234:0.2542922765474756:0.08837298566792115,0.0033586685364146453
2,6,6,0:1:-3,3:1:0,12,12,5668.838577639551:4366.996379598617:3836.245209872998:3608.305026505277:2718.3891891687845:2115.2365852038433:2109.16947657201:20.167704780953162:15.911909433009024:11.044354193962603:9.650833227487817:9.554831178555952:1.0680733108811662:0.3304045986941724:0.30875480593214494:0.09841150721661338,0.0031872871757597605
