job,kernel,mode,precision,n,ell,q,pairs,threads,warps,block_cap,blocks,median_ms,min_ms,max_ms
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,64,2,512,512,35.25632247328758,35.25276854634285,35.274144262075424
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,64,2,2048,2048,14.7791039198637,14.763199724256992,14.787072315812111
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,64,2,8192,8192,12.442239560186863,12.409343384206295,12.465247884392738
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,64,2,16384,16384,11.766304261982441,11.742943897843361,11.837183497846127
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,64,2,65536,65536,11.333536356687546,11.319232173264027,11.335552670061588
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,128,4,512,512,19.562911242246628,19.52224038541317,19.972000271081924
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,128,4,2048,2048,13.43174371868372,13.395392335951328,13.507360592484474
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,128,4,8192,8192,11.750368401408195,11.73075195401907,11.761631816625595
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,128,4,16384,16384,11.456447653472424,11.429247446358204,11.496479623019695
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,128,4,65536,65536,11.327584274113178,11.316511780023575,11.34246401488781
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,256,8,512,512,14.429823495447636,14.408576302230358,14.490367844700813
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,256,8,2048,2048,12.4360965564847,12.41408009082079,12.455551885068417
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,256,8,8192,8192,11.48921623826027,11.4631038159132,11.509631760418415
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,256,8,16384,16384,11.375871486961842,11.352351866662502,11.389887891709805
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,256,8,65536,65536,11.429247446358204,11.414463631808758,11.447296477854252
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,512,16,512,512,13.073504902422428,13.026847504079342,13.134079985320568
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,512,16,2048,2048,11.897600255906582,11.883808299899101,11.925791390240192
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,512,16,8192,8192,11.463647708296776,11.443424038589,11.495712213218212
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,512,16,16384,16384,11.484895832836628,11.465472169220448,11.491200886666775
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,512,16,65536,65536,11.897952295839787,11.887007392942905,11.905279941856861
13016756,nearfield,atomic,Float32,1000000,5,12,5189728,128,4,16384,16384,11.452095583081245,11.439167894423008,11.464032344520092
13016756,nearfield,store,Float32,1000000,5,12,5189728,128,4,16384,16384,11.47043239325285,11.459296569228172,11.48169580847025
13016756,nearfield,nostore,Float32,1000000,5,12,5189728,128,4,16384,16384,11.437536217272282,11.42415963113308,11.461376212537289
