q_coarse,q_leaf,leaf_phase_offsets,leaf_union_offsets,direct_cell_pairs,routes_total,routes_per_level,exact_once
3,3,189,316,830584,6039504,3096 53352 584136 5398920,true
4,3,237,424,830584,7551504,2904 63336 710088 6775176,true
4,4,231,418,1014904,7367184,2904 63336 710088 6590856,true
5,3,429,712,830584,13176144,2328 92136 1145544 11936136,true
5,4,423,706,1014904,12991824,2328 92136 1145544 11751816,true
5,5,399,682,1729144,12277584,2328 92136 1145544 11037576,true
6,3,621,904,830584,18410688,1896 112728 1521528 16774536,true
6,4,615,898,1014904,18226368,1896 112728 1521528 16590216,true
6,5,591,874,1729144,17512128,1896 112728 1521528 15875976,true
6,6,567,850,2421064,16820208,1896 112728 1521528 15184056,true
8,3,717,1048,830584,21011328,1704 121560 1705080 19182984,true
8,4,711,1042,1014904,20827008,1704 121560 1705080 18998664,true
8,5,687,1018,1729144,20112768,1704 121560 1705080 18284424,true
8,6,663,994,2421064,19420848,1704 121560 1705080 17592504,true
8,8,651,982,2766664,19075248,1704 121560 1705080 17246904,true
9,3,957,1348,830584,27240768,1320 138168 2124504 24976776,true
9,4,951,1342,1014904,27056448,1320 138168 2124504 24792456,true
9,5,927,1318,1729144,26342208,1320 138168 2124504 24078216,true
9,6,903,1294,2421064,25650288,1320 138168 2124504 23386296,true
9,8,891,1282,2766664,25304688,1320 138168 2124504 23040696,true
9,9,861,1252,3614440,24456912,1320 138168 2124504 22192920,true
10,3,1149,1636,830584,32399712,1032 149880 2479704 29769096,true
10,4,1143,1630,1014904,32215392,1032 149880 2479704 29584776,true
10,5,1119,1606,1729144,31501152,1032 149880 2479704 28870536,true
10,6,1095,1582,2421064,30809232,1032 149880 2479704 28178616,true
10,8,1083,1570,2766664,30463632,1032 149880 2479704 27833016,true
10,9,1053,1540,3614440,29615856,1032 149880 2479704 26985240,true
10,10,1029,1516,4304872,28925424,1032 149880 2479704 26294808,true
11,3,1341,1828,830584,37206360,816 157824 2785824 34261896,true
11,4,1335,1822,1014904,37022040,816 157824 2785824 34077576,true
11,5,1311,1798,1729144,36307800,816 157824 2785824 33363336,true
11,6,1287,1774,2421064,35615880,816 157824 2785824 32671416,true
11,8,1275,1762,2766664,35270280,816 157824 2785824 32325816,true
11,9,1245,1732,3614440,34422504,816 157824 2785824 31478040,true
11,10,1221,1708,4304872,33732072,816 157824 2785824 30787608,true
11,11,1197,1684,4973728,33063216,816 157824 2785824 30118752,true
12,3,1405,1892,830584,38702232,752 160192 2874464 35666824,true
12,4,1399,1886,1014904,38517912,752 160192 2874464 35482504,true
12,5,1375,1862,1729144,37803672,752 160192 2874464 34768264,true
12,6,1351,1838,2421064,37111752,752 160192 2874464 34076344,true
12,8,1339,1826,2766664,36766152,752 160192 2874464 33730744,true
12,9,1309,1796,3614440,35918376,752 160192 2874464 32882968,true
12,10,1285,1772,4304872,35227944,752 160192 2874464 32192536,true
12,11,1261,1748,4973728,34559088,752 160192 2874464 31523680,true
12,12,1253,1740,5189728,34343088,752 160192 2874464 31307680,true
