q,near_offsets,phase_offsets,union_offsets,max_near_norm2,min_far_norm2,minimum_child_norm2,downward_monotone,direct_cell_pairs,routes_total,routes_per_level
3,27,189,316,3,4,9,true,830584,6039504,3096 53352 584136 5398920
4,33,231,418,4,5,10,true,1014904,7367184,2904 63336 710088 6590856
5,57,399,682,5,6,11,true,1729144,12277584,2328 92136 1145544 11037576
6,81,567,850,6,8,18,true,2421064,16820208,1896 112728 1521528 15184056
7,81,567,850,6,8,18,true,2421064,16820208,1896 112728 1521528 15184056
8,93,651,982,8,9,19,true,2766664,19075248,1704 121560 1705080 17246904
9,123,861,1252,9,10,26,true,3614440,24456912,1320 138168 2124504 22192920
10,147,1029,1516,10,11,27,true,4304872,28925424,1032 149880 2479704 26294808
11,171,1197,1684,11,12,27,true,4973728,33063216,816 157824 2785824 30118752
12,179,1253,1740,12,13,34,true,5189728,34343088,752 160192 2874464 31307680
