level,q_parent,q_child,offset,orbit,routes,admissible_rank,sigma,relative_tail_at_rank7
2,6,6,-3:-3:-3,3:3:3,1,13,689.2243632052567:659.3762832954089:178.7852712578928:120.48857860768129:81.33685081526615:12.936114325911094:11.937347952091395:3.8350911382040476:3.1482645928122928:1.3992223544468574:0.5638112417688077:0.3490665785277965:0.28876003416924423:0.0707143414039634:0.045764332443814074:0.029099544859400195,0.005304984251541295
2,6,6,-2:-3:-3,3:3:2,2,13,1155.0106200519601:1100.6508402792504:367.0917661655808:256.08259641709003:168.11997129996098:30.93727786184253:29.044796185007616:5.490347158203076:4.750447290877257:2.2748772210780257:0.7318998631518929:0.6393409018457484:0.4771585629830934:0.0976518838723782:0.06775339998455185:0.03821367575970407,0.004613080225583568
2,6,6,-1:-3:-3,3:3:1,3,13,1614.4136127109982:1548.387296947149:609.321381093069:440.759988573929:282.7793713032:59.67379154506707:56.91631253286756:7.088907938752301:6.277625033509502:3.1807500710279566:1.0022622674696358:0.9974775764314713:0.6180296561632976:0.12279841399695536:0.08949547287570306:0.04607103946748682,0.004250397931982995
2,6,6,0:-3:-3,3:3:0,4,13,1810.859281262403:1747.0864218221013:729.9706464413548:538.5326519542747:343.4485612891743:76.70398490101401:73.62013961083795:7.790302478523374:6.9282592825556835:3.5829928686357713:1.1881436462567714:1.154328409623803:0.6624370491834076:0.13357986289654145:0.09913051496458683:0.04928656624372674,0.0041383316094943615
2,6,6,1:-3:-3,3:3:1,3,13,1614.413612710999:1548.3872969471486:609.3213810930689:440.75998857392864:282.77937130319987:59.673791545067125:56.91631253286753:7.088907938752334:6.277625033509502:3.180750071027962:1.0022622674696458:0.9974775764314634:0.6180296561633021:0.12279841399696952:0.08949547287567819:0.04607103946747723,0.004250397931983004
2,6,6,2:-3:-3,3:3:2,2,13,1155.0106200519601:1100.6508402792504:367.09176616558085:256.08259641709003:168.11997129996107:30.937277861842528:29.044796185007613:5.490347158203078:4.750447290877267:2.274877221078031:0.7318998631518916:0.6393409018457483:0.4771585629831002:0.09765188387238687:0.06775339998454127:0.03821367575970696,0.004613080225583573
2,6,6,3:-3:-3,3:3:3,1,13,689.2243632052563:659.3762832954089:178.7852712578928:120.48857860768122:81.33685081526615:12.936114325911118:11.937347952091391:3.835091138204048:3.148264592812294:1.39922235444686:0.5638112417688054:0.34906657852780454:0.288760034169243:0.07071434140394886:0.045764332443821026:0.029099544859389825,0.005304984251541299
2,6,6,-3:-2:-3,3:3:2,2,13,1155.0106200519606:1100.6508402792504:367.09176616558096:256.0825964170901:168.11997129996095:30.937277861842603:29.044796185007655:5.4903471582030585:4.7504472908772595:2.274877221078031:0.7318998631518843:0.6393409018457462:0.47715856298310266:0.09765188387238129:0.06775339998454212:0.038213675759721344,0.00461308022558356
2,6,6,-2:-2:-3,3:2:2,4,12,2033.1778392565518:1979.936528634598:877.9822387721708:665.302867466642:423.04806222256576:100.63267264745011:97.23510568261847:8.609830624215201:7.667559354663363:4.049602976825262:1.426464771300247:1.3652314674732315:0.7061011488622285:0.1459814599151682:0.11043224747689645:0.052887365088391286,0.004030193129812271
2,6,6,-1:-2:-3,3:2:1,6,12,2998.575780277279:2874.4741246480944:1512.1527215173328:1348.707431991894:892.2630149704713:268.527468123611:264.79410108190143:12.125696099712322:10.535412543779435:5.942159398877141:2.7275951146217263:2.593544741444784:0.8440548457070345:0.1971098851303569:0.1594342308838647:0.06681765106727168,0.003718256029500438
