manifest,job,host,gpu,julia,cuda,blas_threads,seed,policy,strategy,precision,expansion_order,p_literature,lh,n,ell,window_classes,fit,note,n_cells,n_nodes,nodes_per_level,routes,routes_per_level,n_direct,nonempty_classes,max_class,mean_class,class_p50,class_p90,construction_ms,persistent_device_bytes,peak_device_bytes,grid_ms,occupancy_ms,direct_gen_ms,route_gen_ms,groups_ms,b2m_ms,m2m_ms,m2l_ms,m2l_per_level,l2l_ms,l2b_ms,eval_ms,refresh_ms,finalize_ms,euler_ms,verdict_step_ms,stale_step_ms,host_construction_ms,host_step_ms,h2d_ms,d2h_ms,m2l_device_alloc_bytes,step_device_alloc_bytes,verdict_step_host_alloc_bytes,route_uploads,operator_uploads,body_uploads,metadata_downloads,expansion_host_copies,reference_source,reference_samples,reference_checksum,ref_cross_check_grad_rel,err_potential_abs_rms,err_potential_rel_rms,err_gradient_abs_rms,err_gradient_rel_rms,err_gradient_max,conv_steps,conv_dt,conv_err_potential_rel_rms,conv_err_gradient_rel_rms,conv_err_gradient_max,stale_steps,stale_err_gradient_rel_rms,host_err_gradient_rel_rms
9ee717aff10586a6,13000341,m13h-1-2,NVIDIA H200,1.11.7,12.8.0,1,24025,hier12,dense,Float64,3,4,false,1000000,5,1740,false,InvalidIRError: compiling MethodInstance for FastMultipole._cuda_hier_dense_fused_kernel!(::CuDeviceMatrix{Float64; 1}; ::CuDeviceMatrix{Float64; 1}; ::CuDeviceArray{Float64; 3; 1}; ::CuDeviceVector{Int32; 1}; ::CuDeviceVector{Int64; 1}; ::CuDeviceVector{Int64; 1}; ::CuDeviceMatrix{Float64; 1}; ::CuDeviceMatrix{Float64; 1}; ::CuDeviceVector{Int64; 1}; ::CuDeviceVector{Int64; 1}; ::Int64; ::CuDeviceMatrix{Float64; 1}; ::CuDeviceMatrix{Float64; 1}; ::Int64; ::Int64; ::Int64; ::Val{false}) resulted,0,0,,0,,0,0,0,0.0,0.0,0.0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,,0,,NaN,NaN,NaN,NaN,NaN,NaN,0,1.0e-5,NaN,NaN,NaN,0,NaN,NaN
9ee717aff10586a6,13000341,m13h-1-2,NVIDIA H200,1.11.7,12.8.0,1,24025,hier12,dense,Float32,3,4,false,1000000,5,1740,false,InvalidIRError: compiling MethodInstance for FastMultipole._cuda_hier_dense_fused_kernel!(::CuDeviceMatrix{Float32; 1}; ::CuDeviceMatrix{Float32; 1}; ::CuDeviceArray{Float32; 3; 1}; ::CuDeviceVector{Int32; 1}; ::CuDeviceVector{Int64; 1}; ::CuDeviceVector{Int64; 1}; ::CuDeviceMatrix{Float32; 1}; ::CuDeviceMatrix{Float32; 1}; ::CuDeviceVector{Int64; 1}; ::CuDeviceVector{Int64; 1}; ::Int64; ::CuDeviceMatrix{Float32; 1}; ::CuDeviceMatrix{Float32; 1}; ::Int64; ::Int64; ::Int64; ::Val{false}) resulted,0,0,,0,,0,0,0,0.0,0.0,0.0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,,0,,NaN,NaN,NaN,NaN,NaN,NaN,0,1.0e-5,NaN,NaN,NaN,0,NaN,NaN
