job,kernel,mode,precision,n,ell,q,routes,ndof,threads,warps,block_cap,blocks,median_ms,min_ms,max_ms
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,32,1,512,512,69.9654370546341,69.9392631649971,70.01382112503052
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,32,1,2048,2048,18.790654838085175,18.783647567033768,18.801504746079445
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,32,1,8192,8192,11.517279781401157,11.505279690027237,11.541567742824554
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,32,1,16384,16384,11.172288097441196,11.163935996592045,11.185280047357082
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,32,1,65536,65536,10.547871701419353,10.544800199568272,10.55110339075327
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,64,2,512,512,38.8210266828537,38.8069748878479,39.13247957825661
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,64,2,2048,2048,12.035360559821129,12.029152363538742,12.052671983838081
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,64,2,8192,8192,10.851488448679447,10.843456722795963,10.872415266931057
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,64,2,16384,16384,10.038656182587147,10.023199953138828,10.04988793283701
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,64,2,65536,65536,9.636416099965572,9.631424210965633,9.689600206911564
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,128,4,512,512,23.484129458665848,23.449279367923737,23.511232808232307
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,128,4,2048,2048,12.625791132450104,12.545344419777393,12.645792216062546
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,128,4,8192,8192,10.89465618133545,10.882783681154251,10.907487943768501
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,128,4,16384,16384,10.46288013458252,10.452799499034882,10.470879264175892
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,128,4,65536,65536,10.359999723732471,10.358048602938652,10.364800691604614
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,256,8,512,512,14.595840126276016,14.583935961127281,14.630304649472237
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,256,8,2048,2048,13.755135238170624,13.737824745476246,13.783680275082588
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,256,8,8192,8192,11.67939230799675,11.669504456222057,11.690688319504261
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,256,8,16384,16384,11.515520513057709,11.509504169225693,11.524575762450695
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,256,8,65536,65536,11.60009577870369,11.597760021686554,11.602464132010937
13016756,m2l_tiled,atomic,Float32,1000000,5,12,31307680,16,128,4,16384,16384,10.4609914124012,10.451135225594044,10.48166397958994
13016756,m2l_tiled,store,Float32,1000000,5,12,31307680,16,128,4,16384,16384,8.7521281093359,8.740799501538277,8.785984478890896
13016756,m2l_tiled,nostore,Float32,1000000,5,12,31307680,16,128,4,16384,16384,8.659903891384602,8.654207922518253,8.687775582075119
