P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,gemm_min_cols,gemm_min_dim,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
12,true,concat,64,150,12382,0,0,0.0,16,1,117.87043,872486504,479.116706,11840,505.333735,35760
12,true,factored_functional,64,150,12382,2490,24,4.972690763052209,16,1,128.422784,92765736,852.5438899999999,1305157520,NaN,-1
12,true,factored_scalar,64,150,12382,2490,24,4.972690763052209,9223372036854775807,9223372036854775807,100.534642,92765736,629.614927,1808,663.180513,26240
12,true,factored_gemm,64,150,12382,2490,24,4.972690763052209,1,1,131.647343,92765736,508.625979,1808,542.6139089999999,26240
12,true,factored_optimized,64,150,12382,2490,24,4.972690763052209,16,1,110.475726,92765736,606.3797490000001,1808,636.325964,26240
4,false,concat,64,2000,32396,0,0,0.0,16,1,80.300941,294972776,84.682615,6032,124.82185,21744
4,false,factored_functional,64,2000,32396,1584,48,20.4520202020202,16,1,41.474055,30886792,123.965308,223031984,NaN,-1
4,false,factored_scalar,64,2000,32396,1584,48,20.4520202020202,9223372036854775807,9223372036854775807,24.574448,30886792,67.661138,1808,101.633289,18032
4,false,factored_gemm,64,2000,32396,1584,48,20.4520202020202,1,1,46.896619,30886792,65.19852399999999,1808,99.536624,18032
4,false,factored_optimized,64,2000,32396,1584,48,20.4520202020202,16,1,80.821239,30886792,62.353832,1808,96.644853,18032
4,true,concat,64,2000,23646,0,0,0.0,16,1,76.965525,840004648,163.191805,11840,203.159797,35072
4,true,factored_functional,64,2000,23646,1368,41,17.285087719298247,16,1,14.06828,30725640,225.34491,409587184,NaN,-1
4,true,factored_scalar,64,2000,23646,1368,41,17.285087719298247,9223372036854775807,9223372036854775807,21.204167,30725640,124.752589,1808,165.014444,25552
4,true,factored_gemm,64,2000,23646,1368,41,17.285087719298247,1,1,30.01252,30725640,119.651241,1808,162.40247,25552
4,true,factored_optimized,64,2000,23646,1368,41,17.285087719298247,16,1,137.813564,30725640,114.757032,1808,155.007746,25552
8,false,concat,64,2000,177990,0,0,0.0,16,1,87.986071,944625256,1498.608989,10624,1442.0853769999999,26336
8,false,factored_functional,64,2000,177990,3122,237,57.011531069827036,16,1,79.422749,71415944,1727.428567,3653116512,NaN,-1
8,false,factored_scalar,64,2000,177990,3122,237,57.011531069827036,9223372036854775807,9223372036854775807,49.621045,71415944,1506.3862020000001,1808,1547.258657,18032
8,false,factored_gemm,64,2000,177990,3122,237,57.011531069827036,1,1,82.02248,71415944,1020.1429179999999,1808,1061.697455,18032
8,false,factored_optimized,64,2000,177990,3122,237,57.011531069827036,16,1,242.97393,71415944,1024.345415,1808,1065.227326,18032
8,true,concat,64,2000,185284,0,0,0.0,16,1,84.479172,2484028840,3537.71732,22240,3710.195698,45472
8,true,factored_functional,64,2000,185284,3124,247,59.309859154929576,16,1,294.052747,89866216,4129.079371999999,8748608752,NaN,-1
8,true,factored_scalar,64,2000,185284,3124,247,59.309859154929576,9223372036854775807,9223372036854775807,89.427783,89866216,3648.9321659999996,1808,3693.406267,25552
8,true,factored_gemm,64,2000,185284,3124,247,59.309859154929576,1,1,158.208048,89866216,2413.174137,1808,2465.855262,25552
8,true,factored_optimized,64,2000,185284,3124,247,59.309859154929576,16,1,163.143327,89866216,2432.64266,1808,2485.867136,25552
12,false,concat,64,2000,222454,0,0,0.0,16,1,103.597296,1967809960,4104.869778,10624,4406.435459,26336
12,false,factored_functional,64,2000,222454,3282,310,67.78001218769043,16,1,122.058343,101381544,4502.464043,9440312944,NaN,-1
12,false,factored_scalar,64,2000,222454,3282,310,67.78001218769043,9223372036854775807,9223372036854775807,84.768218,101381544,4872.294489,1808,5151.057754,18032
12,false,factored_gemm,64,2000,222454,3282,310,67.78001218769043,1,1,232.697158,101381544,2785.111789,1808,2851.488572,18032
12,false,factored_optimized,64,2000,222454,3282,310,67.78001218769043,16,1,263.202927,101381544,2809.94251,1808,2887.8492069999998,18032
12,true,concat,64,2000,203136,0,0,0.0,16,1,131.903918,5009974696,7770.733168,22240,10386.07602,45472
12,true,factored_functional,64,2000,203136,3246,262,62.58040665434381,16,1,175.232412,145171752,9313.437991,19217442192,NaN,-1
12,true,factored_scalar,64,2000,203136,3246,262,62.58040665434381,9223372036854775807,9223372036854775807,134.488402,145171752,9918.564704,1808,10625.288556,25552
12,true,factored_gemm,64,2000,203136,3246,262,62.58040665434381,1,1,407.85093,145171752,5598.716872,1808,6476.6867489999995,25552
12,true,factored_optimized,64,2000,203136,3246,262,62.58040665434381,16,1,373.341841,145171752,5675.914148000001,1808,5755.922771,25552
4,false,concat,64,20000,34512,0,0,0.0,16,1,81.265509,294972776,90.109404,6032,2158.772415,22192
4,false,factored_functional,64,20000,34512,1584,48,21.78787878787879,16,1,26.243973,30886792,129.66362800000002,236133168,NaN,-1
4,false,factored_scalar,64,20000,34512,1584,48,21.78787878787879,9223372036854775807,9223372036854775807,20.260332,30886792,70.768893,1808,2102.616044,18480
4,false,factored_gemm,64,20000,34512,1584,48,21.78787878787879,1,1,93.99653,30886792,69.998953,1808,2103.143426,18480
4,false,factored_optimized,64,20000,34512,1584,48,21.78787878787879,16,1,101.321285,30886792,65.56707300000001,1808,2100.20168,18480
4,true,concat,64,20000,25704,0,0,0.0,16,1,82.199065,840004648,247.04037100000002,11840,2470.356593,35584
4,true,factored_functional,64,20000,25704,1368,42,18.789473684210527,16,1,130.317358,30725640,242.106285,442224272,NaN,-1
4,true,factored_scalar,64,20000,25704,1368,42,18.789473684210527,9223372036854775807,9223372036854775807,27.684925,30725640,135.074172,1808,2249.8665720000004,26064
4,true,factored_gemm,64,20000,25704,1368,42,18.789473684210527,1,1,131.129177,30725640,127.37516099999999,1808,2239.367739,26064
4,true,factored_optimized,64,20000,25704,1368,42,18.789473684210527,16,1,34.646024,30725640,123.04232800000001,1808,2234.784472,26064
8,false,concat,64,20000,192480,0,0,0.0,16,1,82.87206,944625256,1581.655019,10624,2570.996101,26784
8,false,factored_functional,64,20000,192480,3124,256,61.613316261203586,16,1,112.766743,71415944,1842.3474840000001,3941710096,NaN,-1
8,false,factored_scalar,64,20000,192480,3124,256,61.613316261203586,9223372036854775807,9223372036854775807,50.766758,71415944,1639.056141,1808,2457.1666689999997,18480
8,false,factored_gemm,64,20000,192480,3124,256,61.613316261203586,1,1,189.149272,71415944,1099.5930039999998,1808,1925.8208750000001,18480
8,false,factored_optimized,64,20000,192480,3124,256,61.613316261203586,16,1,143.180963,71415944,1097.411709,1808,1927.855253,18480
8,true,concat,64,20000,192480,0,0,0.0,16,1,90.049947,2484028840,3387.3290749999996,22240,6987.0428440000005,45984
8,true,factored_functional,64,20000,192480,3124,256,61.613316261203586,16,1,351.926465,89866216,4273.405928,9075686384,NaN,-1
8,true,factored_scalar,64,20000,192480,3124,256,61.613316261203586,9223372036854775807,9223372036854775807,82.402989,89866216,3771.594008,1808,4643.632796000001,26064
8,true,factored_gemm,64,20000,192480,3124,256,61.613316261203586,1,1,235.202417,89866216,2495.9157529999998,1808,3365.2369869999998,26064
8,true,factored_optimized,64,20000,192480,3124,256,61.613316261203586,16,1,238.209094,89866216,2504.976031,1808,3377.629635,26064
12,false,concat,64,20000,230616,0,0,0.0,16,1,100.84007,1967809960,4533.661694,10624,5113.205894,26784
12,false,factored_functional,64,20000,230616,3282,320,70.26691042047533,16,1,130.95731,101381544,4706.629209,9776328640,NaN,-1
12,false,factored_scalar,64,20000,230616,3282,320,70.26691042047533,9223372036854775807,9223372036854775807,109.102036,101381544,5048.728333999999,1808,6217.515766,18480
12,false,factored_gemm,64,20000,230616,3282,320,70.26691042047533,1,1,258.642974,101381544,2869.934903,1808,3566.32474,18480
12,false,factored_optimized,64,20000,230616,3282,320,70.26691042047533,16,1,265.070738,101381544,2895.807707,1808,3610.6063019999997,18480
12,true,concat,64,20000,222648,0,0,0.0,16,1,132.466134,5009974696,10598.017086,22240,11315.065525,45984
12,true,factored_functional,64,20000,222648,3252,280,68.4649446494465,16,1,202.548273,145171752,10162.250076999999,21030121104,NaN,-1
12,true,factored_scalar,64,20000,222648,3252,280,68.4649446494465,9223372036854775807,9223372036854775807,130.360729,145171752,10836.61542,1808,12100.266027,26064
12,true,factored_gemm,64,20000,222648,3252,280,68.4649446494465,1,1,296.745601,145171752,6097.402321,1808,7007.469706,26064
12,true,factored_optimized,64,20000,222648,3252,280,68.4649446494465,16,1,482.391318,145171752,6171.265772,1808,7006.9336379999995,26064
