P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,gemm_min_cols,gemm_min_dim,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,false,concat,1,150,1684,0,0,0.0,32,5,2880.296258,50850344,3.487886,6032,5.7830900000000005,117456
4,false,factored_functional,1,150,1684,928,7,1.8146551724137931,32,5,203.769657,10603208,15.694410999999999,20294576,NaN,-1
4,false,factored_scalar,1,150,1684,928,7,1.8146551724137931,9223372036854775807,9223372036854775807,5.48469,10603208,4.037089,1808,6.29354,18464
4,false,factored_gemm,1,150,1684,928,7,1.8146551724137931,1,1,9.045914,10603208,7.154248,1808,10.071111,18464
4,false,factored_optimized,1,150,1684,928,7,1.8146551724137931,32,5,8.521407,10603208,3.8931579999999997,1808,6.221234,18464
4,true,concat,1,150,1122,0,0,0.0,32,5,551.022974,144813032,5.837172,11840,9.319989000000001,131040
4,true,factored_functional,1,150,1122,696,5,1.6120689655172413,32,5,200.856382,11588872,35.251683,33384176,NaN,-1
4,true,factored_scalar,1,150,1122,696,5,1.6120689655172413,9223372036854775807,9223372036854775807,6.812165,11588872,6.569349000000001,1808,9.94816,26240
4,true,factored_gemm,1,150,1122,696,5,1.6120689655172413,1,1,11.792366,11588872,12.261879,1808,15.362788,26240
4,true,factored_optimized,1,150,1122,696,5,1.6120689655172413,32,5,9.181498,11588872,6.610847000000001,1808,9.970982,26240
8,false,concat,1,150,11900,0,0,0.0,32,5,5.462337,163676072,108.83437699999999,6032,114.019815,22176
8,false,factored_functional,1,150,11900,2506,20,4.748603351955308,32,5,21.036251,31184712,179.786787,287773696,NaN,-1
8,false,factored_scalar,1,150,11900,2506,20,4.748603351955308,9223372036854775807,9223372036854775807,20.055299,31184712,103.511351,1808,108.8785,18464
8,false,factored_gemm,1,150,11900,2506,20,4.748603351955308,1,1,28.989042,31184712,93.159392,1808,98.466368,18464
8,false,factored_optimized,1,150,11900,2506,20,4.748603351955308,32,5,34.113003,31184712,103.287691,1808,108.668074,18464
8,true,concat,1,150,12880,0,0,0.0,32,5,81.237884,430035944,274.44047900000004,11840,283.93733100000003,35760
8,true,factored_functional,1,150,12880,2612,21,4.931087289433385,32,5,39.627629,45870184,422.28851000000003,704294736,NaN,-1
8,true,factored_scalar,1,150,12880,2612,21,4.931087289433385,9223372036854775807,9223372036854775807,43.936238,45870184,261.855733,1808,272.497006,26240
8,true,factored_gemm,1,150,12880,2612,21,4.931087289433385,1,1,45.244738,45870184,225.82752,1808,235.590472,26240
8,true,factored_optimized,1,150,12880,2612,21,4.931087289433385,32,5,32.161124,45870184,264.529839,1808,272.498328,26240
12,false,concat,1,150,15172,0,0,0.0,32,5,98.307149,343275880,376.376128,6032,390.089024,22176
12,false,factored_functional,1,150,15172,2716,26,5.5861561119293075,32,5,89.227101,56007016,438.867534,716172368,NaN,-1
12,false,factored_scalar,1,150,15172,2716,26,5.5861561119293075,9223372036854775807,9223372036854775807,74.473829,56007016,341.372782,1808,351.687972,18464
12,false,factored_gemm,1,150,15172,2716,26,5.5861561119293075,1,1,104.14398,56007016,245.055534,1808,257.659445,18464
12,false,factored_optimized,1,150,15172,2716,26,5.5861561119293075,32,5,76.035665,56007016,343.08456,1808,355.133058,18464
12,true,concat,1,150,12382,0,0,0.0,32,5,107.428505,872486504,690.475904,11840,717.32877,35760
