P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,gemm_min_cols,gemm_min_dim,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,false,concat,1,150,1684,0,0,0.0,16,1,2863.018331,50850344,3.4600899999999997,6032,5.821523,117456
4,false,factored_functional,1,150,1684,928,7,1.8146551724137931,16,1,203.407511,10603208,15.483233,20294576,NaN,-1
4,false,factored_scalar,1,150,1684,928,7,1.8146551724137931,9223372036854775807,9223372036854775807,13.83418,10603208,3.913954,1808,6.213722,18464
4,false,factored_gemm,1,150,1684,928,7,1.8146551724137931,1,1,9.281474,10603208,7.077216,1808,9.386391,18464
4,false,factored_optimized,1,150,1684,928,7,1.8146551724137931,16,1,5.994329,10603208,3.8855109999999997,1808,6.192121,18464
4,true,concat,1,150,1122,0,0,0.0,16,1,547.03846,144813032,5.844226,11840,9.341247000000001,131040
4,true,factored_functional,1,150,1122,696,5,1.6120689655172413,16,1,198.635572,11588872,34.640929,33384176,NaN,-1
4,true,factored_scalar,1,150,1122,696,5,1.6120689655172413,9223372036854775807,9223372036854775807,13.656475,11588872,6.696610000000001,1808,9.975971,26240
4,true,factored_gemm,1,150,1122,696,5,1.6120689655172413,1,1,6.056375,11588872,11.914588,1808,15.347878,26240
4,true,factored_optimized,1,150,1122,696,5,1.6120689655172413,16,1,6.984301,11588872,6.57987,1808,9.943219,26240
8,false,concat,1,150,11900,0,0,0.0,16,1,5.438112,163676072,108.040964,6032,114.168454,22176
8,false,factored_functional,1,150,11900,2506,20,4.748603351955308,16,1,23.636663,31184712,178.872978,287776864,NaN,-1
8,false,factored_scalar,1,150,11900,2506,20,4.748603351955308,9223372036854775807,9223372036854775807,26.41409,31184712,102.79569500000001,1808,108.40006000000001,18464
8,false,factored_gemm,1,150,11900,2506,20,4.748603351955308,1,1,28.905197,31184712,92.692957,1808,98.26473,18464
8,false,factored_optimized,1,150,11900,2506,20,4.748603351955308,16,1,24.256991,31184712,101.507451,1808,111.280697,18464
8,true,concat,1,150,12880,0,0,0.0,16,1,20.80183,430035944,274.970225,11840,284.864121,35760
8,true,factored_functional,1,150,12880,2612,21,4.931087289433385,16,1,126.778237,45870184,436.830138,704300336,NaN,-1
8,true,factored_scalar,1,150,12880,2612,21,4.931087289433385,9223372036854775807,9223372036854775807,36.041884,45870184,260.786377,1808,271.820668,26240
8,true,factored_gemm,1,150,12880,2612,21,4.931087289433385,1,1,59.828769,45870184,226.695875,1808,238.66184900000002,26240
8,true,factored_optimized,1,150,12880,2612,21,4.931087289433385,16,1,93.747619,45870184,256.193695,1808,265.266357,26240
12,false,concat,1,150,15172,0,0,0.0,16,1,37.502722,343275880,373.104677,6032,387.36055000000005,22176
12,false,factored_functional,1,150,15172,2716,26,5.5861561119293075,16,1,138.85013,56007016,445.763647,716176304,NaN,-1
12,false,factored_scalar,1,150,15172,2716,26,5.5861561119293075,9223372036854775807,9223372036854775807,73.310306,56007016,340.68601,1808,352.59667099999996,18464
12,false,factored_gemm,1,150,15172,2716,26,5.5861561119293075,1,1,81.129667,56007016,245.535553,1808,258.97888600000005,18464
12,false,factored_optimized,1,150,15172,2716,26,5.5861561119293075,16,1,96.41592,56007016,320.41489,1808,334.56288,18464
12,true,concat,1,150,12382,0,0,0.0,16,1,107.963617,872486504,687.6205090000001,11840,712.430148,35760
12,true,factored_functional,1,150,12382,2490,24,4.972690763052209,16,1,110.07576,92765736,817.384623,1305179312,NaN,-1
12,true,factored_scalar,1,150,12382,2490,24,4.972690763052209,9223372036854775807,9223372036854775807,115.49643,92765736,624.0563099999999,1808,650.857938,26240
