P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,gemm_min_cols,gemm_min_dim,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,false,concat,8,150,1684,0,0,0.0,16,1,1153.735,50850344,2.311708,6032,4.078917,127984
4,false,factored_functional,8,150,1684,928,7,1.8146551724137931,16,1,104.1235,10603208,8.499791,20294576,NaN,-1
4,false,factored_scalar,8,150,1684,928,7,1.8146551724137931,9223372036854775807,9223372036854775807,3.484083,10603208,2.267541,1808,4.018792,18416
4,false,factored_gemm,8,150,1684,928,7,1.8146551724137931,1,1,10.929875,10603208,4.694249999999999,1808,6.468667,18416
4,false,factored_optimized,8,150,1684,928,7,1.8146551724137931,16,1,3.260042,10603208,2.3223749999999996,1808,4.01925,18416
4,true,concat,8,150,1122,0,0,0.0,16,1,332.971958,144813032,3.994959,11840,6.358875,142192
4,true,factored_functional,8,150,1122,696,5,1.6120689655172413,16,1,120.066542,11588872,13.667667,33384176,NaN,-1
4,true,factored_scalar,8,150,1122,696,5,1.6120689655172413,9223372036854775807,9223372036854775807,13.710833,11588872,3.9100410000000005,1808,6.324083,26192
4,true,factored_gemm,8,150,1122,696,5,1.6120689655172413,1,1,3.625667,11588872,7.991165999999999,1808,10.522167000000001,26192
4,true,factored_optimized,8,150,1122,696,5,1.6120689655172413,16,1,8.859583,11588872,3.915625,1808,6.331041,26192
8,false,concat,8,150,11900,0,0,0.0,16,1,3.434167,163676072,53.272541,6032,58.317417000000006,22128
8,false,factored_functional,8,150,11900,2506,20,4.748603351955308,16,1,26.045792,31184712,113.246208,291428112,NaN,-1
8,false,factored_scalar,8,150,11900,2506,20,4.748603351955308,9223372036854775807,9223372036854775807,16.187,31184712,64.85733400000001,1808,69.093667,18416
8,false,factored_gemm,8,150,11900,2506,20,4.748603351955308,1,1,18.413375,31184712,63.235125000000004,1808,68.982542,18416
8,false,factored_optimized,8,150,11900,2506,20,4.748603351955308,16,1,29.941167,31184712,71.080959,1808,75.239958,18416
8,true,concat,8,150,12880,0,0,0.0,16,1,94.44125,430035944,136.236416,11840,146.048417,35712
8,true,factored_functional,8,150,12880,2612,21,4.931087289433385,16,1,36.576584,45870184,269.86537500000003,714064624,NaN,-1
8,true,factored_scalar,8,150,12880,2612,21,4.931087289433385,9223372036854775807,9223372036854775807,15.533875,45870184,164.11345799999998,1808,174.378583,26192
8,true,factored_gemm,8,150,12880,2612,21,4.931087289433385,1,1,27.185792,45870184,152.925208,1808,162.543375,26192
8,true,factored_optimized,8,150,12880,2612,21,4.931087289433385,16,1,39.354583,45870184,162.767875,1808,171.873042,26192
12,false,concat,8,150,15172,0,0,0.0,16,1,25.579708,343275880,166.179375,6032,180.29708399999998,22128
12,false,factored_functional,8,150,15172,2716,26,5.5861561119293075,16,1,118.582292,56007016,280.848125,728444784,NaN,-1
12,false,factored_scalar,8,150,15172,2716,26,5.5861561119293075,9223372036854775807,9223372036854775807,28.098416,56007016,215.043625,1808,257.330459,18416
12,false,factored_gemm,8,150,15172,2716,26,5.5861561119293075,1,1,45.898083,56007016,164.394292,1808,177.051041,18416
12,false,factored_optimized,8,150,15172,2716,26,5.5861561119293075,16,1,128.196792,56007016,204.035333,1808,219.056375,18416
12,true,concat,8,150,12382,0,0,0.0,16,1,119.76725,872486504,298.63525000000004,11840,328.16774999999996,35712
12,true,factored_functional,8,150,12382,2490,24,4.972690763052209,16,1,41.803916,92765736,516.76475,1331086352,NaN,-1
12,true,factored_scalar,8,150,12382,2490,24,4.972690763052209,9223372036854775807,9223372036854775807,41.616709,92765736,390.303041,1808,417.515084,26192
12,true,factored_gemm,8,150,12382,2490,24,4.972690763052209,1,1,65.460125,92765736,299.75716600000004,1808,323.335792,26192
12,true,factored_optimized,8,150,12382,2490,24,4.972690763052209,16,1,153.942375,92765736,378.87399999999997,1808,406.673458,26192
4,false,concat,8,2000,32396,0,0,0.0,16,1,88.77575,294972776,39.965916,6032,60.157416999999995,21696
4,false,factored_functional,8,2000,32396,1584,48,20.4520202020202,16,1,10.567208,30886792,71.644458,228659728,NaN,-1
4,false,factored_scalar,8,2000,32396,1584,48,20.4520202020202,9223372036854775807,9223372036854775807,13.859917,30886792,41.106833,1808,59.233875,17984
4,false,factored_gemm,8,2000,32396,1584,48,20.4520202020202,1,1,25.866917,30886792,40.912625,1808,58.825959,17984
4,false,factored_optimized,8,2000,32396,1584,48,20.4520202020202,16,1,10.499667,30886792,39.682542,1808,57.755874999999996,17984
4,true,concat,8,2000,23646,0,0,0.0,16,1,102.942,840004648,74.112125,11840,93.210792,35024
4,true,factored_functional,8,2000,23646,1368,41,17.285087719298247,16,1,10.184917,30725640,133.115917,418781040,NaN,-1
