P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,false,concat,8,150,1684,0,0,0.0,1213.208125,50850344,2.3017079999999996,6032,4.1785835,127984
4,false,factored_optimized,8,150,1684,928,7,1.8146551724137931,114.098,10603208,2.2973755000000002,1440,4.147021,18032
4,true,concat,8,150,1122,0,0,0.0,440.297292,144813032,4.0016455,11840,6.587625,142192
4,true,factored_optimized,8,150,1122,696,5,1.6120689655172413,105.029917,11588872,4.0056665,1440,6.6038125,25808
8,false,concat,8,150,11900,0,0,0.0,98.523458,163676072,54.4834585,6032,59.0690625,22128
8,false,factored_optimized,8,150,11900,2506,20,4.748603351955308,86.8,31184712,66.4580625,1440,70.80785399999999,18032
8,true,concat,8,150,12880,0,0,0.0,97.045083,430035944,135.070646,11840,144.818375,35712
8,true,factored_optimized,8,150,12880,2612,21,4.931087289433385,106.598583,45870184,165.504229,1440,176.49154149999998,25808
12,false,concat,8,150,15172,0,0,0.0,177.072625,343275880,166.3973335,6032,183.1558335,22128
12,false,factored_optimized,8,150,15172,2716,26,5.5861561119293075,28.51975,56007016,218.831771,1440,236.4621665,18032
12,true,concat,8,150,12382,0,0,0.0,269.603375,872486504,303.7292085,11840,330.77606249999997,35712
12,true,factored_optimized,8,150,12382,2490,24,4.972690763052209,65.719458,92765736,398.73585449999996,1440,419.097146,25808
