P,lh,variant,blas_threads,n,routes,nonempty_classes,max_class,mean_class,gemm_min_cols,gemm_min_dim,construction_ms,persistent_bytes,stage_ms,stage_alloc_bytes,full_step_ms,full_step_alloc_bytes
4,false,concat,64,150,1684,0,0,0.0,32,5,2861.464718,50850344,4.229851,6032,6.522641,117456
4,false,factored_functional,64,150,1684,928,7,1.8146551724137931,32,5,187.598732,10603208,22.793055,20294576,NaN,-1
4,false,factored_scalar,64,150,1684,928,7,1.8146551724137931,9223372036854775807,9223372036854775807,5.503134,10603208,4.000159,1808,6.175438,18464
4,false,factored_gemm,64,150,1684,928,7,1.8146551724137931,1,1,5.568197,10603208,10.780885,1808,13.183179999999998,18464
4,false,factored_optimized,64,150,1684,928,7,1.8146551724137931,32,5,10.647234,10603208,3.9406069999999995,1808,6.217727999999999,18464
4,true,concat,64,150,1122,0,0,0.0,32,5,549.642121,144813032,6.971223999999999,11840,10.428913999999999,131040
4,true,factored_functional,64,150,1122,696,5,1.6120689655172413,32,5,183.768562,11588872,32.812689,33384176,NaN,-1
4,true,factored_scalar,64,150,1122,696,5,1.6120689655172413,9223372036854775807,9223372036854775807,13.969408,11588872,6.7158940000000005,1808,10.052616,26240
4,true,factored_gemm,64,150,1122,696,5,1.6120689655172413,1,1,5.855667,11588872,18.046843,1808,21.205771000000002,26240
4,true,factored_optimized,64,150,1122,696,5,1.6120689655172413,32,5,6.568898,11588872,6.556164,1808,9.992102,26240
8,false,concat,64,150,11900,0,0,0.0,32,5,5.608663,163676072,93.569784,6032,105.783221,22176
8,false,factored_functional,64,150,11900,2506,20,4.748603351955308,32,5,27.35003,31184712,199.255111,287777184,NaN,-1
8,false,factored_scalar,64,150,11900,2506,20,4.748603351955308,9223372036854775807,9223372036854775807,20.016675,31184712,103.20746,1808,110.547968,18464
8,false,factored_gemm,64,150,11900,2506,20,4.748603351955308,1,1,30.535307,31184712,111.636585,1808,118.429192,18464
8,false,factored_optimized,64,150,11900,2506,20,4.748603351955308,32,5,21.740446,31184712,103.512464,1808,111.18234000000001,18464
8,true,concat,64,150,12880,0,0,0.0,32,5,9.774453,430035944,363.858559,11840,298.718094,35760
8,true,factored_functional,64,150,12880,2612,21,4.931087289433385,32,5,78.104043,45870184,480.27574899999996,704306000,NaN,-1
8,true,factored_scalar,64,150,12880,2612,21,4.931087289433385,9223372036854775807,9223372036854775807,44.355115,45870184,262.522757,1808,275.102853,26240
8,true,factored_gemm,64,150,12880,2612,21,4.931087289433385,1,1,52.462154,45870184,272.66814700000003,1808,279.020418,26240
8,true,factored_optimized,64,150,12880,2612,21,4.931087289433385,32,5,62.063922,45870184,262.19318699999997,1808,277.310393,26240
12,false,concat,64,150,15172,0,0,0.0,32,5,40.67109,343275880,315.10181,6032,323.995998,22176
